"","TaxonoriginalDN","Taxonsimplified_DN","name","Acceptedname_ALA","name2.x","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","original","name2.y","name3"
"1","Angophora costata subsp. costata","Angophora costata subsp. costata","angophora costata subsp. costata","Angophora costata subsp. costata","angophora costata subsp. costata","","Subspecies","D.Nicolle",2073,"Glenbrook, NSW",33,47,57,150,35,49,158,12,"Alive","Moderate","Moderate","?","None evident","","","","","Slight","Flowered","Flowered",1998,"Angophora_costata_subsp_costata_LAN043","angophora_costata_subsp._costata","angophora_costata_subsp_costata"
"2","Angophora floribunda","Angophora floribunda","angophora floribunda","Angophora floribunda","angophora floribunda","","Species ","D.Nicolle",2551,"Roma, Qld",26,25,56,148,47,32,171,17,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"Angophora_floribunda_LAN107","angophora_floribunda","angophora_floribunda"
"3","Angophora hispida","Angophora hispida","angophora hispida","Angophora hispida","angophora hispida","","Species ","D.Nicolle",6746,"St Ives, NSW",33,42,33,151,11,46,295,8,"Alive","Moderate","None evident","??","None evident","","","","","Not applicable","","",2015,"Angophora_hispida_LAN009","angophora_hispida","angophora_hispida"
"4","Angophora inopina","Angophora inopina","angophora inopina","Angophora inopina","angophora inopina","","Species ","D.Nicolle",6258,"Wyee, NSW",33,11,13,151,29,30,279,5,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2013,"Angophora_inopina_LAN025","angophora_inopina","angophora_inopina"
"5","Angophora melanoxylon","Angophora melanoxylon","angophora melanoxylon","Angophora melanoxylon","angophora melanoxylon","","Species ","D.Nicolle",2552,"St George, Qld",27,57,46,148,41,14,173,1,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"Angophora_melanoxylon_509","angophora_melanoxylon","angophora_melanoxylon"
"6","Angophora subvelutina","Angophora subvelutina","angophora subvelutina","Angophora subvelutina","angophora subvelutina","","Species ","D.Nicolle",3204,"Mulgoa, NSW",33,50,8,150,39,10,239,21,"Alive","None evident","None evident","?","","","","","","None evident","","",2001,"Angophora_subvelutina_LAN059","angophora_subvelutina","angophora_subvelutina"
"7","Corymbia abbreviata","Corymbia abbreviata","corymbia abbreviata","Corymbia abbreviata","corymbia abbreviata","","Species ","D.Nicolle",1932,"Kununurra, WA",15,45,42,127,43,42,84,20,"Dead","","","","","","","","","","","",1998,"Corymbia_abbreviata_CANB_459002","corymbia_abbreviata","corymbia_abbreviata"
"8","Corymbia abergiana","Corymbia abergiana","corymbia abergiana","Corymbia abergiana","corymbia abergiana","","Species ","D.Nicolle",1303,"Paluma, Qld",19,0,26,146,5,28,93,19,"Dead","","","","","","","","","","","",1996,"Corymbia_abergiana_633","corymbia_abergiana","corymbia_abergiana"
"9","Corymbia aparrerinja","Corymbia aparrerinja","corymbia aparrerinja","Corymbia aparrerinja","corymbia aparrerinja","","Species ","",NA,"Unknown origin",NA,NA,NA,NA,NA,NA,132,7,"Alive","Dead (non-drought)","","","","","","","2 - 3 years","None evident","","",1997,"Corymbia_aparrerinja_MC_10615","corymbia_aparrerinja","corymbia_aparrerinja"
"10","Corymbia aureola","Corymbia aureola","corymbia aureola","Corymbia aureola","corymbia aureola","","Species ","D.Nicolle",2542,"Cherwell Range, Qld",22,14,25,147,59,52,168,11,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1999,"Corymbia_aureola_CANB_582839","corymbia_aureola","corymbia_aureola"
"11","Corymbia bella","Corymbia bella","corymbia bella","Corymbia bella","corymbia bella","","Species ","D.Nicolle",4204,"Bulman, NT",13,39,36,134,19,37,245,14,"Dead","","","","","","","","","","","",2002,"Corymbia_bella_MC_10518","corymbia_bella","corymbia_bella"
"12","Corymbia bleeseri","Corymbia bleeseri","corymbia bleeseri","Corymbia bleeseri","corymbia bleeseri","","Species ","D.Nicolle",1923,"Drysdale River, WA",15,38,26,126,22,6,142,37,"Dead","","","","","","","","","","","",1997,"Corymbia_bleeseri_MC_10516","corymbia_bleeseri","corymbia_bleeseri"
"13","Corymbia bloxsomei","Corymbia bloxsomei","corymbia bloxsomei","Corymbia bloxsomei","corymbia bloxsomei","","Species ","D.Nicolle",687,"Barakula State Forest, Qld",26,29,41,150,45,21,55,28,"Alive","None evident","Moderate","??","None evident","","","","","None evident","Flowered","Flowered",1994,"Corymbia_bloxsomei_238","corymbia_bloxsomei","corymbia_bloxsomei"
"14","Corymbia brachycarpa","Corymbia brachycarpa","corymbia brachycarpa","Corymbia brachycarpa","corymbia brachycarpa","","Species ","D.Nicolle",2534,"Burra Siding, Qld",20,43,52,145,10,45,168,24,"Alive","None evident","None evident","?","","","","","","None evident","","",1999,"Corymbia_brachycarpa_Mt_Annan_891988","corymbia_brachycarpa","corymbia_brachycarpa"
"15","Corymbia bunites","Corymbia bunites","corymbia bunites","Corymbia bunites","corymbia bunites","","Species ","D.Nicolle",711,"Blackdown Tableland, Qld",23,48,34,149,2,3,54,1,"Alive","None evident","Slight","?","None evident","","","","","None evident","","",1994,"Corymbia_bunites_229","corymbia_bunites","corymbia_bunites"
"16","Corymbia cadophora subsp. cadophora","Corymbia cadophora subsp. cadophora","corymbia cadophora subsp. cadophora","Corymbia cadophora subsp. cadophora","corymbia cadophora subsp. cadophora","","Subspecies","D.Nicolle",1905,"Derby, WA",17,23,14,123,56,36,188,17,"Dead","","","","","","","","","","","",2000,"Corymbia_cadophora_subsp_cadophora_MC_10577","corymbia_cadophora_subsp._cadophora","corymbia_cadophora_subsp_cadophora"
"17","Corymbia calophylla","Corymbia calophylla","corymbia calophylla","Corymbia calophylla","corymbia calophylla","","Species ","D.Nicolle",1160,"Cockleshell Gully, WA",30,8,27,115,6,57,72,28,"Alive","Moderate","Moderate","?","None evident","","","","","Slight","","",1995,"Corymbia_calophylla_377","corymbia_calophylla","corymbia_calophylla"
