"","x"
"472","1203"
"473","5779"
"474","4266"
"475","1197"
"476","535"
"477","1530"
"478","7"
"479","7300"
"480","6928"
"481","6921"
"482","5600"
"483","1562"
"484","335"
"485","6939"
"486","518"
"487","1508"
"488","1535"
"489","4542"
"490","5938"
"491","523"
"492","3428"
"493","261"
"494","250"
"495","3549"
"496","2212"
"497","1892"
"498","1156"
"499","282"
"500","3771"
"501","264"
"502","7318"
"503","1561"
"504","5603"
"505","5456"
"506","303"
"507","3681"
"508","7312"
"509","5607"
"510","5606"
"511","2774"
"512","2776"
"513","336"
"514","298"
"515","5583"
"516","8"
"517","291"
"518","276"
"519","7315"
"520","5588"
"521","297"
"522","306"
"523","5610"
"524","5455"
"525","304"
"526","6682"
"527","5612"
"528","3683"
"529","3679"
"530","308"
"531","6026"
"532","5550"
"533","3813"
"534","5542"
"535","2721"
"536","280"
"537","4704"
"538","4289"
"539","4284"
"540","2732"
"541","274"
"542","4629"
"543","1142"
"544","6177"
"545","1269"
"546","75"
"547","4440"
"548","3700"
"549","1153"
"550","227"
"551","200"
"552","216"
"553","169"
"554","3673"
"555","3671"
"556","4441"
"557","5074"
"558","294"
"559","4793"
"560","3477"
"561","3488"
"562","3482"
"563","2223"
"564","2218"
"565","288"
"566","3539"
"567","277"
"568","2190"
"569","536"
"570","3525"
"571","273"
"572","3460"
"573","2230"
"574","3768"
"575","2183"
"576","2182"
"577","1661"
"578","1563"
"579","161"
"580","5996"
"581","2264"
"582","150"
"583","3719"
"584","237"
"585","147"
"586","2202"
"587","1182"
"588","1171"
"589","6941"
"590","4448"
"591","548"
"592","2306"
"593","341"
"594","2784"
"595","347"
"596","3602"
"597","118"
"598","2262"
"599","149"
"600","2284"
"601","2283"
"602","2241"
"603","2168"
"604","2166"
"605","136"
"606","1890"
"607","1888"
"608","1149"
"609","4555"
"610","3618"
"611","3441"
"612","1874"
"613","1855"
"614","1853"
"615","315"
"616","218"
"617","1851"
"618","1838"
"619","1817"
"620","1087"
"621","5466"
"622","6956"
"623","3639"
"624","2787"
"625","2303"
"626","513"
"627","3584"
"628","165"
"629","6382"
"630","1101"
"631","164"
"632","6359"
"633","1090"
"634","172"
"635","2619"
"636","1502"
"637","2633"
"638","112"
"639","2886"
"640","2884"
"641","2319"
"642","1393"
"643","516"
"644","3600"
"645","2259"
"646","1642"
"647","2251"
"648","1123"
"649","2596"
"650","2561"
"651","2135"
"652","2123"
"653","1408"
"654","931"
"655","555"
"656","500"
"657","Egillii1"
"658","2959"
"659","1715"
"660","2879"
"661","2593"
"662","1946"
"663","928"
"664","2323"
"665","113"
"666","3172"
"667","2955"
"668","2890"
"669","1804"
"670","2539"
"671","2538"
"672","2430"
"673","2198"
"674","2142"
"675","6000"
"676","2129"
"677","950"
"678","2160"
"679","2184"
"680","2163"
"681","1569"
"682","1542"
"683","1518"
"684","2614"
"685","1500"
"686","3665"
"687","1828"
"688","1104"
"689","1881"
"690","2287"
"691","1870"
"692","1847"
"693","190"
"694","2154"
"695","115"
"696","1808"
"697","1078"
"698","1813"
"699","168"
"700","248"
"701","5547"
"702","5078"
"703","3515"
"704","3587"
"705","3568"
"706","2244"
"707","3564"
"708","5496"
"709","198"
"710","3580"
"711","3579"
"712","4579"
"713","4570"
"714","4605"
"715","177"
"716","220"
"717","3759"
"718","3754"
"719","1626"
"720","3433"
"721","1113"
"722","2237"
"723","3725"
"724","5040"
"725","243"
"726","1844"
"727","141"
"728","4553"
"729","3897"
"730","3567"
"731","3744"
"732","1629"
"733","205"
"734","3712"
"735","1118"
"736","148"
"737","3882"
"738","3493"
"739","3457"
"740","6383"
"741","3662"
"742","4660"
"743","3670"
"744","319"
"745","5033"
"746","3486"
"747","6945"
"748","1392"
"749","1079"
"750","505"
"751","4736"
"752","6807"
"753","447"
"754","3691"
"755","3426"
"756","1081"
"757","5993"
"758","3613"
"759","1091"
"760","5518"
"761","5503"
"762","3742"
"763","3436"
"764","6951"
"765","2790"
"766","2730"
"767","527"
"768","7311"
"769","6985"
"770","3643"
"771","2756"
"772","1169"
"773","6691"
"774","5513"
"775","4546"
"776","3877"
"777","2227"
"778","5578"
"779","3530"
"780","4539"
"781","5671"
"782","5554"
"783","5460"
"784","6955"
"785","6697"
"786","5071"
"787","3630"
"788","2713"
"789","292"
"790","244"
"791","4803"
"792","1127"
"793","5992"
"794","3453"
"795","195"
"796","3575"
"797","1089"
"798","162"
"799","6350"
"800","1613"
"801","3447"
"802","230"
"803","285"
"804","3699"
"805","3437"
"806","2214"
"807","6931"
"808","522"
"809","5693"
"810","1567"
"811","5684"
"812","5672"
"813","1152"
"814","7324"
"815","1161"
"816","5567"
"817","3532"
"818","1177"
"819","241"
"820","2722"
"821","533"
"822","2192"
"823","300"
"824","5478"
"825","3724"
"826","1109"
"827","4223"
"828","19791"
"829","19790"
"830","21163"
"831","19492"
"832","7236"
"833","819"
"834","69"
"835","1253"
"836","612"
"837","1271"
"838","1131"
"839","5538"
"840","1146"
"841","6641"
"842","1938"
"843","2456"
"844","6652"
"845","6403"
"846","2482"
"847","1933"
"848","13400"
"849","1350"
"850","12966"
"851","1296"
"852","1911"
"853","4211"
"854","2475"
"855","1910"
"856","1931"
"857","2112"
"858","1232"
"859","636"
"860","671"
"861","2447"
"862","6306"
"863","2911"
"864","2908"
"865","600"
"866","6191"
"867","2100"
"868","6203"
"869","630"
"870","6449"
"871","1301"
"872","6205"
"873","638"
"874","1304"
"875","6438"
"876","2518"
"877","2524"
"878","1237"
"879","1762"
"880","642"
"881","6206"
"882","2921"
"883","2924"
"884","705"
"885","2512"
"886","1316"
"887","668"
"888","604"
"889","1314"
"890","5747"
"891","4258"
"892","4231"
"893","2489"
"894","6389"
"895","6136"
"896","5279"
"897","5233"
"898","5156"
"899","4733"
"900","823"
"901","5571"
"902","5077"
"903","4177"
"904","3523"
"905","2555"
"906","1206"
"907","2553"
"908","1369"
"909","751"
"910","6499"
"911","730"
"912","6401"
"913","4184"
"914","6482"
"915","6168"
"916","2932"
"917","1261"
"918","682"
"919","6497"
"920","1284"
"921","Eflinder_1"
"922","6387"
"923","5230"
"924","11239"
"925","6241"
"926","2085"
"927","13661"
"928","13398"
"929","713"
"930","1272"
