all,genus,species,subspecies,provence,,,,,provence____,Taxa,name
Corymbia_erythrophloia_Mt_Annan_891984,Corymbia,erythrophloia,,Mt,Ann,891984,,,Mt_Ann_891984__,Corymbia erythrophloia ,corymbia erythrophloia
Corymbia_eximia_ANBG_62889,Corymbia,eximia,,ANBG,62889,,,,ANBG_62889___,Corymbia eximia ,corymbia eximia
Corymbia_ferriticola_MC_11117,Corymbia,ferriticola,,MC,11117,,,,MC_11117___,Corymbia ferriticola ,corymbia ferriticola
Corymbia_ferruginea_subsp_ferruginea_MC_10538,Corymbia,ferruginea,ferruginea,,,MC,10538,,__MC_10538_,Corymbia ferruginea subsp. ferruginea,corymbia ferruginea subsp. ferruginea
Corymbia_ficifolia_ANBG_c208,Corymbia,ficifolia,,ANBG,c208,,,,ANBG_c208___,Corymbia ficifolia ,corymbia ficifolia
Corymbia_flavescens_MC_10596,Corymbia,flavescens,,MC,10596,,,,MC_10596___,Corymbia flavescens ,corymbia flavescens
Corymbia_foelscheana_MC_10508,Corymbia,foelscheana,,MC,10508,,,,MC_10508___,Corymbia foelscheana ,corymbia foelscheana
Corymbia_gilbertensis_CANB_739029,Corymbia,gilbertensis,,CANB,739029,,,,CANB_739029___,Corymbia gilbertensis ,corymbia gilbertensis
Corymbia_grandifolia_CANB_739034,Corymbia,grandifolia,,CANB,739034,,,,CANB_739034___,Corymbia grandifolia ,corymbia grandifolia
Corymbia_greeniana_MC_10557,Corymbia,greeniana,,MC,10557,,,,MC_10557___,Corymbia greeniana ,corymbia greeniana
Corymbia_gummifera_680,Corymbia,gummifera,,680,,,,,680____,Corymbia gummifera ,corymbia gummifera
Corymbia_haematoxylon_380,Corymbia,haematoxylon,,380,,,,,380____,Corymbia haematoxylon ,corymbia haematoxylon
Corymbia_hamersleyana_MC_11116,Corymbia,hamersleyana,,MC,11116,,,,MC_11116___,Corymbia hamersleyana ,corymbia hamersleyana
Corymbia_hendersonii_252,Corymbia,hendersonii,,252,,,,,252____,Corymbia hendersonii ,corymbia hendersonii
Corymbia_henryi_ANBG_8910948,Corymbia,henryi,,ANBG,8910948,,,,ANBG_8910948___,Corymbia henryi ,corymbia henryi
