Taxonsimplified_DN,Taxa_names_no_hyb,Binomial,binomial,UniqueID,Drought2020Scale.mean,AICorrected,AP,PDryQ,PrecDeficit,height_max_m,RowTree,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies,Wooddensity.g.cm3..mean,Diamthickness.mm..mean,SLA_m2.kg.mean,d13C.mean,totalN.mean,Habit,Habit_num,RegenStrategysimplified,RegenStrategysimplified_num,LeafAreaEst_cm2,Aridclass,Aridclass_num,latitude,longitude
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,103,0,0.1232,263,42,-262.7867,8,R024/T25,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Tree,0,Lignotuber resprouter,2,13.16875,Arid,3,-31.76805556,132.1966667
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,103,0,0.1232,263,42,-262.7867,8,R024/T27,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Tree,0,Lignotuber resprouter,2,13.16875,Arid,3,-31.76805556,132.1966667
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,103,0,0.1232,263,42,-262.7867,8,R024/T28,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Tree,0,Lignotuber resprouter,2,13.16875,Arid,3,-31.76805556,132.1966667
Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx,eucalyptus_cladocalyx,1053,0.333333333,0.4428,673,58,-672.8481,45,R075/T10,Eucalyptus,Symphyomyrtus,Sejunctae,NA,NA,cladocalyx,crassa,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,21.385,Semiarid,2,-35.97722222,136.8572222
Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx,eucalyptus_cladocalyx,1053,0.333333333,0.4428,673,58,-672.8481,45,R075/T12,Eucalyptus,Symphyomyrtus,Sejunctae,NA,NA,cladocalyx,crassa,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,21.385,Semiarid,2,-35.97722222,136.8572222
Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx,eucalyptus_cladocalyx,1053,0.333333333,0.4428,673,58,-672.8481,45,R075/T13,Eucalyptus,Symphyomyrtus,Sejunctae,NA,NA,cladocalyx,crassa,NA,NA,NA,NA,NA,Tree,0,Stem resprouter,1,21.385,Semiarid,2,-35.97722222,136.8572222
Eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus_brachycalyx,1072,0,0.1255,277,37,-276.7795,10,R067/T29,Eucalyptus,Symphyomyrtus,Dumaria,Torquatae,NA,brachycalyx,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,7,Arid,3,-31.84166667,133.4572222
Eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus_brachycalyx,1072,0,0.1255,277,37,-276.7795,10,R067/T30,Eucalyptus,Symphyomyrtus,Dumaria,Torquatae,NA,brachycalyx,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,7,Arid,3,-31.84166667,133.4572222
Eucalyptus brachycalyx,Eucalyptus brachycalyx,Eucalyptus brachycalyx,eucalyptus_brachycalyx,1072,0,0.1255,277,37,-276.7795,10,R067/T31,Eucalyptus,Symphyomyrtus,Dumaria,Torquatae,NA,brachycalyx,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,7,Arid,3,-31.84166667,133.4572222
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,1074,0,0.1206,268,36,-267.7779,8,R067/T13,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,13.16875,Arid,3,-31.80972222,133.445
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,1074,0,0.1206,268,36,-267.7779,8,R067/T14,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,13.16875,Arid,3,-31.80972222,133.445
Eucalyptus calcareana,Eucalyptus calcareana,Eucalyptus calcareana,eucalyptus_calcareana,1074,0,0.1206,268,36,-267.7779,8,R067/T16,Eucalyptus,Symphyomyrtus,Dumaria,Rufispermae,NA,calcareana,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,13.16875,Arid,3,-31.80972222,133.445
Eucalyptus capitanea,Eucalyptus capitanea,Eucalyptus capitanea,eucalyptus_capitanea,1076,0,0.1214,270,37,-269.7778,4,R067/T17,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,capitanea,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,20.65,Arid,3,-31.79277778,133.43
Eucalyptus capitanea,Eucalyptus capitanea,Eucalyptus capitanea,eucalyptus_capitanea,1076,0,0.1214,270,37,-269.7778,4,R067/T18,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,capitanea,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,20.65,Arid,3,-31.79277778,133.43
Eucalyptus capitanea,Eucalyptus capitanea,Eucalyptus capitanea,eucalyptus_capitanea,1076,0,0.1214,270,37,-269.7778,4,R067/T19,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,capitanea,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,20.65,Arid,3,-31.79277778,133.43
Eucalyptus capitanea,Eucalyptus capitanea,Eucalyptus capitanea,eucalyptus_capitanea,1076,0,0.1214,270,37,-269.7778,4,R067/T20,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,capitanea,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,20.65,Arid,3,-31.79277778,133.43
Eucalyptus yumbarrana,Eucalyptus yumbarrana,Eucalyptus yumbarrana,eucalyptus_yumbarrana,1078,0,0.121,269,36,-268.7779,8,R066/T09,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decussatae,yumbarrana,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,24.5,Arid,3,-31.81222222,133.4577778
Eucalyptus yumbarrana,Eucalyptus yumbarrana,Eucalyptus yumbarrana,eucalyptus_yumbarrana,1078,0,0.121,269,36,-268.7779,8,R066/T10,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decussatae,yumbarrana,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,24.5,Arid,3,-31.81222222,133.4577778
Eucalyptus yumbarrana,Eucalyptus yumbarrana,Eucalyptus yumbarrana,eucalyptus_yumbarrana,1078,0,0.121,269,36,-268.7779,8,R066/T11,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decussatae,yumbarrana,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,24.5,Arid,3,-31.81222222,133.4577778
Eucalyptus omissa,Eucalyptus omissa,Eucalyptus omissa,eucalyptus_omissa,1079,0,0.1215,269,36,-268.7788,9,R064/T16,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,sp. Great Victoria Desert,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,3.024,Arid,3,-31.82416667,133.4558333
Eucalyptus omissa,Eucalyptus omissa,Eucalyptus omissa,eucalyptus_omissa,1079,0,0.1215,269,36,-268.7788,9,R064/T17,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,sp. Great Victoria Desert,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,3.024,Arid,3,-31.82416667,133.4558333
Eucalyptus omissa,Eucalyptus omissa,Eucalyptus omissa,eucalyptus_omissa,1079,0,0.1215,269,36,-268.7788,9,R064/T18,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,sp. Great Victoria Desert,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,3.024,Arid,3,-31.82416667,133.4558333
Eucalyptus omissa,Eucalyptus omissa,Eucalyptus omissa,eucalyptus_omissa,1079,0,0.1215,269,36,-268.7788,9,R064/T19,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,sp. Great Victoria Desert,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,3.024,Arid,3,-31.82416667,133.4558333
Eucalyptus sinuensis,Eucalyptus sinuensis,Eucalyptus sinuensis,eucalyptus_sinuensis,1081,0,0.112,242,42,-241.784,6,R067/T33,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,discreta,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,4.165,Arid,3,-32.04555556,127.0430556
Eucalyptus sinuensis,Eucalyptus sinuensis,Eucalyptus sinuensis,eucalyptus_sinuensis,1081,0,0.112,242,42,-241.784,6,R067/T34,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,discreta,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,4.165,Arid,3,-32.04555556,127.0430556
Eucalyptus sinuensis,Eucalyptus sinuensis,Eucalyptus sinuensis,eucalyptus_sinuensis,1081,0,0.112,242,42,-241.784,6,R067/T35,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,discreta,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,4.165,Arid,3,-32.04555556,127.0430556
Eucalyptus urna,Eucalyptus urna,Eucalyptus urna,eucalyptus_urna,1087,0,0.1615,305,61,-304.8113,16,R066/T05,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decurrentes,urna,NA,NA,NA,NA,NA,NA,Tree,0,Obligate seeder,0,10.5,Arid,3,-32.82361111,123.5325
Eucalyptus urna,Eucalyptus urna,Eucalyptus urna,eucalyptus_urna,1087,0,0.1615,305,61,-304.8113,16,R066/T06,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decurrentes,urna,NA,NA,NA,NA,NA,NA,Tree,0,Obligate seeder,0,10.5,Arid,3,-32.82361111,123.5325
Eucalyptus urna,Eucalyptus urna,Eucalyptus urna,eucalyptus_urna,1087,0,0.1615,305,61,-304.8113,16,R066/T08,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decurrentes,urna,NA,NA,NA,NA,NA,NA,Tree,0,Obligate seeder,0,10.5,Arid,3,-32.82361111,123.5325
Eucalyptus connexa,Eucalyptus connexa,Eucalyptus connexa,eucalyptus_connexa,1089,0,0.2123,380,70,-379.8211,10,R064/T21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tree,0,Lignotuber resprouter,2,5.5545,Semiarid,2,-33.30694444,123.3791667
Eucalyptus connexa,Eucalyptus connexa,Eucalyptus connexa,eucalyptus_connexa,1089,0,0.2123,380,70,-379.8211,10,R064/T23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tree,0,Lignotuber resprouter,2,5.5545,Semiarid,2,-33.30694444,123.3791667
Eucalyptus micranthera,Eucalyptus micranthera,Eucalyptus micranthera,eucalyptus_micranthera,1090,0,0.233,419,71,-418.8202,4,R064/T13,Eucalyptus,Symphyomyrtus,Bisectae,Micrantherae,Micrantherae,micranthera,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,10.10625,Semiarid,2,-33.46333333,123.4458333
Eucalyptus micranthera,Eucalyptus micranthera,Eucalyptus micranthera,eucalyptus_micranthera,1090,0,0.233,419,71,-418.8202,4,R064/T14,Eucalyptus,Symphyomyrtus,Bisectae,Micrantherae,Micrantherae,micranthera,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,10.10625,Semiarid,2,-33.46333333,123.4458333
Eucalyptus discreta,Eucalyptus discreta,Eucalyptus discreta,eucalyptus_discreta,1091,0,0.2447,435,69,-434.8223,5,R064/T05,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,discreta,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,4.4625,Semiarid,2,-33.54722222,123.5308333
Eucalyptus discreta,Eucalyptus discreta,Eucalyptus discreta,eucalyptus_discreta,1091,0,0.2447,435,69,-434.8223,5,R064/T06,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,discreta,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,4.4625,Semiarid,2,-33.54722222,123.5308333
Eucalyptus discreta,Eucalyptus discreta,Eucalyptus discreta,eucalyptus_discreta,1091,0,0.2447,435,69,-434.8223,5,R064/T07,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,discreta,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,4.4625,Semiarid,2,-33.54722222,123.5308333
Eucalyptus discreta,Eucalyptus discreta,Eucalyptus discreta,eucalyptus_discreta,1091,0,0.2447,435,69,-434.8223,5,R064/T08,Eucalyptus,Symphyomyrtus,Bisectae,Porantherae,NA,discreta,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,4.4625,Semiarid,2,-33.54722222,123.5308333
Eucalyptus extrica,Eucalyptus extrica,Eucalyptus extrica,eucalyptus_extrica,1092,0,0.2455,441,69,-440.8204,4,R065/T31,Eucalyptus,Eudesmia,Limbatae,Heteropterae,Tetraedrae,extrica,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,26.95,Semiarid,2,-33.585,123.5783333
Eucalyptus extrica,Eucalyptus extrica,Eucalyptus extrica,eucalyptus_extrica,1092,0,0.2455,441,69,-440.8204,4,R065/T33,Eucalyptus,Eudesmia,Limbatae,Heteropterae,Tetraedrae,extrica,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,26.95,Semiarid,2,-33.585,123.5783333
Eucalyptus extrica,Eucalyptus extrica,Eucalyptus extrica,eucalyptus_extrica,1092,0,0.2455,441,69,-440.8204,4,R065/T34,Eucalyptus,Eudesmia,Limbatae,Heteropterae,Tetraedrae,extrica,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,26.95,Semiarid,2,-33.585,123.5783333
Eucalyptus litorea,Eucalyptus litorea,Eucalyptus litorea,eucalyptus_litorea,1094,0,0.2256,414,55,-413.8166,6,R065/T05,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,litorea,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,10.10625,Semiarid,2,-33.64583333,123.7922222
Eucalyptus litorea,Eucalyptus litorea,Eucalyptus litorea,eucalyptus_litorea,1094,0,0.2256,414,55,-413.8166,6,R065/T06,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,litorea,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,10.10625,Semiarid,2,-33.64583333,123.7922222
Eucalyptus litorea,Eucalyptus litorea,Eucalyptus litorea,eucalyptus_litorea,1094,0,0.2256,414,55,-413.8166,6,R065/T08,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,litorea,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,10.10625,Semiarid,2,-33.64583333,123.7922222
Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,eucalyptus_occidentalis,1095,0.25,0.287,510,77,-509.8224,20,R065/T15,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,occidentalis,NA,0.686666667,1.991666667,2.384741797,-27.38666667,0.7,Mallee,1,Polymorphic,4,17.71875,Semiarid,2,-33.72305556,123.3672222
Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,eucalyptus_occidentalis,1095,0.25,0.287,510,77,-509.8224,20,R065/T16,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,occidentalis,NA,0.686666667,1.991666667,2.384741797,-27.38666667,0.7,Mallee,1,Polymorphic,4,17.71875,Semiarid,2,-33.72305556,123.3672222
Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,eucalyptus_occidentalis,1095,0.25,0.287,510,77,-509.8224,20,R065/T17,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,occidentalis,NA,0.686666667,1.991666667,2.384741797,-27.38666667,0.7,Mallee,1,Polymorphic,4,17.71875,Semiarid,2,-33.72305556,123.3672222
Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,eucalyptus_occidentalis,1095,0.25,0.287,510,77,-509.8224,20,R065/T18,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Erectae,Pedicellatae,occidentalis,NA,0.686666667,1.991666667,2.384741797,-27.38666667,0.7,Mallee,1,Polymorphic,4,17.71875,Semiarid,2,-33.72305556,123.3672222
Eucalyptus x erythrandra,NA,NA,Na,1098,2,0.3053,540,81,-539.8232,5,R065/T11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,18.8125,Semiarid,2,-33.74666667,123.2625
Eucalyptus x erythrandra,NA,NA,Na,1098,2,0.3053,540,81,-539.8232,5,R065/T14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,18.8125,Semiarid,2,-33.74666667,123.2625
Eucalyptus quadrans,Eucalyptus quadrans,Eucalyptus quadrans,eucalyptus_quadrans,1099,0,0.2239,410,64,-409.817,12,R073/T20,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,NA,quadrans,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,5.6,Semiarid,2,-33.3675,121.6933333
Eucalyptus quadrans,Eucalyptus quadrans,Eucalyptus quadrans,eucalyptus_quadrans,1099,0,0.2239,410,64,-409.817,12,R073/T21,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,NA,quadrans,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,5.6,Semiarid,2,-33.3675,121.6933333
Eucalyptus quadrans,Eucalyptus quadrans,Eucalyptus quadrans,eucalyptus_quadrans,1099,0,0.2239,410,64,-409.817,12,R073/T22,Eucalyptus,Symphyomyrtus,Bisectae,Heterostemones,NA,quadrans,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,5.6,Semiarid,2,-33.3675,121.6933333
Eucalyptus pimpiniana,Eucalyptus pimpiniana,Eucalyptus pimpiniana,eucalyptus_pimpiniana,110,0,0.0635,175,31,-174.7245,2,R009/T35,Eucalyptus,Symphyomyrtus,Dumaria,Dissonae,NA,pimpiniana,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,17.9375,Arid,3,-29.34972222,130.1938889
Eucalyptus pimpiniana,Eucalyptus pimpiniana,Eucalyptus pimpiniana,eucalyptus_pimpiniana,110,0,0.0635,175,31,-174.7245,2,R009/T37,Eucalyptus,Symphyomyrtus,Dumaria,Dissonae,NA,pimpiniana,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,17.9375,Arid,3,-29.34972222,130.1938889
Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii,eucalyptus_kessellii,1101,0,0.2206,398,79,-397.8197,10,R065/T27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mallee,1,Polymorphic,4,18.8125,Semiarid,2,-33.25861111,122.1244444
Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii,eucalyptus_kessellii,1101,0,0.2206,398,79,-397.8197,10,R065/T28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mallee,1,Polymorphic,4,18.8125,Semiarid,2,-33.25861111,122.1244444
Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii,eucalyptus_kessellii,1101,0,0.2206,398,79,-397.8197,10,R065/T29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mallee,1,Polymorphic,4,18.8125,Semiarid,2,-33.25861111,122.1244444
Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii,eucalyptus_kessellii,1101,0,0.2206,398,79,-397.8197,10,R065/T30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mallee,1,Polymorphic,4,18.8125,Semiarid,2,-33.25861111,122.1244444
Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii subsp. kessellii,Eucalyptus kessellii,eucalyptus_kessellii,1101,0,0.2206,398,79,-397.8197,10,R065/T38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mallee,1,Polymorphic,4,18.8125,Semiarid,2,-33.25861111,122.1244444
Eucalyptus creta,Eucalyptus creta,Eucalyptus creta,eucalyptus_creta,1102,0,0.1989,362,74,-361.8181,10,R065/T23,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Contortae,NA,creta,NA,NA,NA,NA,NA,NA,Tree,0,Obligate seeder,0,15.38075,Arid,3,-33.07305556,122.2708333
Eucalyptus creta,Eucalyptus creta,Eucalyptus creta,eucalyptus_creta,1102,0,0.1989,362,74,-361.8181,10,R065/T25,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Contortae,NA,creta,NA,NA,NA,NA,NA,NA,Tree,0,Obligate seeder,0,15.38075,Arid,3,-33.07305556,122.2708333
Eucalyptus flocktoniae subsp. hebes,Eucalyptus flocktoniae subsp. hebes,Eucalyptus flocktoniae,eucalyptus_flocktoniae,1104,0,0.203,367,75,-366.8193,8,R065/T35,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decurrentes,flocktoniae,hebes,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,10.5,Semiarid,2,-33.14694444,122.1080556
Eucalyptus flocktoniae subsp. hebes,Eucalyptus flocktoniae subsp. hebes,Eucalyptus flocktoniae,eucalyptus_flocktoniae,1104,0,0.203,367,75,-366.8193,8,R065/T36,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decurrentes,flocktoniae,hebes,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,10.5,Semiarid,2,-33.14694444,122.1080556
Eucalyptus flocktoniae subsp. hebes,Eucalyptus flocktoniae subsp. hebes,Eucalyptus flocktoniae,eucalyptus_flocktoniae,1104,0,0.203,367,75,-366.8193,8,R065/T37,Eucalyptus,Symphyomyrtus,Bisectae,Subulatae,Decurrentes,flocktoniae,hebes,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,10.5,Semiarid,2,-33.14694444,122.1080556
Eucalyptus sp. Southern wheatbelt,Eucalyptus sp. Southern wheatbelt,Eucalyptus sp. Southern wheatbelt,eucalyptus_sp._Southern_wheatbelt,1105,0,0.203,367,75,-366.8193,5,R065/T20,Eucalyptus,Symphyomyrtus,Dumaria,Furfuraceae,NA,sp. Southern wheatbelt,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,8.68,Semiarid,2,-33.14694444,122.1080556
Eucalyptus sp. Southern wheatbelt,Eucalyptus sp. Southern wheatbelt,Eucalyptus sp. Southern wheatbelt,eucalyptus_sp._Southern_wheatbelt,1105,0,0.203,367,75,-366.8193,5,R065/T21,Eucalyptus,Symphyomyrtus,Dumaria,Furfuraceae,NA,sp. Southern wheatbelt,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,8.68,Semiarid,2,-33.14694444,122.1080556
Eucalyptus ovularis,Eucalyptus ovularis,Eucalyptus ovularis,eucalyptus_ovularis,1107,0,0.1818,345,62,-344.8103,12,R068/T24,Eucalyptus,Symphyomyrtus,Dumaria,Ovulares,NA,ovularis,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,4.2,Arid,3,-32.99694444,121.6480556
Eucalyptus ovularis,Eucalyptus ovularis,Eucalyptus ovularis,eucalyptus_ovularis,1107,0,0.1818,345,62,-344.8103,12,R068/T25,Eucalyptus,Symphyomyrtus,Dumaria,Ovulares,NA,ovularis,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,4.2,Arid,3,-32.99694444,121.6480556
Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus incrassata,eucalyptus_incrassata,1108,0,0.1533,293,45,-292.809,8,R068/T12,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,incrassata,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,14,Arid,3,-32.695,120.7838889
Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus incrassata,eucalyptus_incrassata,1108,0,0.1533,293,45,-292.809,8,R068/T13,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,incrassata,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,14,Arid,3,-32.695,120.7838889
Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus incrassata,eucalyptus_incrassata,1108,0,0.1533,293,45,-292.809,8,R068/T14,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,incrassata,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,14,Arid,3,-32.695,120.7838889
Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus incrassata,eucalyptus_incrassata,1108,0,0.1533,293,45,-292.809,8,R068/T15,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,incrassata,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,14,Arid,3,-32.695,120.7838889
Eucalyptus obesa,Eucalyptus obesa,Eucalyptus obesa,eucalyptus_obesa,1109,0,0.1523,294,44,-293.807,4,R068/T20,Eucalyptus,Symphyomyrtus,Bisectae,Falcatae,Decipientes,obesa,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,8.33,Arid,3,-32.68277778,120.6925
Eucalyptus obesa,Eucalyptus obesa,Eucalyptus obesa,eucalyptus_obesa,1109,0,0.1523,294,44,-293.807,4,R068/T21,Eucalyptus,Symphyomyrtus,Bisectae,Falcatae,Decipientes,obesa,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,8.33,Arid,3,-32.68277778,120.6925
Eucalyptus obesa,Eucalyptus obesa,Eucalyptus obesa,eucalyptus_obesa,1109,0,0.1523,294,44,-293.807,4,R068/T23,Eucalyptus,Symphyomyrtus,Bisectae,Falcatae,Decipientes,obesa,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,8.33,Arid,3,-32.68277778,120.6925
Eucalyptus deflexa,Eucalyptus deflexa,Eucalyptus deflexa,eucalyptus_deflexa,1110,0,0.1512,290,42,-289.8083,3,R070/T17,Eucalyptus,Symphyomyrtus,Dumaria,Merrickianae,NA,deflexa,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,3.0625,Arid,3,-32.92027778,120.3658333
Eucalyptus deflexa,Eucalyptus deflexa,Eucalyptus deflexa,eucalyptus_deflexa,1110,0,0.1512,290,42,-289.8083,3,R070/T18,Eucalyptus,Symphyomyrtus,Dumaria,Merrickianae,NA,deflexa,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,3.0625,Arid,3,-32.92027778,120.3658333
