Taxonsimplified_DN,Taxa_names_no_hyb,Binomial,binomial,UniqueID,Drought2020Scale.mean,AICorrected,AP,PDryQ,PrecDeficit,height_max_m,RowTree,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies,Wooddensity.g.cm3..mean,Diamthickness.mm..mean,SLA_m2.kg.mean,d13C.mean,totalN.mean,Habit,Habit_num,RegenStrategysimplified,RegenStrategysimplified_num,LeafAreaEst_cm2,Aridclass,Aridclass_num,latitude,longitude
Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus incrassata,eucalyptus_incrassata,4572,0,0.3031,538,79,-537.8226,8,R268/T08,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,incrassata,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,14,Semiarid,2,-33.73972222,123.0433333
Eucalyptus incrassata,Eucalyptus incrassata,Eucalyptus incrassata,eucalyptus_incrassata,4572,0,0.3031,538,79,-537.8226,8,R268/T09,Eucalyptus,Symphyomyrtus,Dumaria,Tetrapterae,NA,incrassata,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,14,Semiarid,2,-33.73972222,123.0433333
Eucalyptus semiglobosa,Eucalyptus semiglobosa,Eucalyptus semiglobosa,eucalyptus_semiglobosa,4579,2,0.4147,712,68,-711.8284,5,R265/T10,Eucalyptus,Symphyomyrtus,Bisectae,Falcatae,Rugatae,semiglobosa,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,21.65625,Semiarid,2,-33.99777778,122.1727778
Eucalyptus semiglobosa,Eucalyptus semiglobosa,Eucalyptus semiglobosa,eucalyptus_semiglobosa,4579,2,0.4147,712,68,-711.8284,5,R265/T11,Eucalyptus,Symphyomyrtus,Bisectae,Falcatae,Rugatae,semiglobosa,NA,NA,NA,NA,NA,NA,Mallee,1,Lignotuber resprouter,2,21.65625,Semiarid,2,-33.99777778,122.1727778
Eucalyptus cornuta,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus_cornuta,4587,1,0.373,623,71,-622.8331,20,R263/T09,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Cornutae,Cornutae,cornuta,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,14.67375,Semiarid,2,-34.09722222,123.1772222
Eucalyptus cornuta,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus_cornuta,4587,1,0.373,623,71,-622.8331,20,R263/T10,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Cornutae,Cornutae,cornuta,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,14.67375,Semiarid,2,-34.09722222,123.1772222
Eucalyptus cornuta,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus_cornuta,4587,1,0.373,623,71,-622.8331,20,R263/T11,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Cornutae,Cornutae,cornuta,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,14.67375,Semiarid,2,-34.09722222,123.1772222
Eucalyptus cornuta,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus_cornuta,4587,1,0.373,623,71,-622.8331,20,R263/T12,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Cornutae,Cornutae,cornuta,NA,NA,NA,NA,NA,NA,Tree,0,Combination resprouter,3,14.67375,Semiarid,2,-34.09722222,123.1772222
Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata,eucalyptus_conferruminata,4588,0,0.0289,77,6,-76.7343,4,R263/T13,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Cornutae,Conjunctae,conferruminata,recherche,NA,NA,NA,NA,NA,Tree,0,Obligate seeder,0,7.96425,Hyper arid,4,-34.10833333,123.1916667
Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata,eucalyptus_conferruminata,4588,0,0.0289,77,6,-76.7343,4,R263/T14,Eucalyptus,Symphyomyrtus,'Glandulosae' ms,Cornutae,Conjunctae,conferruminata,recherche,NA,NA,NA,NA,NA,Tree,0,Obligate seeder,0,7.96425,Hyper arid,4,-34.10833333,123.1916667
