UniqueID,Yearplanted.x,Taxonsimplified_DN,Provenance.x,latitude,longitude,AICorrected,MAT,ISOT,AP,PDryM,MaxTWarmM,PrecDeficit,height_max_m,LeafLenghtavg_mm,LeafWidth_avg_mm,LeafAreaEst_cm2,Thornhill_bionomial_tip_match2,percentage_affected,per_aff_spavg,per_aff_spavg_shift,AICorrected_spavg,MAT_spavg,MAP_spavg,PDryM_spavg,MaxTWarmM_spavg,PrecDeficit_spavg,height_max_m_spavg,LeafLenghtavg_mm_spavg,LeafWidth_avg_mm_spavg,LeafAreaEst_cm2_spavg
3448,2001,Eucalyptus aequioperta,"Hyden, WA",-32.05138889,118.8983333,0.1532,17.35000038,51.50463104,326,14,33.5,-325.7873,10,85,9,5.355,eucalyptus_aequioperta,0,0,1,0.1532,17.35000038,326,14,33.5,-325.7873,10,85,9,5.355
3454,2001,Eucalyptus thamnoides,"Quairading, WA",-31.97111111,117.2027778,0.1807,17.23333359,50.05973816,381,10,33,-380.7893,4,87.5,16,9.8,eucalyptus_thamnoides,0.25,0.25,1.25,0.1807,17.23333359,381,10,33,-380.7893,4,87.5,16,9.8
3457,2001,Eucalyptus salicola,"Baandie, WA",-31.58555556,117.9913889,0.1382,18.25416565,48.83512497,313,12,33.79999924,-312.7737,15,70,8,3.92,eucalyptus_salicola,0,0,1,0.1382,18.25416565,313,12,33.79999924,-312.7737,15,70,8,3.92
3497,2001,Eucalyptus subangusta subsp. pusilla,"Kalannie, WA",-29.77222222,117.0613889,0.1301,19.35416603,45.86148834,313,12,35.79999924,-312.7596,7,92.5,10,6.475,eucalyptus_subangusta,0,0,1,0.1301,19.35416603,313,12,35.79999924,-312.7596,7,92.5,10,6.475
3498,2001,Eucalyptus wubinensis,"Kalannie, WA",-29.80194444,117.1219444,0.1338,19.25833321,50.49284352,322,13,35.70000076,-321.7596,8,85,11,6.545,eucalyptus_wubinensis,0,0,1,0.114633333,18.5819444,261.6666667,13.33333333,33.83333359,-261.4397,9.333333333,97.66666667,12.33333333,8.491
3536,2001,Eucalyptus cuprea,"Murchison River, WA",-27.74833333,114.675,0.1326,20.89999962,52.10526657,325,4,36.29999924,-324.7551,6,107.5,16,12.04,eucalyptus_cuprea,0,0,1,0.1326,20.89999962,325,4,36.29999924,-324.7551,6,107.5,16,12.04
3571,2001,Eucalyptus proxima,"Desmond, WA",-33.63777778,120.1502778,0.2177,16.09166718,55,389,17,27.60000038,-388.8214,3,15,19,1.995,eucalyptus_proxima,0.25,0.25,1.25,0.2177,16.09166718,389,17,27.60000038,-388.8214,3,15,19,1.995
3579,2001,Eucalyptus purpurata,"Bandalup Hill 1, WA",-33.66861111,120.4008333,0.2346,16.4375,54.91352463,428,17,28,-427.8176,10,70,11,5.39,eucalyptus_purpurata,0.5,0.5,1.5,0.2346,16.4375,428,17,28,-427.8176,10,70,11,5.39
3583,2001,Eucalyptus suggrandis subsp. suggrandis,"Desmond, WA",-33.70861111,120.1163889,0.2328,16.32083321,54.49669126,412,16,27.29999924,-411.8231,5,62.5,14.5,6.34375,eucalyptus_suggrandis,0,0,1,0.21585,15.88541661,381.5,15,27.64999962,-381.32335,5,57,10.5,4.3435
3584,2001,Eucalyptus indurata,"Desmond, WA",-33.71722222,120.1055556,0.2337,16.41666603,55.96405411,416,16,27.39999962,-415.822,8,84,16,9.408,eucalyptus_indurata,0,0,1,0.2337,16.41666603,416,16,27.39999962,-415.822,8,84,16,9.408
3588,2001,Eucalyptus conglobata subsp. conglobata,"Quaggi Beach, WA",-33.8075,121.2994444,0.3105,16.54166603,50.62326586,548,15,26.70000076,-547.8236,20,100,27.5,19.25,eucalyptus_conglobata,0.25,0.0625,1.0625,0.196325,17.25729151,356.75,11,30.37500019,-356.54815,20,100,27.5,19.25
3606,2001,Eucalyptus creta,"Mt Ney, WA",-33.07166667,122.8166667,0.2043,16.23333,54.61432,368,21,29.1,-367.82,10,93.5,23.5,15.38075,eucalyptus_creta,0,0,1,0.2043,16.23333,368,21,29.1,-367.82,10,93.5,23.5,15.38075
3607,2001,Eucalyptus terebra,"Mt Buraminya, WA",-33.06694444,122.8219444,0.2043,16.23333,54.61432,368,21,29.1,-367.82,12,77.5,8.5,4.61125,eucalyptus_terebra,0,0,1,0.2043,16.23333,368,21,29.1,-367.82,12,77.5,8.5,4.61125
3618,2002,Eucalyptus luculenta,"Mt Buraminya, WA",-33.1575,123.0655556,0.2014,16.36667,55.53279,364,20,29.3,-363.8193,5,110,25,19.25,eucalyptus_luculenta,0,0,1,0.2014,16.36667,364,20,29.3,-363.8193,5,110,25,19.25
3644,2001,Eucalyptus pileata,"Norseman, WA",-32.52388889,121.6133333,0.1478,16.6875,50.980865,282,14,30.5,-281.8094,6,12.5,16,1.4,eucalyptus_pileata,0,0,1,0.1493,16.535415,286.5,13,30.2,-286.30825,6,12.5,16,1.4
3645,2001,Eucalyptus gracilis,"Norseman, WA",-32.40472222,121.7772222,0.1494,17.20417,50.81063,295,18,31.2,-294.8027,7,77.5,10.5,5.69625,eucalyptus_gracilis,0,0,1,0.1494,17.20417,295,18,31.2,-294.8027,7,77.5,10.5,5.69625
3646,2001,Eucalyptus stricklandii,"Norseman, WA",-32.19416667,121.7108333,0.1514,17.1,50.44192,303,19,31.6,-302.8,9,145,25,25.375,eucalyptus_stricklandii,0,0,1,0.1514,17.1,303,19,31.6,-302.8,9,145,25,25.375
3660,2001,Eucalyptus frenchiana,"Disappointment Rock, WA",-32.17333333,121.1375,0.1405,16.82083,49.5912,285,15,31.3,-284.7973,12,80,8.5,4.76,eucalyptus_frenchiana,0,0,1,0.1405,16.82083,285,15,31.3,-284.7973,12,80,8.5,4.76
3669,2001,Eucalyptus polita,"South Ironcap, WA",-32.59861111,119.7363889,0.2106,15.87917,50.23148,405,13,29.9,-404.8078,15,95,11,7.315,eucalyptus_polita,0,0,1,0.2106,15.87917,405,13,29.9,-404.8078,15,95,11,7.315
