TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,name,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted
Angophora costata subsp. costata,Angophora costata subsp. costata,Angophora costata subsp. costata,angophora costata subsp. costata,,Subspecies,D.Nicolle,2073,"Glenbrook, NSW",33,47,57,150,35,49,158,12,Alive,Moderate,Moderate,?,None evident,,,,,Slight,Flowered,Flowered,1998
Angophora costata subsp. euryphylla,Angophora costata subsp. euryphylla,Angophora costata subsp. euryphylla,angophora costata subsp. euryphylla,,Subspecies,D.Nicolle,2082,"Broken Back Range, NSW",32,46,15,151,13,9,152,3,Alive,Moderate,Slight,?,None evident,,,,,Slight,Flowered,Flowered,1998
Angophora floribunda,Angophora floribunda,Angophora floribunda,angophora floribunda,,Species ,D.Nicolle,2551,"Roma, Qld",26,25,56,148,47,32,171,17,Alive,None evident,None evident,?,,,,,,None evident,,,1999
Angophora hispida,Angophora hispida,Angophora hispida,angophora hispida,,Species ,D.Nicolle,6746,"St Ives, NSW",33,42,33,151,11,46,295,8,Alive,Moderate,None evident,??,None evident,,,,,Not applicable,,,2015
Angophora inopina,Angophora inopina,Angophora inopina,angophora inopina,,Species ,D.Nicolle,6258,"Wyee, NSW",33,11,13,151,29,30,279,5,Alive,None evident,None evident,?,,,,,,Not applicable,,,2013
Angophora leiocarpa,Angophora leiocarpa,Angophora leiocarpa,angophora leiocarpa,,Species ,D.Nicolle,2103,"Karara, Qld",28,9,9,151,33,20,84,6,Alive,None evident,None evident,?,,,,,,None evident,,,1998
Angophora melanoxylon,Angophora melanoxylon,Angophora melanoxylon,angophora melanoxylon,,Species ,D.Nicolle,2552,"St George, Qld",27,57,46,148,41,14,173,1,Alive,None evident,None evident,?,,,,,,None evident,,,1999
Angophora subvelutina,Angophora subvelutina,Angophora subvelutina,angophora subvelutina,,Species ,D.Nicolle,3204,"Mulgoa, NSW",33,50,8,150,39,10,239,21,Alive,None evident,None evident,?,,,,,,None evident,,,2001
Corymbia abbreviata,Corymbia abbreviata,Corymbia abbreviata,corymbia abbreviata,,Species ,D.Nicolle,1932,"Kununurra, WA",15,45,42,127,43,42,84,20,Dead,,,,,,,,,,,,1998
Corymbia abergiana,Corymbia abergiana,Corymbia abergiana,corymbia abergiana,,Species ,D.Nicolle,1303,"Paluma, Qld",19,0,26,146,5,28,93,19,Dead,,,,,,,,,,,,1996
Corymbia aparrerinja,Corymbia aparrerinja,Corymbia aparrerinja,corymbia aparrerinja,,Species ,,,Unknown origin,NA,NA,NA,NA,NA,,132,7,Alive,Dead (non-drought),,,,,,,2 - 3 years,None evident,,,1997
Corymbia arnhemensis,Corymbia arnhemensis,Corymbia arnhemensis,corymbia arnhemensis,,Species ,D.Nicolle,2484,"Twin Falls, NT",13,19,NA,132,47,,312,30,Alive,None evident,None evident,?,,,,,,Not applicable,,,2011
Corymbia aureola,Corymbia aureola,Corymbia aureola,corymbia aureola,,Species ,D.Nicolle,2542,"Cherwell Range, Qld",22,14,25,147,59,52,168,11,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Corymbia bella,Corymbia bella,Corymbia bella,corymbia bella,,Species ,D.Nicolle,4204,"Bulman, NT",13,39,36,134,19,37,245,14,Dead,,,,,,,,,,,,2002
Corymbia bleeseri,Corymbia bleeseri,Corymbia bleeseri,corymbia bleeseri,,Species ,D.Nicolle,1923,"Drysdale River, WA",15,38,26,126,22,6,142,37,Dead,,,,,,,,,,,,1997
Corymbia bloxsomei,Corymbia bloxsomei,Corymbia bloxsomei,corymbia bloxsomei,,Species ,D.Nicolle,687,"Barakula State Forest, Qld",26,29,41,150,45,21,55,28,Alive,None evident,Moderate,??,None evident,,,,,None evident,Flowered,Flowered,1994
Corymbia brachycarpa,Corymbia brachycarpa,Corymbia brachycarpa,corymbia brachycarpa,,Species ,D.Nicolle,2534,"Burra Siding, Qld",20,43,52,145,10,45,168,24,Alive,None evident,None evident,?,,,,,,None evident,,,1999
Corymbia bunites,Corymbia bunites,Corymbia bunites,corymbia bunites,,Species ,D.Nicolle,711,"Blackdown Tableland, Qld",23,48,34,149,2,3,54,1,Alive,None evident,Slight,?,None evident,,,,,None evident,,,1994
Corymbia cadophora subsp. cadophora,Corymbia cadophora subsp. cadophora,Corymbia cadophora subsp. cadophora,corymbia cadophora subsp. cadophora,,Subspecies,D.Nicolle,1905,"Derby, WA",17,23,14,123,56,36,188,17,Dead,,,,,,,,,,,,2000
Corymbia cadophora subsp. pliantha,Corymbia cadophora subsp. pliantha,Corymbia cadophora subsp. pliantha,corymbia cadophora subsp. pliantha,,Subspecies,D.Nicolle,1929,"Ellenbrae Station, WA",15,57,18,126,49,3,140,29,Dead,,,,,,,,,,,,1997
Corymbia cadophora subsp. polychroma ,Corymbia cadophora subsp. polychroma,Corymbia cadophora subsp. polychroma,corymbia cadophora subsp. polychroma,,Subspecies,D.Nicolle,5858,"Ragged Range, WA",16,37,51,128,15,58,316,29,Dead,,,,,,,,,,,,2011
Corymbia calophylla,Corymbia calophylla,Corymbia calophylla,corymbia calophylla,,Species ,D.Nicolle,1160,"Cockleshell Gully, WA",30,8,27,115,6,57,72,28,Alive,Moderate,Moderate,?,None evident,,,,,Slight,,,1995
Corymbia candida,Corymbia candida,Corymbia candida,corymbia candida,,Species ,D.Nicolle,7230,"Barradale, WA",22,56,37,114,42,7,346,5,Alive,None evident,None evident,?,,,,,,Not applicable,,,2017
Corymbia capricornia,Corymbia capricornia,Corymbia dichromophloia,corymbia dichromophloia,,Species ,D.Nicolle,1335,"Renner Springs, NT",18,13,9,133,44,0,93,28,Dead,,,,,,,,,,,,1996
Corymbia chartacea,Corymbia chartacea,Corymbia chartacea,corymbia chartacea,,Species ,D.Nicolle,2474,"Jabiru, NT",12,32,14,132,54,7,177,31,Dead,,,,,,,,,,,,1999
Corymbia chippendalei,Corymbia chippendalei,Corymbia chippendalei,corymbia chippendalei,,Species ,D.Nicolle,2695,"Warburton, WA",26,13,11,126,18,18,182,9,Dead,,,,,,,,,,,,2000
Corymbia clandestina,Corymbia clandestina,Corymbia clandestina,corymbia clandestina,,Species ,D.Nicolle,2541,"Drummond Range, Qld",22,41,0,147,23,8,173,10,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Corymbia clarksoniana,Corymbia clarksoniana,Corymbia clarksoniana,corymbia clarksoniana,,Species ,D.Nicolle,2511,"Musgrave, Qld",14,49,12,143,30,58,246,8,Dead,,,,,,,,,,,,2002
Corymbia cliftoniana,Corymbia cliftoniana,Corymbia cliftoniana,corymbia cliftoniana,,Species ,D.Nicolle,1940,"Baily Range, WA",18,25,46,127,32,32,202,5,Dead,,,,,,,,,,,,2002
Corymbia collina,Corymbia collina,Corymbia collina,corymbia collina,,Species ,D.Nicolle,1915,"Phillips Range, WA",16,54,17,125,45,54,139,12,Dead,,,,,,,,,,,,1997
Corymbia dampieri,Corymbia dampieri,Corymbia greeniana,corymbia greeniana,,Species ,D.Nicolle,1900,"Legrange, WA",18,38,26,121,56,40,135,33,Dead,,,,,,,,,,,,1997
Corymbia deserticola subsp. deserticola,Corymbia deserticola subsp. deserticola,Corymbia deserticola subsp. deserticola,corymbia deserticola subsp. deserticola,,Subspecies,D.Nicolle,4267,"Telfer, WA",21,38,41,122,4,12,199,31,Dead,,,,,,,,,,,,2002
Corymbia deserticola subsp. mesogeotica,Corymbia deserticola subsp. mesogeotica,Corymbia deserticola subsp. mesogeotica,corymbia deserticola subsp. mesogeotica,,Subspecies,D.Nicolle,2439,"Tennant Creek, NT",20,1,25,134,12,51,201,36,Dead,,,,,,,,,,,,2002
Corymbia dichromophloia,Corymbia dichromophloia,Corymbia rubens,corymbia rubens,,Species ,D.Nicolle,2463,"Pine Creek, NT",13,39,13,132,9,23,305,26,Dead,,,,,,,,,,,,2010
Corymbia dimorpha,Corymbia dimorpha,Corymbia peltata,corymbia peltata,,Species ,D.Nicolle,2528,"Laroona, Qld",19,16,51,145,55,19,169,8,Alive,None evident,Moderate,??,None evident,,,,,None evident,,,1999
Corymbia dolichocarpa,Corymbia dolichocarpa,Corymbia clarksoniana,corymbia clarksoniana,,Species ,D.Nicolle,2550,"Injune, Qld",26,17,23,148,44,23,173,19,Dead,,,,,,,,,,,,1999
Corymbia drysdalensis,Corymbia drysdalensis,Corymbia dichromophloia,corymbia dichromophloia,,Species ,D.Nicolle,1907,"King Leopold Ranges, WA",17,8,31,125,4,37,137,23,Dead,,,,,,,,,,,,1997
Corymbia ellipsoidea,Corymbia ellipsoidea,Corymbia ellipsoidea,corymbia ellipsoidea,,Species ,D.Nicolle,5112,"Mt Garnet, Qld",17,38,16,145,3,27,304,4,Alive,None evident,None evident,?,,,,,,Not applicable,,,2010
Corymbia eremaea subsp. eremaea,Corymbia eremaea subsp. eremaea,Corymbia eremaea subsp. eremaea,corymbia eremaea subsp. eremaea,,Subspecies,D.Nicolle,1210,"Kulgera roadhouse, NT",25,55,32,133,14,46,66,17,Alive,None evident,None evident,?,,,,,,None evident,,,1995
Corymbia eremaea subsp. oligiocarpa,Corymbia eremaea subsp. oligiocarpa,Corymbia eremaea subsp. oligiocarpa,corymbia eremaea subsp. oligiocarpa,,Subspecies,D.Nicolle,1208,"Mt Gillen, NT",23,43,30,133,51,26,66,24,Alive,Moderate,Moderate,?,None evident,,,,,None evident,,,1995
Corymbia erythrophloia,Corymbia erythrophloia,Corymbia erythrophloia,corymbia erythrophloia,,Species ,D.Nicolle,2530,"Charters Towers, Qld",19,44,56,145,57,14,170,24,Alive,None evident,None evident,?,,,,,,None evident,,,1999
Corymbia eximia,Corymbia eximia,Corymbia eximia,corymbia eximia,,Species ,D.Nicolle,632,"Wisemans Ferry, NSW",33,23,23,150,58,57,53,21,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1994
Corymbia ferriticola,Corymbia ferriticola,Corymbia ferriticola,corymbia ferriticola,,Species ,D.Nicolle,2752,"Meekatharra, WA",26,21,48,118,24,34,182,25,Alive,Moderate,Moderate,?,Moderate,Tertiary branches,3 - 6 months,Slight,,None evident,,,2000
Corymbia ferruginea subsp. ferruginea,Corymbia ferruginea subsp. ferruginea,Corymbia ferruginea subsp. ferruginea,corymbia ferruginea subsp. ferruginea,,Subspecies,D.Nicolle,2466,"Pine Creek, NT",13,40,38,131,41,30,242,20,Dead,,,,,,,,,,,,2002
Corymbia ferruginea subsp. stypophylla,Corymbia ferruginea subsp. stypophylla,Corymbia ferruginea subsp. stypophylla,corymbia ferruginea subsp. stypophylla,,Subspecies,D.Nicolle,1336,"Lake Woods, NT",17,52,51,133,41,47,303,30,Dead,,,,,,,,,,,,2010
Corymbia ficifolia,Corymbia ficifolia,Corymbia ficifolia,corymbia ficifolia,,Species ,D.Nicolle,1138,"Bow Bridge, WA",35,1,23,116,55,50,68,28,Dead,,,,,,,,,Died in 2006,,,1995
Corymbia foelscheana,Corymbia foelscheana,Corymbia foelscheana,corymbia foelscheana,,Species ,D.Nicolle,2470,"Adelaide River, NT",13,30,58,131,23,35,171,31,Dead,,,,,,,,,,,,1999
Corymbia grandifolia subsp. lamprocardia,Corymbia grandifolia subsp. lamprocardia,Corymbia grandifolia subsp. lamprocardia,corymbia grandifolia subsp. lamprocardia,,Subspecies,D.Nicolle,2461,"Pine Creek, NT",13,39,58,132,3,10,167,15,Dead,,,,,,,,,,,,1999
Corymbia grandifolia subsp. longior,Corymbia grandifolia subsp. longior,Corymbia grandifolia,corymbia grandifolia,,Species ,D.Nicolle,4215,"Gumadeer, NT",12,11,40,133,24,19,247,12,Dead,,,,,,,,,,,,2002
Corymbia gummifera,Corymbia gummifera,Corymbia gummifera,corymbia gummifera,,Species ,D.Nicolle,1228,"Ku-Ring-Gai Chase, NSW",33,41,3,151,13,54,93,18,Alive,Slight,Moderate,?,Scattered,Primary & secondary branches,3 - 6 months,Slight,,None evident,Flowered,Flowered,1996
Corymbia haematoxylon,Corymbia haematoxylon,Corymbia haematoxylon,corymbia haematoxylon,,Species ,D.Nicolle,1147,"Busselton, WA",33,42,58,115,31,34,72,32,Alive,Severe,Severe,?,Scattered,Trunk only,3 - 6 months,None evident,6 - 12 months,None evident,Flowered,Flowered,1995
Corymbia hamersleyana,Corymbia hamersleyana,Corymbia hamersleyana,corymbia hamersleyana,,Species ,D.Nicolle,1190,"Mt Nameless, WA",22,43,18,117,45,26,64,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Corymbia hendersonii,Corymbia hendersonii,Corymbia hendersonii,corymbia hendersonii,,Species ,D.Nicolle,701,"Springsure, Qld",24,13,26,148,14,34,59,17,Alive,Dead,,,,,,,1 - 2 years,None evident,,,1994
Corymbia intermedia,Corymbia intermedia,Corymbia intermedia,corymbia intermedia,,Species ,D.Nicolle,708,"Blackdown Tableland, Qld",23,50,23,149,4,58,54,9,Alive,Moderate,Severe,?,None evident,,,,,Moderate,,,1994
Corymbia jacobsiana,Corymbia jacobsiana,Corymbia jacobsiana,corymbia jacobsiana,,Species ,D.Nicolle,2464,"Pine Creek, NT",13,44,58,131,44,31,245,4,Dead,,,,,,,,,,,,2002
Corymbia latifolia,Corymbia latifolia,Corymbia latifolia,corymbia latifolia,,Species ,D.Nicolle,1922,"Drysdale River, WA",15,53,39,126,20,58,142,34,Dead,,,,,,,,,,,,1997
Corymbia leichhardtii,Corymbia leichhardtii,Corymbia leichhardtii,corymbia leichhardtii,,Species ,D.Nicolle,1277,"Springsure, Qld",24,9,4,147,52,48,89,4,Alive,Moderate,Slight,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,,,1996
Corymbia lenziana,Corymbia lenziana,Corymbia lenziana,corymbia lenziana,,Species ,D.Nicolle,537,"Karalundi, WA",25,51,22,119,4,30,40,1,Dead,,,,,,,,,,,,1994
Corymbia leptoloma,Corymbia leptoloma,Corymbia leptoloma,corymbia leptoloma,,Species ,D.Nicolle,1302,"Paluma, Qld",19,0,40,146,5,57,95,10,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1996
Corymbia ligans (subsp. novacastrensis),Corymbia ligans,Corymbia ligans,corymbia ligans,,Species ,D.Nicolle,2504,"Newcastle Range, Qld",18,37,11,143,47,28,168,31,Dead,,,,,,,,,,,,1999
Corymbia maculata,Corymbia maculata,Corymbia maculata,corymbia maculata,,Species ,D.Nicolle,1752,"Narooma, NSW",36,16,54,150,7,29,140,8,Alive,Moderate,Moderate,?,Scattered,Tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1997
Corymbia maculata (C. henryi),Corymbia maculata,Corymbia henryi,corymbia henryi,,Species ,D.Nicolle,1259,"Helidon Hills, Qld",27,26,46,152,11,49,91,6,Alive,Slight,None evident,?,None evident,,,,,None evident,Flowered,Flowered,1996
Corymbia nesophila,Corymbia nesophila,Corymbia nesophila,corymbia nesophila,,Species ,D.Nicolle,1319,"Cooktown, Qld",15,17,19,144,51,4,157,33,Dead,,,,,,,,,,,,1998
Corymbia novoguinensis,Corymbia novoguinensis,Corymbia novoguinensis,corymbia novoguinensis,,Species ,CSIRO,16616,"Derideri, PNG",8,44,NA,141,53,,80,20,Dead,,,,,,,,,,,,1999
Corymbia oocarpa,Corymbia oocarpa,Corymbia oocarpa,corymbia oocarpa,,Species ,D.Nicolle,2479,"Oenpelli, NT",12,8,14,133,43,22,172,26,Dead,,,,,,,,,,,,1999
Corymbia opaca,Corymbia opaca,Corymbia opaca,corymbia opaca,,Species ,D.Nicolle,1196,"Great Sandy Desert, WA",22,57,27,122,37,4,67,36,Dead,,,,,,,,,,,,1995
Corymbia pachycarpa (subsp. glabrescens),Corymbia pachycarpa,Corymbia pachycarpa,corymbia pachycarpa,,Species ,D.Nicolle,1198,"Great Sandy Desert, WA",22,41,40,123,43,31,73,18,Dead,,,,,,,,,,,,1995
Corymbia papillosa,Corymbia papillosa,Corymbia papillosa,corymbia papillosa,,Species ,D.Nicolle,4207,"Ramingining, NT",13,2,56,134,50,59,242,24,Dead,,,,,,,,,,,,2002
Corymbia paractia,Corymbia paractia,Corymbia paractia,corymbia paractia,,Species ,D.Nicolle,1901,"Broome, WA",17,56,23,122,12,45,136,21,Dead,,,,,,,,,,,,1997
Corymbia peltata,Corymbia peltata,Corymbia peltata,corymbia peltata,,Species ,D.Nicolle,2505,"Newcastle Range, Qld",18,37,10,143,49,35,168,27,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Corymbia petalophylla,Corymbia petalophylla,Corymbia petalophylla,corymbia petalophylla,,Species ,D.Nicolle,1262,"Eldsvoid, Qld",25,26,6,150,57,30,89,32,Alive,Slight,None evident,?,None evident,,,,,None evident,Flowered,Flowered,1996
Corymbia plena,Corymbia plena,Corymbia plena,corymbia plena,,Species ,D.Nicolle,2535,"Torrens Creek, Qld",20,46,3,145,1,39,171,25,Alive,None evident,None evident,?,,,,,,None evident,,,1999
Corymbia pocillum,Corymbia pocillum,Corymbia pocillum,corymbia pocillum,,Species ,D.Nicolle,2497,"Bang Bang, Qld",18,31,39,140,38,48,172,5,Dead,,,,,,,,,,,,1999
Corymbia polycarpa,Corymbia polycarpa,Corymbia polycarpa,corymbia polycarpa,,Species ,D.Nicolle,4197,"Daly Waters, NT",16,15,3,133,23,56,340,5,Alive,None evident,None evident,?,,,,,,Not applicable,,,2017
Corymbia polysciada,Corymbia polysciada,Corymbia polysciada,corymbia polysciada,,Species ,D.Nicolle,2457,"Pine Creek, NT",13,50,53,131,50,24,173,12,Dead,,,,,,,,,,,,1999
Corymbia porrecta,Corymbia porrecta,Corymbia porrecta,corymbia porrecta,,Species ,D.Nicolle,2471,"Humpty Doo, NT",12,42,30,131,25,27,174,33,Dead,,,,,,,,,,,,1999
Corymbia ptychocarpa subsp. aptycha,Corymbia ptychocarpa subsp. aptycha,Corymbia ptychocarpa subsp. aptycha,corymbia ptychocarpa subsp. aptycha,,Subspecies,D.Nicolle,2476,"Oenpelli, NT",12,23,6,133,1,15,169,20,Dead,,,,,,,,,,,,1999
Corymbia ptychocarpa subsp. ptychocarpa,Corymbia ptychocarpa subsp. ptychocarpa,Corymbia ptychocarpa subsp. ptychocarpa,corymbia ptychocarpa subsp. ptychocarpa,,Subspecies,D.Nicolle,1343,"Maranboy, NT",14,16,25,132,49,52,91,15,Dead,,,,,,,,,,,,1996
Corymbia rhodops,Corymbia rhodops,Corymbia rhodops,corymbia rhodops,,Species ,D.Nicolle,1306,"Herberton, Qld",17,23,8,145,20,10,94,22,Alive,None evident,None evident,?,,,,,,None evident,,,1996
Corymbia scabrida,Corymbia scabrida,Corymbia scabrida,corymbia scabrida,,Species ,D.Nicolle,1278,"Springsure, Qld",24,21,55,147,23,33,89,11,Alive,None evident,Slight,?,None evident,,,,,None evident,,,1996
Corymbia serendipita,Corymbia serendipita,Corymbia serendipita,corymbia serendipita,,Species ,D.Nicolle,2502,"Newcastle Range, Qld",18,37,11,143,47,28,168,25,Dead,,,,,,,,,,,,1999
Corymbia setosa subsp. setosa,Corymbia setosa subsp. setosa,Corymbia setosa subsp. setosa,corymbia setosa subsp. setosa,,Subspecies,D.Nicolle,2441,"Renner Springs, NT",18,17,18,133,46,42,206,17,Dead,,,,,,,,,,,,2002
Corymbia sphaerica,Corymbia sphaerica,Corymbia sphaerica,corymbia sphaerica,,Species ,D.Nicolle,2437,"Barrow Creek, NT",21,13,15,134,7,57,179,5,Dead,,,,,,,,,,,,1999
Corymbia stockeri subsp. peninsularis,Corymbia stockeri subsp. peninsularis,Corymbia stockeri subsp. peninsularis,corymbia stockeri subsp. peninsularis,,Subspecies,D.Nicolle,1318,"Battlecamp,Qld",15,17,23,144,50,45,93,30,Dead,,,,,,,,,,,,1996
Corymbia stockeri subsp. stockeri (C. lamprophylla),Corymbia stockeri subsp. stockeri,Corymbia stockeri subsp. lamprophylla,corymbia stockeri subsp. lamprophylla,,Subspecies,D.Nicolle,1290,"White Mountains NP, Qld",20,42,15,145,13,50,134,5,Dead,,,,,,,,,,,,1997
Corymbia terminalis,Corymbia terminalis,Corymbia terminalis,corymbia terminalis,,Species ,D.Nicolle,2120,"Charleville, Qld",26,39,12,145,33,49,82,3,Alive,None evident,None evident,?,,,,,,None evident,,,1998
Corymbia tessellaris,Corymbia tessellaris,Corymbia tessellaris,corymbia tessellaris,,Species ,,,Unknown origin,NA,NA,NA,NA,NA,,61,39,Alive,None evident,None evident,?,,,,,,None evident,,,1995
Corymbia torelliana,Corymbia torelliana,Corymbia torelliana,corymbia torelliana,,Species ,,,"Cultivated, Robina, Qld",NA,NA,NA,NA,NA,,209,18,Alive,Moderate,Moderate,?,None evident,,,,,Not applicable,,,2006
Corymbia trachyphloia subsp. amphistomatica,Corymbia trachyphloia subsp. amphistomatica,Corymbia trachyphloia,corymbia trachyphloia,,Species ,D.Nicolle,2084,"Gungal, NSW",32,15,23,150,25,56,84,25,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998
Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,corymbia trachyphloia subsp. trachyphloia,,Subspecies,D.Nicolle,2110,"Mt Tibrogargan, Qld",26,55,35,152,56,23,159,18,Alive,Severe,Severe,?,Extensive,"Primary, secondary & tertiary branches",3 - 6 months,Moderate,,None evident,Budded,Budded,1998
Corymbia umbonata,Corymbia umbonata,Corymbia umbonata,corymbia umbonata,,Species ,D.Nicolle,2488,"Mataranka, NT",14,35,45,132,33,5,166,25,Dead,,,,,,,,,,,,1999
Corymbia variegata,Corymbia variegata,Corymbia citriodora,corymbia citriodora,,Species ,D.Nicolle,1246,"Drake, NSW",28,53,38,152,28,36,91,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Corymbia watsoniana subsp. capillata,Corymbia watsoniana subsp. capillata,Corymbia watsoniana subsp. capillata,corymbia watsoniana subsp. capillata,,Subspecies,D.Nicolle,2547,"Expedition Range, Qld",24,38,5,149,6,31,168,3,Alive,None evident,Slight,?,None evident,,,,,None evident,,,1999
Corymbia watsoniana subsp. watsoniana,Corymbia watsoniana subsp. watsoniana,Corymbia watsoniana subsp. watsoniana,corymbia watsoniana subsp. watsoniana,,Subspecies,D.Nicolle,688,"Barakula forest, Qld",26,29,41,150,45,21,55,24,Alive,None evident,None evident,?,,,,,,None evident,,,1994
Corymbia x opacula (C. capricornia - C. opaca intergrade),Corymbia x opacula,Corymbia x opacula,corymbia x opacula,,Hybrid,D.Nicolle,4234,"Turkey Creek, WA",17,39,0,127,49,38,240,30,Dead,,,,,,,,,,,,2002
Corymbia xanthope,Corymbia xanthope,Corymbia xanthope,corymbia xanthope,,Species ,D.Nicolle,2543,"Marlborough, Qld",22,51,31,149,59,18,167,6,Alive,None evident,None evident,?,,,,,,None evident,,,1999
Corymbia zygophylla,Corymbia zygophylla,Corymbia zygophylla,corymbia zygophylla,,Species ,D.Nicolle,1185,"Exmouth Gulf, WA",22,44,46,114,23,23,69,5,Dead,,,,,,,,,Not applicable,,,1995
Eucalyptus absita,Eucalyptus absita,Eucalyptus absita,eucalyptus absita,,Species ,D.Nicolle,1154,"Badgingarra, WA",30,26,13,115,34,32,68,10,Alive,Moderate,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1995
Eucalyptus acaciiformis,Eucalyptus acaciiformis,Eucalyptus acaciiformis,eucalyptus acaciiformis,,Species ,D.Nicolle,6217,"Ebor, NSW",30,28,36,152,19,22,242,24,Alive,Moderate,Moderate,?,None evident,,,,,Not applicable,,,2013
Eucalyptus accedens,Eucalyptus accedens,Eucalyptus accedens,eucalyptus accedens,,Species ,D.Nicolle,1164,"Dongara, WA",29,26,1,115,20,19,66,2,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus acies,Eucalyptus acies,Eucalyptus acies,eucalyptus acies,,Species ,D.Nicolle,225,"Cheyne Beach, WA",34,53,23,118,24,25,42,24,Dead,,,,,,,,,,,,1994
Eucalyptus acmenoides (E. uvida),Eucalyptus acmenoides,Eucalyptus acmenoides,eucalyptus acmenoides,,Species ,D.Nicolle,1299,"Paluma, Qld",18,59,7,146,17,44,93,20,Dead,,,,,,,,,,,,1996
Eucalyptus adesmophloia,Eucalyptus adesmophloia,Eucalyptus adesmophloia,eucalyptus adesmophloia,,Species ,D.Nicolle,216,"Beaufort Inlet, WA",34,25,38,118,52,48,21,6,Alive,None evident,Slight,?,None evident,,,,,None evident,,,1993
Eucalyptus adesmophloia - E. obesa intergrade (E. communalis),Eucalyptus × communalis,Eucalyptus communalis,eucalyptus communalis,,Species ,D.Nicolle,200,"Hamersley River, WA",33,51,1,119,49,32,18,27,Dead,,,,,,,,,,,,1993
Eucalyptus aenea,Eucalyptus aenea,Eucalyptus viridis,eucalyptus viridis,,Species ,D.Nicolle,2083,"Gungal, NSW",32,17,34,150,24,40,84,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998
Eucalyptus aenea (E. castrensis),Eucalyptus × castrensis,Eucalyptus castrensis,eucalyptus castrensis,,Species ,D.Nicolle,5263,"Pokolbin, NSW",32,45,22,151,14,19,303,9,Alive,None evident,Slight,?,None evident,,,,,Not applicable,Flowered,Flowered,2010
Eucalyptus aequioperta,Eucalyptus aequioperta,Eucalyptus aequioperta,eucalyptus aequioperta,,Species ,D.Nicolle,3448,"Hyden, WA",32,3,5,118,53,54,223,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
Eucalyptus agglomerata,Eucalyptus agglomerata,Eucalyptus agglomerata,eucalyptus agglomerata,,Species ,D.Nicolle,1754,"Nelligen, NSW",35,32,53,149,59,3,140,15,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1997
Eucalyptus aggregata,Eucalyptus aggregata,Eucalyptus aggregata,eucalyptus aggregata,,Species ,D.Nicolle,1224,"Rydal, NSW",33,27,46,150,1,49,92,22,Alive,Dead,,,,,,,6 - 12 months,None evident,Flowered,Flowered,1996
Eucalyptus alaticaulis,Eucalyptus alaticaulis,Eucalyptus alaticaulis,eucalyptus alaticaulis,,Species ,D.Nicolle,356,"Mt William Range, Vic",37,17,NA,142,35,,71,33,Alive,Moderate,Moderate,?,None evident,,,,,Severe,,,1995
Eucalyptus alatissima,Eucalyptus alatissima,Eucalyptus alatissima,eucalyptus alatissima,,Species ,D.Nicolle,1530,"Ilkurlka, WA",28,18,45,127,14,15,86,6,Dead,,,,,,,,,,,,1996
Eucalyptus alba var. australasica,Eucalyptus alba var. australasica,Eucalyptus alba var. australasica,eucalyptus alba var. australasica,,Variety,D.Nicolle,2475,"Jabiru, NT",12,30,3,132,53,29,165,12,Dead,,,,,,,,,,,,1999
Eucalyptus albens,Eucalyptus albens,Eucalyptus albens,eucalyptus albens,,Species ,D.Nicolle,1676,"Melrose, SA",32,55,3,138,9,32,133,8,Alive,Dead,,,,,,,2 - 3 years,None evident,,,1997
Eucalyptus albida,Eucalyptus albida,Eucalyptus albida,eucalyptus albida,,Species ,D.Nicolle,2214,"Marchagee Track, WA",30,11,7,115,39,55,175,31,Dead,,,,,,,,,,,,1999
Eucalyptus albopurpurea,Eucalyptus albopurpurea,Eucalyptus albopurpurea,eucalyptus albopurpurea,,Species ,D.Nicolle,3180,"Sleaford Mere 2, SA",34,49,59,135,43,59,220,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2001
