TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,name,Note.Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted
Eucalyptus chlorophylla,Eucalyptus chlorophylla,Eucalyptus chlorophylla,eucalyptus chlorophylla,,Species ,D.Nicolle,1315,"Laura, Qld",15,21,35,144,26,33,93,14,Alive,None evident,None evident,?,,,,,,None evident,,,1996
Eucalyptus cinerea subsp. cinerea,Eucalyptus cinerea subsp. cinerea,Eucalyptus cinerea subsp. cinerea,eucalyptus cinerea subsp. cinerea,,Subspecies,D.Nicolle,3211,"Marulan, NSW",34,41,2,150,3,6,237,3,Alive,Dead,,,,,,,6 - 12 months,Slight,Flowered,Flowered,2001
Eucalyptus cinerea subsp. triplex (subsp. victoriensis),Eucalyptus cinerea subsp. triplex,Eucalyptus cinerea subsp. triplex,eucalyptus cinerea subsp. triplex,,Subspecies,D.Nicolle,569,"Beechworth, Vic",36,18,26,146,40,4,56,13,Alive,Moderate,Moderate,?,None evident,,,,,Moderate,Flowered,Flowered,1994
Eucalyptus cladocalyx subsp. cladocalyx,Eucalyptus cladocalyx subsp. cladocalyx,Eucalyptus cladocalyx subsp. cladocalyx,eucalyptus cladocalyx subsp. cladocalyx,,Subspecies,D.Nicolle,3182,"Coomunga, SA",34,38,48,135,42,44,229,17,Alive,None evident,None evident,?,,,,,,Slight,Flowered,Flowered,2001
Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,Eucalyptus cladocalyx subsp. crassa,eucalyptus cladocalyx subsp. crassa,,Subspecies,D.Nicolle,1053,"Kangaroo Island, SA",35,58,38,136,51,26,75,12,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
Eucalyptus cladocalyx subsp. petila,Eucalyptus cladocalyx subsp. petila,Eucalyptus cladocalyx subsp. petila,eucalyptus cladocalyx subsp. petila,,Subspecies,D.Nicolle,2569,"Wilmington, SA",32,41,58,138,2,5,174,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999
Eucalyptus clelandiorum,Eucalyptus clelandiorum,Eucalyptus clelandiorum,eucalyptus clelandiorum,,Species ,D.Nicolle,333,"Callion, WA",30,12,23,120,37,54,11,19,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993
Eucalyptus clivicola,Eucalyptus clivicola,Eucalyptus clivicola,eucalyptus clivicola,,Species ,D.Nicolle,193,"Ravensthorpe, WA",33,42,3,120,11,16,16,10,Alive,Moderate,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1993
Eucalyptus cloeziana,Eucalyptus cloeziana,Eucalyptus cloeziana,eucalyptus cloeziana,,Species ,D.Nicolle,696,"Isla Gorge, Qld",25,11,5,149,59,21,56,22,Alive,None evident,Slight,?,None evident,,,,,None evident,,,1994
Eucalyptus cneorifolia,Eucalyptus cneorifolia,Eucalyptus cneorifolia,eucalyptus cneorifolia,,Species ,D.Nicolle,75,"Waitpinga, SA",35,34,NA,138,32,,44,4,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1994
Eucalyptus coccifera,Eucalyptus coccifera,Eucalyptus coccifera,eucalyptus coccifera,,Species ,D.Nicolle,1961,"Cradle Mountain, Tas",41,40,NA,145,57,,157,17,Dead,,,,,,,,,,,,1998
Eucalyptus codonocarpa,Eucalyptus codonocarpa,Eucalyptus codonocarpa,eucalyptus codonocarpa,Synonym of Eucalyptus approximans subsp. codonocarpa ,Species ,D.Nicolle,2097,"Gibraltar Range Nat. Park, NSW",29,32,31,152,16,36,155,13,Dead,,,,,,,,,,,,1998
Eucalyptus comitae-vallis,Eucalyptus comitae-vallis,Eucalyptus comitae-vallis,eucalyptus comitae-vallis,,Species,D.Nicolle,1897,"Marchagee, WA",30,6,49,115,59,30,132,27,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997
Eucalyptus concinna,Eucalyptus concinna,Eucalyptus concinna,eucalyptus concinna,,Species ,D.Nicolle,1391,"Tarcoola, SA",30,50,32,134,34,19,86,33,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996
Eucalyptus conferruminata subsp. conferruminata,Eucalyptus conferruminata subsp. conferruminata,Eucalyptus conferruminata subsp. conferruminata,eucalyptus conferruminata subsp. conferruminata,,Subspecies,D.Nicolle,3570,"Quoin Head, WA",33,59,5,119,49,32,230,15,Alive,Dead,,,,,,,6 - 12 months,Moderate,Flowered,Flowered,2001
Eucalyptus conferruminata subsp. 'eastern mainland',Eucalyptus conferruminata subsp. 'eastern mainland',Eucalyptus conferruminata,eucalyptus conferruminata,,Species ,D.Nicolle,1639,"Cape Le Grand, WA",33,59,39,122,13,15,134,19,Alive,None evident,Moderate,??,Scattered,Primary & secondary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1997
Eucalyptus conferruminata subsp. recherche ,Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata subsp. recherche,eucalyptus conferruminata subsp. recherche,,Subspecies,D.Nicolle,4611,"Woody Island, WA",33,58,1,122,0,37,267,2,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2004
Eucalyptus confluens,Eucalyptus confluens,Eucalyptus confluens,eucalyptus confluens,,Species ,D.Nicolle,1908,"King Leopold Range, WA",17,8,31,125,4,37,82,11,Dead,,,,,,,,,,,,1998
Eucalyptus conglobata subsp. conglobata,Eucalyptus conglobata subsp. conglobata,Eucalyptus conglobata subsp. conglobata,eucalyptus conglobata subsp. conglobata,,Subspecies,D.Nicolle,1106,"Salmon Gums, WA",33,8,49,122,6,29,65,9,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995
