name.in.euclid,classification.name,in CCA,
eucalyptus marginata subsp. thalassica,eucalyptus marginata subsp. thalassica,,
eucalyptus medialis,eucalyptus hebetifolia,,
eucalyptus megasepala,,,
eucalyptus microschema,eucalyptus subtilis,,
eucalyptus miniata,,,
eucalyptus nigrifunda,eucalyptus capillosa,,
eucalyptus novaanglica,eucalyptus nova-anglica,,
eucalyptus obtusiflora,split in three subspecies,can stay to the species level or retrieve flora,
eucalyptus pachycalyx  subsp. waajensis,,,
eucalyptus parramattensis var. sphaerocalyx,eucalyptus parramattensis subsp. parramattensis,,
eucalyptus persistens subsp. persistens,eucalyptus persistens,,
eucalyptus persistens subsp. tardecidens,eucalyptus tardecidens,,
eucalyptus phaenophylla subsp. interjacens,eucalyptus phaenophylla,,
eucalyptus phaenophylla subsp. phaenophylla,NA,,
eucalyptus piperita subsp. piperita,,,
eucalyptus placita,eucalyptus paniculata,,
eucalyptus bigalerita,,,
eucalyptus pluricaulis subsp. pluricaulis,,,
eucalyptus pluricaulis subsp. porphyrea,,,
eucalyptus polyanthemos subsp. longior,eucalyptus polyanthemos subsp. vestita,,
eucalyptus populnea,NA,,
eucalyptus pruiniramis,eucalyptus x pruiniramis,,
eucalyptus racemosa subsp. racemosa,eucalyptus racemosa,,
eucalyptus racemosa subsp. rossii,eucalyptus rossii,,
eucalyptus radiata subsp. robertsonii,eucalyptus robertsonii,,
eucalyptus redunca,,,
eucalyptus resinifera subsp. resinifera,,,
eucalyptus retinens,eucalyptus volcanica,,
eucalyptus sargentii subsp. onesia,eucalyptus sargentii subsp. onesis,,
eucalyptus sheathiana,,,
eucalyptus sp. cockburn,eucalyptus largiflorens,,
eucalyptus sp. dorsiventralis,eucalyptus dorsiventralis,,
eucalyptus sp. kalbarri,,,
eucalyptus sp. undulans,eucalyptus sp. mulga rock,,
eucalyptus splendens subsp. arcana,eucalyptus arcana,,
eucalyptus splendens subsp. splendens,eucalyptus splendens,,
eucalyptus stricta,,,
eucalyptus surgens,eucalyptus scyphocalyx,,
eucalyptus tectifica,,,
eucalyptus tephrodes,"?eucalyptus tephroides, eucalyptus leucophylla",,
eucalyptus mooreana,,,
eucalyptus thamnoides subsp. megista,eucalyptus thamnoides,,
eucalyptus thamnoides subsp. thamnoides,NA,,
eucalyptus uncinata,NA,,
eucalyptus varia subsp. salsuginosa,eucalyptus varia,,
eucalyptus varia subsp. varia,NA,,
eucalyptus tintinnans,,,
eucalyptus willisii subsp. falciformis,eucalyptus falciformis,,
eucalyptus willisii subsp. willisii,eucalyptus willisii,,
eucalyptus x balanites,,,
eucalyptus x balanopelex,,,
eucalyptus x missilis,,,
eucalyptus x phylacis,,,
eucalyptus xanthonema subsp. apposita,eucalyptus xanthonema,,
eucalyptus xanthonema subsp. xanthonema,NA,,
eucalyptus youmanii,,,
