"","Taxon","name","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"97","Eucalyptus obtusiflora","eucalyptus obtusiflora","eucalyptus obtusiflora","eucalyptus","obtusiflora",NA,"eucalyptus obtusiflora","Accepted","","A.Cunn. ex DC.","CANB 794053**","KT631845","KT631235","KT633015","KT632431"
"98","Eucalyptus ovata var. ovata","eucalyptus ovata var. ovata","eucalyptus ovata var. ovata","eucalyptus","ovata","ovata","eucalyptus ovata var. ovata","Accepted","","Labill.","ANBG 475702","KT631862","KT631250","KT633031","KT632445"
"99","Eucalyptus persistens subsp. tardecidens","eucalyptus persistens subsp. tardecidens","eucalyptus persistens","eucalyptus","persistens","tardecidens","eucalyptus persistens subsp. tardecidens","Synonym","Eucalyptus tardecidens","(L.A.S.Johnson & K.D.Hill)","Waite Arboretum 1954B","KT631883","KT631265","KT633050","KT632465"
"100","Eucalyptus phaenophylla subsp. phaenophylla","eucalyptus phaenophylla subsp. phaenophylla","eucalyptus phaenophylla","eucalyptus","phaenophylla","phaenophylla","eucalyptus phaenophylla subsp. phaenophylla","Accepted","","Brooker & Hopper","CANB 794282**","KT631887","KT631269","KT633054",""
"101","Eucalyptus pilligaensis","eucalyptus pilligaensis","eucalyptus pilligaensis","eucalyptus","pilligaensis",NA,"eucalyptus pilligaensis","Synonym","Eucalyptus woollsiana","F.Muell. ex R.T.Baker","Currency Creek 681","KT631892","","KT633059",""
"102","Eucalyptus piperita subsp. piperita","eucalyptus piperita subsp. piperita","eucalyptus piperita","eucalyptus","piperita","piperita","eucalyptus piperita subsp. piperita","Accepted","","Sm.","ANBG 8411654","KT631895","AF058485","","KT632475"
"103","Eucalyptus placita","eucalyptus placita","eucalyptus placita","eucalyptus","placita",NA,"eucalyptus placita","Accepted","","L.A.S.Johnson & K.D.Hill","Waite Arboretum 1526","KT631896","KT631275","KT633062","KT632476"
"104","Eucalyptus platycorys subsp. platycorys","eucalyptus platycorys subsp. platycorys","eucalyptus platycorys","eucalyptus","platycorys","platycorys","eucalyptus platycorys subsp. platycorys","Accepted","","Maiden & Blakely","Currency Creek 3627","KT631897","KT631276","KT633063","KT632477"
"105","Eucalyptus plauta","eucalyptus plauta","eucalyptus plauta","eucalyptus","plauta",NA,"eucalyptus plauta","Synonym","Eucalyptus dissimulata","L.A.S.Johnson & K.D.Hill","Currency Creek 3613","KT631899","KT631278","KT633065","KT632479"
"106","Eucalyptus pluricaulis subsp. pluricaulis","eucalyptus pluricaulis subsp. pluricaulis","eucalyptus pluricaulis","eucalyptus","pluricaulis","pluricaulis","eucalyptus pluricaulis subsp. pluricaulis","Accepted","","Brooker & Hopper","Currency Creek 1662","KT631901","","KT633066",""
"107","Eucalyptus populnea","eucalyptus populnea","eucalyptus populnea","eucalyptus","populnea",NA,"eucalyptus populnea","Accepted","","F.Muell.","CANB 785598**","KT631905","KT631282","KT633070","KT632483"
"108","Eucalyptus pruiniramis","eucalyptus pruiniramis","eucalyptus pruiniramis","eucalyptus","pruiniramis",NA,"eucalyptus pruiniramis","Accepted","","L.A.S.Johnson & K.D.Hill","GenBank","KT631915","KT631291","KT633078","KT632492"
"109","Eucalyptus ralla","eucalyptus ralla","eucalyptus ralla","eucalyptus","ralla",NA,"eucalyptus ralla","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 614","KT631930","KT631304","KT633093","KT632506"
"110","Eucalyptus redunca","eucalyptus redunca","eucalyptus redunca","eucalyptus","redunca",NA,"eucalyptus redunca","Accepted","","Schauer","Currency Creek 221","KT631936","KT631309","KT633099","KT632510"
"111","Eucalyptus retinens","eucalyptus retinens","eucalyptus retinens","eucalyptus","retinens",NA,"eucalyptus retinens","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 648","KT631940","KT631312","KT633103","KT632514"
"112","Eucalyptus rudis","eucalyptus rudis","eucalyptus rudis","eucalyptus","rudis",NA,"eucalyptus rudis","Accepted","","Endl.","Currency Creek 1146","KT631954","KT631323","KT633115","KT632527"
"113","Eucalyptus scyphocalyx","eucalyptus scyphocalyx","eucalyptus scyphocalyx","eucalyptus","scyphocalyx",NA,"eucalyptus scyphocalyx","Accepted","","(Benth.) Maiden & Blakely","Waite Arboretum 1940A","KT631967","KT631333","KT633126","KT632539"
"114","Eucalyptus splendens subsp. splendens","eucalyptus splendens subsp. splendens","eucalyptus splendens","eucalyptus","splendens","splendens","eucalyptus splendens subsp. splendens","Accepted","","Rule","Currency Creek 1722","KT631983","KT631344","KT633140","KT632552"
"115","Eucalyptus strzeleckii subsp. strzeleckii","eucalyptus strzeleckii subsp. strzeleckii","eucalyptus strzeleckii","eucalyptus","strzeleckii","strzeleckii","eucalyptus strzeleckii subsp. strzeleckii","Accepted","","Rule","Currency Creek 1731","KT631994","KT631352","KT633148","KT632559"
"116","Eucalyptus surgens","eucalyptus surgens","eucalyptus surgens","eucalyptus","surgens",NA,"eucalyptus surgens","Accepted","","Brooker & Hopper","Currency Creek 558","KT632001","KT631357","KT633154","KT632564"
"117","Eucalyptus tectifica","eucalyptus tectifica","eucalyptus tectifica","eucalyptus","tectifica",NA,"eucalyptus tectifica","Accepted","","F.Muell.","CANB 785474**","KT632004","KT631360","KT633157",""
"118","Eucalyptus tintinnans","eucalyptus tintinnans","eucalyptus tintinnans","eucalyptus","tintinnans",NA,"eucalyptus tintinnans","Accepted","","(Blakely & Jacobs) L.A.S.Johnson","CANB 557752**","KT632017","KT631372","KT633171","KT632578"
"119","Eucalyptus trivalvis","eucalyptus trivalvis","eucalyptus trivalvis","eucalyptus","trivalvis",NA,"eucalyptus trivalvis","Accepted","","Blakely","Waite Arboretum 1842","KT632023","KT631378","KT633177","KT632585"
