"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"11","Eucalyptus rupestris","eucalyptus rupestris","Eucalyptus rupestris","Eucalyptus rupestris","eucalyptus rupestris","","Species ","D.Nicolle","5812","Walcott Inlet, WA",16,1,3,125,19,"41",313,25,"Alive","None evident","None evident","?","","","","","","Not applicable","","",2011,"R313/T25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Eucalyptus uncinata subsp. uncinata","eucalyptus uncinata subsp. uncinata","Eucalyptus uncinata subsp. uncinata","Eucalyptus uncinata","eucalyptus uncinata","","Species ","D.Nicolle","5992","Culver Beach, WA",32,55,41,124,25,"10",291,14,"Alive","None evident","None evident","?","","","","","","Not applicable","Flowered","Flowered",2013,"R291/T14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Eucalyptus calcareana","eucalyptus calcareana","Eucalyptus calcareana","Eucalyptus calcareana","eucalyptus calcareana","","Species ","D.Nicolle","103","Nundroo, SA",31,46,5,132,11,"48",24,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R024/T25","Eucalyptus calcareana","eucalyptus calcareana","eucalyptus","calcareana",NA,"eucalyptus calcareana","Accepted","","Boomsma","Currency Creek 2800","KT631566","KT630999","KT632757","KT632189"
"14","Eucalyptus cladocalyx subsp. crassa","eucalyptus cladocalyx subsp. crassa","Eucalyptus cladocalyx subsp. crassa","Eucalyptus cladocalyx subsp. crassa","eucalyptus cladocalyx subsp. crassa","","Subspecies","D.Nicolle","1053","Kangaroo Island, SA",35,58,38,136,51,"26",75,12,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R075/T12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Eucalyptus brachycalyx","eucalyptus brachycalyx","Eucalyptus brachycalyx","Eucalyptus brachycalyx","eucalyptus brachycalyx","","Species ","D.Nicolle","1072","Yumbarra Con. Park, SA",31,50,30,133,27,"26",67,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R067/T29","Eucalyptus brachycalyx","eucalyptus brachycalyx","eucalyptus","brachycalyx",NA,"eucalyptus brachycalyx","Accepted","","Blakely","Currency Creek 2245","KT631549","KT630988","KT632740","KT632176"
"16","Eucalyptus calcareana","eucalyptus calcareana","Eucalyptus calcareana","Eucalyptus calcareana","eucalyptus calcareana","","Species ","D.Nicolle","1074","Koonibba, SA",31,48,35,133,26,"42",67,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R067/T13","Eucalyptus calcareana","eucalyptus calcareana","eucalyptus","calcareana",NA,"eucalyptus calcareana","Accepted","","Boomsma","Currency Creek 2800","KT631566","KT630999","KT632757","KT632189"
"17","Eucalyptus capitanea","eucalyptus capitanea","Eucalyptus capitanea","Eucalyptus capitanea","eucalyptus capitanea","","Species ","D.Nicolle","1076","Koonibba, SA",31,47,34,133,25,"48",67,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R067/T17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Eucalyptus yumbarrana","eucalyptus yumbarrana","Eucalyptus yumbarrana","Eucalyptus yumbarrana","eucalyptus yumbarrana","","Species ","D.Nicolle","1078","Yumbarra Con. Park, SA",31,48,44,133,27,"28",66,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R066/T09","Eucalyptus yumbarrana","eucalyptus yumbarrana","eucalyptus","yumbarrana",NA,"eucalyptus yumbarrana","Accepted","","Boomsma","Currency Creek 1808","KT632058","KT631407","KT633212",""
"19","Eucalyptus sp. 'Great Victoria Desert' (aff. leptophylla)","eucalyptus sp. great victoria desert","Eucalyptus sp. Great Victoria Desert","Eucalyptus leptophylla","eucalyptus leptophylla","","Species ","D.Nicolle","1079","Yumbarra Con. Park, SA",31,49,27,133,27,"21",64,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R064/T16","Eucalyptus leptophylla","eucalyptus leptophylla","eucalyptus","leptophylla",NA,"eucalyptus leptophylla","Synonym","Eucalyptus foecunda","Schauer","Currency Creek 3486","KT631771","KT631170","KT632944","KT632372"
"20","Eucalyptus sp. 'Madura Beach' (aff. discreta)","eucalyptus sp. madura beach","Eucalyptus sp. Madura Beach","Eucalyptus discreta","eucalyptus discreta","","Species ","D.Nicolle","1081","Madura Beach, WA",32,2,44,127,2,"35",67,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R067/T33","Eucalyptus discreta","eucalyptus discreta","eucalyptus","discreta",NA,"eucalyptus discreta","Accepted","","Brooker","Currency Creek 1091","KT631649","KT631066","KT632832","KT632261"
"21","Eucalyptus urna","eucalyptus urna","Eucalyptus urna","Eucalyptus urna","eucalyptus urna","","Species ","D.Nicolle","1087","Balladonia, WA",32,49,25,123,31,"57",66,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R066/T05","Eucalyptus urna","eucalyptus urna","eucalyptus","urna",NA,"eucalyptus urna","Accepted","","D.Nicolle","Currency Creek 1817","KT632028","KT631382","KT633182","KT632589"
"22","Eucalyptus uncinata subsp. 'Esperance Plains'","eucalyptus uncinata subsp. esperance plains","Eucalyptus uncinata subsp. Esperance Plains","Eucalyptus uncinata","eucalyptus uncinata","","Species ","D.Nicolle","1089","Cape Arid, WA",33,18,25,123,22,"45",64,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R064/T21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
