"","TaxonoriginalDN","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","FieldID","DNNumber"
"172","Eucalyptus chlorophylla","Eucalyptus chlorophylla","Eucalyptus chlorophylla","eucalyptus chlorophylla","","Species ","D.Nicolle","1315","Laura, Qld",15,21,35,144,26,"33",93,14,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"R087/T13","CCA1499",1334
"173","Eucalyptus brassiana","Eucalyptus brassiana","Eucalyptus brassiana","eucalyptus brassiana","","Species ","D.Nicolle","1316","Battlecamp, Qld",15,18,15,144,48,"27",95,5,"Alive","Slight","Slight","?","Moderate","Trunk + primary & secondary branches","3 - 6 months","None evident","","Slight","","",1996,"R095/T05","CCA1685",1316
"174","Corymbia stockeri subsp. peninsularis","Corymbia stockeri subsp. peninsularis","Corymbia stockeri subsp. peninsularis","corymbia stockeri subsp. peninsularis","","Subspecies","D.Nicolle","1318","Battlecamp,Qld",15,17,23,144,50,"45",93,30,"Dead","","","","","","","","","","","",1996,"R305/T19","CCA5557",2513
"175","Eucalyptus cullenii","Eucalyptus cullenii","Eucalyptus cullenii","eucalyptus cullenii","","Species ","D.Nicolle","1322","Lakeland, Qld",15,57,42,144,49,"55",94,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R094/T26","CCA1676",1322
"176","Eucalyptus lockyeri","Eucalyptus lockyeri","Eucalyptus lockyeri","eucalyptus lockyeri","","Species ","D.Nicolle","1323","Ravenshoe, Qld",17,35,19,145,27,"53",93,3,"Alive","Moderate","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1996,"R028/T17","CCA0461",NA
"177","Eucalyptus microneura","Eucalyptus microneura","Eucalyptus microneura","eucalyptus microneura","","Species ","D.Nicolle","1326","Forsayth, Qld",18,35,10,143,36,"14",91,9,"Dead","","","","","","","","","","","",1996,"R192/T13","CCA3883",1326
"178","Eucalyptus pruinosa subsp. pruinosa","Eucalyptus pruinosa subsp. pruinosa","Eucalyptus pruinosa subsp. pruinosa","eucalyptus pruinosa subsp. pruinosa","","Subspecies","D.Nicolle","1329","Coolullah, Qld",19,53,30,140,12,"26",89,8,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R089/T08","CCA1553",1329
"179","Eucalyptus platydisca","Eucalyptus platydisca","Eucalyptus platydisca","eucalyptus platydisca","","Species ","D.Nicolle","133","Mt Norcott, WA",32,7,6,122,0,"31",11,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R011/T01","CCA0050",133
"180","Eucalyptus melanophloia subsp. nana","Eucalyptus melanophloia subsp. nana","Eucalyptus melanophloia subsp. nana","eucalyptus melanophloia subsp. nana","","Subspecies","D.Nicolle","1330","Mount Isa 1, Qld",20,52,48,139,27,"11",87,6,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R087/T06","CCA1494",1330
"181","Eucalyptus leucophylla","Eucalyptus leucophylla","Eucalyptus leucophylla","eucalyptus leucophylla","Synonym of Eucalyptus argillacea","Species ","D.Nicolle","1331","Mount Isa, Qld",20,33,29,139,32,"1",87,14,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"R073/T24","CCA1319",1194
"182","Eucalyptus leucophloia subsp. euroa","Eucalyptus leucophloia subsp. euroa","Eucalyptus leucophloia subsp. euroa","eucalyptus leucophloia subsp. euroa","","Subspecies","D.Nicolle","1332","Mt Isa, Qld",20,34,9,139,31,"32",82,18,"Alive","None evident","None evident","?","","","","","","None evident","","",1998,"R082/T18","CCA1402",1332
"183","Corymbia capricornia","Corymbia capricornia","Corymbia dichromophloia","corymbia dichromophloia","","Species ","D.Nicolle","1335","Renner Springs, NT",18,13,9,133,44,"0",93,28,"Dead","","","","","","","","","","","",1996,"R303/T12","CCA5489",1928
"184","Corymbia ferruginea subsp. stypophylla","Corymbia ferruginea subsp. stypophylla","Corymbia ferruginea subsp. stypophylla","corymbia ferruginea subsp. stypophylla","","Subspecies","D.Nicolle","1336","Lake Woods, NT",17,52,51,133,41,"47",303,30,"Dead","","","","","","","","","","","",2010,"R298/T15","CCA5407",1336
"185","Eucalyptus microtheca","Eucalyptus microtheca","Eucalyptus microtheca","eucalyptus microtheca","","Species ","D.Nicolle","1338","Newcastle Creek, NT",17,15,35,133,27,"15",87,32,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"R087/T32","CCA1517",1338
"186","Eucalyptus patellaris","Eucalyptus patellaris","Eucalyptus patellaris","eucalyptus patellaris","","Species ","D.Nicolle","1339","Daly Waters, NT",16,16,20,133,23,"30",89,5,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"R089/T05","CCA1551",1339
"187","Eucalyptus tereticornis subsp. tereticornis","Eucalyptus tereticornis subsp. tereticornis","Eucalyptus tereticornis subsp. tereticornis","eucalyptus tereticornis subsp. tereticornis","","Subspecies","CSIRO","13398","Kupiano, PNG",10,4,NA,148,13,"",80,10,"Alive","Moderate","Slight","?","Moderate","Tertiary branches","3 - 6 months","None evident","","None evident","Flowered","Flowered",1999,"R049/T20","CCA0746",713
"188","Eucalyptus ravida","Eucalyptus ravida","Eucalyptus ravida","eucalyptus ravida","","Species ","D.Nicolle","134","Mt Norcott, WA",32,5,38,122,1,"36",13,18,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R013/T18","CCA0123",134
"189","Corymbia ptychocarpa subsp. ptychocarpa","Corymbia ptychocarpa subsp. ptychocarpa","Corymbia ptychocarpa subsp. ptychocarpa","corymbia ptychocarpa subsp. ptychocarpa","","Subspecies","D.Nicolle","1343","Maranboy, NT",14,16,25,132,49,"52",91,15,"Dead","","","","","","","","","","","",1996,"R340/T09","CCA5905",1912
"190","Eucalyptus torquata","Eucalyptus torquata","Eucalyptus torquata","eucalyptus torquata","","Species ","D.Nicolle","135","Norseman, WA",32,8,11,121,41,"35",43,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R043/T01","CCA0593",135
"191","Eucalyptus sessilis","Eucalyptus sessilis","Eucalyptus sessilis","eucalyptus sessilis","","Species ","D.Nicolle","1352","Mt Hermannsburg, NT",23,57,29,132,39,"35",88,3,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R088/T03","CCA1521",1352
"192","Eucalyptus lucens","Eucalyptus lucens","Eucalyptus lucens","eucalyptus lucens","","Species ","D.Nicolle","1353","Mt Hermannsburg, NT",24,0,0,132,39,"3",86,19,"Dead","","","","","","","","","","","",1996,"R086/T21","CCA1481",1353
"193","Eucalyptus minniritchi","Eucalyptus minniritchi","Eucalyptus minniritchi","eucalyptus minniritchi","","Species ","D.Nicolle","1354","Mt Hermannsburg, NT",24,0,0,132,39,"3",86,22,"Dead","","","","","","","","","","","",1996,"R132/T14","CCA2837",1354
"194","Eucalyptus coolabah","Eucalyptus coolabah","Eucalyptus coolabah","eucalyptus coolabah","","Species ","D.Nicolle","1355","Palmer River, NT",24,44,10,133,10,"58",86,16,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"R086/T16","CCA1478",1355
"195","Eucalyptus brockwayi","Eucalyptus brockwayi","Eucalyptus brockwayi","eucalyptus brockwayi","","Species ","D.Nicolle","136","Norseman north, WA",32,8,12,121,41,"39",15,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R015/T13","CCA0175",136
"196","Eucalyptus elliptica","Eucalyptus elliptica","Eucalyptus elliptica","eucalyptus elliptica","","Species ","D.Nicolle","1367","Bendemeer, NSW",30,38,NA,151,20,"",92,5,"Dead","","","","","","","","","Died in 2006","","",1996,"R191/T18","CCA3865",2948
"197","Eucalyptus malacoxylon","Eucalyptus malacoxylon","Eucalyptus malacoxylon","eucalyptus malacoxylon","","Species","D.Nicolle","1368","Moonbi, NSW",30,56,NA,151,8,"",92,3,"Alive","Dead","","","","","","","3 - 6 months","Moderate","","",1996,"R092/T01","CCA1623",1368
"198","Eucalyptus dwyeri","Eucalyptus dwyeri","Eucalyptus dwyeri","eucalyptus dwyeri","","Species ","D.Nicolle","1369","Rocky Glen, NSW",31,0,NA,150,40,"",90,6,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R048/T25","CCA0716",751
"199","Eucalyptus pterocarpa ","Eucalyptus pterocarpa","Eucalyptus pterocarpa","eucalyptus pterocarpa","","Species ","D.Nicolle","137","Norseman, WA",32,9,5,121,38,"22",43,34,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R043/T34","CCA0613",137
"200","Eucalyptus websteriana (subsp. norsemanica)","Eucalyptus websteriana","Eucalyptus websteriana","eucalyptus websteriana","","Species ","D.Nicolle","138","Norseman, WA",32,9,12,121,44,"10",14,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R014/T05","CCA0140",138
"201","Eucalyptus loxophleba subsp. lissophloia","Eucalyptus loxophleba subsp. lissophloia","Eucalyptus loxophleba subsp. lissophloia","eucalyptus loxophleba subsp. lissophloia","","Subspecies","D.Nicolle","139","McPherson Rock, WA",32,27,14,121,41,"30",17,5,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"R017/T05","CCA0222",139
"202","Eucalyptus concinna","Eucalyptus concinna","Eucalyptus concinna","eucalyptus concinna","","Species ","D.Nicolle","1391","Tarcoola, SA",30,50,32,134,34,"19",86,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R086/T33","CCA1487",1391
"203","Eucalyptus oleosa subsp. oleosa","Eucalyptus oleosa subsp. oleosa","Eucalyptus oleosa subsp. oleosa","eucalyptus oleosa subsp. oleosa","Synonym of E. moluccana","Subspecies","D.Nicolle","1393","Tarcoola, SA",30,48,17,134,8,"5",183,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2000,"R063/T25","CCA1039",516
"204","Eucalyptus subtilis","Eucalyptus subtilis","Eucalyptus subtilis","eucalyptus subtilis","","Species ","D.Nicolle","140","Daniell, WA",32,31,29,121,36,"28",23,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R023/T09","CCA0336",140
"205","Eucalyptus gypsophila","Eucalyptus gypsophila","Eucalyptus gypsophila","eucalyptus gypsophila","","Species ","D.Nicolle","1405","Yumbarra Con. Park, SA",31,39,28,133,46,"43",86,27,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R040/T21","CCA0533",525
"206","Eucalyptus oleosa subsp. ampliata","Eucalyptus oleosa subsp. ampliata","Eucalyptus oleosa subsp. ampliata","eucalyptus oleosa subsp. ampliata","Synonym of E. moluccana","Subspecies","D.Nicolle","1408","Kimba, SA",33,12,20,136,11,"36",87,11,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R039/T19","CCA0505",500
"207","Eucalyptus kumarlensis","Eucalyptus kumarlensis","Eucalyptus kumarlensis","eucalyptus kumarlensis","","Species ","D.Nicolle","141","Beete, WA",32,38,33,121,30,"21",11,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R011/T35","CCA0080",141
"208","Eucalyptus melanoxylon","Eucalyptus melanoxylon","Eucalyptus melanoxylon","eucalyptus melanoxylon","","Species","D.Nicolle","143","Lake Gilmore, WA",32,40,16,121,32,"23",11,27,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R011/T27","CCA0073",143
"209","Eucalyptus cylindriflora","Eucalyptus cylindriflora","Eucalyptus cylindriflora","eucalyptus cylindriflora","","Species ","D.Nicolle","144","Salmon Gums, WA",32,52,19,121,35,"29",17,12,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R017/T12","CCA0226",144
"210","Eucalyptus extensa","Eucalyptus extensa","Eucalyptus extensa","eucalyptus extensa","","Species ","D.Nicolle","145","Salmon Gums, WA",32,52,50,121,35,"44",14,24,"Dead","","","","","","","","","","","",1993,"R224/T33","CCA4374",3467
"211","Eucalyptus diptera","Eucalyptus diptera","Eucalyptus diptera","eucalyptus diptera","","Species ","D.Nicolle","146","Salmon Gums, WA",32,57,51,121,38,"3",21,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R021/T19","CCA0302",146
"212","Eucalyptus misella","Eucalyptus misella","Eucalyptus misella","eucalyptus misella","","Species ","D.Nicolle","147","Lort River, WA",33,6,54,121,11,"41",24,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R024/T29","CCA0371",147
"213","Eucalyptus delicata","Eucalyptus delicata","Eucalyptus delicata","eucalyptus delicata","","Species ","D.Nicolle","149","Lort River, WA",33,3,21,121,10,"27",19,29,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"R019/T29","CCA0266",149
"214","Eucalyptus angustissima","Eucalyptus angustissima","Eucalyptus angustissima","eucalyptus angustissima","","Species ","D.Nicolle","150","Lort River 1, WA",33,2,46,121,10,"20",13,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R013/T20","CCA0124",150
"215","Eucalyptus eremicola subsp. eremicola","Eucalyptus eremicola subsp. eremicola","Eucalyptus eremicola subsp. eremicola","eucalyptus eremicola subsp. eremicola","","Subspecies","D.Nicolle","1500","Maralinga, SA",29,51,26,131,14,"44",86,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R086/T24","CCA1482",1500
"216","Eucalyptus vokesensis","Eucalyptus vokesensis","Eucalyptus vokesensis","eucalyptus vokesensis","","Species ","D.Nicolle","1502","Maralinga, SA",29,43,51,131,5,"9",87,1,"Alive","None evident","None evident","?","","","","","","None evident","","",1996,"R087/T01","CCA1491",1502
"217","Eucalyptus canescens subsp. beadellii","Eucalyptus canescens subsp. beadellii","Eucalyptus canescens subsp. beadellii","eucalyptus canescens subsp. beadellii","","Subspecies","D.Nicolle","1506","Oak Valley, SA",29,20,7,130,13,"15",86,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R086/T01","CCA1467",1506
"218","Eucalyptus glomerosa","Eucalyptus glomerosa","Eucalyptus glomerosa","eucalyptus glomerosa","","Species ","D.Nicolle","1508","Voakes Hill, SA",28,52,56,130,27,"43",86,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R009/T25","CCA0013",NA
"219","Eucalyptus eremicola subsp. peeneri","Eucalyptus eremicola subsp. peeneri","Eucalyptus eremicola subsp. peeneri","eucalyptus eremicola subsp. peeneri","","Subspecies","D.Nicolle","1518","Voakes Hill, SA",28,30,42,129,28,"41",83,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1998,"R083/T01","CCA1408",1518
"220","Eucalyptus dolichorhyncha","Eucalyptus dolichorhyncha","Eucalyptus dolichorhyncha","eucalyptus dolichorhyncha","","Species ","D.Nicolle","152","Grass Patch, WA",33,9,34,121,26,"47",43,10,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R043/T09","CCA0598",152
"221","Eucalyptus leptocalyx subsp. leptocalyx","Eucalyptus leptocalyx subsp. leptocalyx","Eucalyptus leptocalyx subsp. leptocalyx","eucalyptus leptocalyx subsp. leptocalyx","","Subspecies","D.Nicolle","153","Grass Patch, WA",33,9,34,121,26,"47",17,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R017/T20","CCA0231",153
"222","Eucalyptus alatissima","Eucalyptus alatissima","Eucalyptus alatissima","eucalyptus alatissima","","Species ","D.Nicolle","1530","Ilkurlka, WA",28,18,45,127,14,"15",86,6,"Dead","","","","","","","","","","","",1996,"R009/T26","CCA0014",7
"223","Eucalyptus trivalva (pruinose form)","Eucalyptus trivalva","Eucalyptus trivalva","eucalyptus trivalva","","Species ","D.Nicolle","1534","Neale Junction, WA",28,18,4,126,13,"17",86,7,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R040/T31","CCA0536",529
"224","Eucalyptus youngiana (glaucous form)","Eucalyptus youngiana","Eucalyptus youngiana","eucalyptus youngiana","","Species ","D.Nicolle","1535","Neale Junction, WA",28,18,18,125,50,"37",132,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R044/T19","CCA0627",523
"225","Eucalyptus pleurocarpa","Eucalyptus pleurocarpa","Eucalyptus pleurocarpa","eucalyptus pleurocarpa","Synonym of Eucalyptus tetragona","Species ","D.Nicolle","154","Grass Patch, WA",33,9,28,121,38,"25",71,13,"Alive","None evident","None evident","?","","","","","","Severe","Flowered","Flowered",1995,"R071/T12","CCA1256",154
"226","Eucalyptus effusa subsp. exsul","Eucalyptus effusa subsp. exsul","Eucalyptus effusa subsp. exsul","eucalyptus effusa subsp. exsul","","Subspecies","D.Nicolle","1540","Morton Craig Range, WA",28,13,40,124,39,"57",86,10,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R086/T10","CCA1472",1540
"227","Eucalyptus striaticalyx","Eucalyptus striaticalyx","Eucalyptus striaticalyx","eucalyptus striaticalyx","","Species","D.Nicolle","1548","Milly Soak, WA",27,17,10,117,55,"44",88,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R088/T09","CCA1527",1548
"228","Eucalyptus halophila","Eucalyptus halophila","Eucalyptus halophila","eucalyptus halophila","","Species ","D.Nicolle","155","Truslove, WA",33,20,18,121,44,"50",12,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R012/T33","CCA0111",155
"229","Eucalyptus merrickiae","Eucalyptus merrickiae","Eucalyptus merrickiae","eucalyptus merrickiae","","Species ","D.Nicolle","156","Truslove, WA",33,20,22,121,45,"38",16,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R016/T24","CCA0208",156
"230","Eucalyptus crucis subsp. praecipua","Eucalyptus crucis subsp. praecipua","Eucalyptus crucis subsp. praecipua","eucalyptus crucis subsp. praecipua","","Subspecies","D.Nicolle","1561","Warrdagga Hill base, WA",29,23,16,117,30,"22",88,16,"Dead","","","","","","","","","","","",1996,"R136/T04","CCA2925",1561
"231","Eucalyptus educta","Eucalyptus educta","Eucalyptus educta","eucalyptus educta","","Species ","D.Nicolle","1562","Dromedaries Hill 1, WA",29,55,44,117,52,"29",135,1,"Dead","","","","","","","","","","","",1997,"R012/T01","CCA0083",335
"232","Eucalyptus moderata","Eucalyptus moderata","Eucalyptus moderata","eucalyptus moderata","","Species ","D.Nicolle","1563","Diemals, WA",29,35,46,118,43,"16",88,19,"Dead","","","","","","","","","","","",1996,"R134/T20","CCA2887",1661
"233","Eucalyptus yilgarnensis","Eucalyptus yilgarnensis","Eucalyptus yilgarnensis","eucalyptus yilgarnensis","","Species ","D.Nicolle","1566","Pigeon Rock, WA",29,56,14,119,15,"32",88,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R009/T19","CCA0010",NA
"234","Eucalyptus longissima","Eucalyptus longissima","Eucalyptus longissima","eucalyptus longissima","","Species ","D.Nicolle","1569","Norseman 1, WA",32,9,4,121,44,"9",88,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1996,"R088/T29","CCA1539",1569
"235","Eucalyptus rigens","Eucalyptus rigens","Eucalyptus rigens","eucalyptus rigens","","Species ","D.Nicolle","157","Truslove, WA",33,20,55,121,46,"0",24,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R024/T01","CCA0352",157
"236","Eucalyptus valens","Eucalyptus valens","Eucalyptus valens","eucalyptus valens","","Species ","D.Nicolle","158","Truslove, WA",33,21,0,121,46,"22",21,15,"Dead","","","","","","","","","","","",1993,"R188/T05","CCA3780",158
"237","Eucalyptus arenacea","Eucalyptus arenacea","Eucalyptus arenacea","eucalyptus arenacea","","Species ","D.Nicolle","1588","Pinnaroo, SA",35,27,59,140,46,"25",137,11,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R137/T11","CCA2953",1588
"238","Eucalyptus tumida","Eucalyptus tumida","Eucalyptus tumida","eucalyptus tumida","","Species ","D.Nicolle","159","Scaddan, WA",33,24,32,121,53,"39",13,32,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R013/T32","CCA0133",159
"239","Eucalyptus wimmerensis","Eucalyptus wimmerensis","Eucalyptus wimmerensis","eucalyptus wimmerensis","Synonym of Eucalyptus viridis subsp. wimmerensis","Species ","D.Nicolle","1590","Bordertown, SA",36,3,55,140,44,"1",88,5,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1996,"R088/T05","CCA1523",1590
"240","Eucalyptus ovata subsp. grandiflora","Eucalyptus ovata subsp. grandiflora","Eucalyptus ovata subsp. grandiflora","eucalyptus ovata subsp. grandiflora","","Subspecies","D.Nicolle","1594","Strathdownie, Vic",37,45,40,140,59,"53",92,7,"Alive","Dead","","","","","","","1 - 2 years","Severe","Flowered","Flowered",1996,"R092/T07","CCA1627",1594
"241","Eucalyptus forrestiana","Eucalyptus forrestiana","Eucalyptus forrestiana","eucalyptus forrestiana","","Species ","D.Nicolle","160","Scaddan, WA",33,24,32,121,53,"39",43,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1994,"R043/T25","CCA0608",160
"242","Eucalyptus percostata","Eucalyptus percostata","Eucalyptus percostata","eucalyptus percostata","","Species ","D.Nicolle","1603","Devils Peak 2, SA",32,25,NA,38,0,"",135,22,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R135/T22","CCA2914",1603
"243","Eucalyptus foliosa","Eucalyptus foliosa","Eucalyptus foliosa","eucalyptus foliosa","","Species ","D.Nicolle","161","Scaddan, WA",33,28,56,121,42,"26",16,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R016/T33","CCA0211",161
"244","Eucalyptus latens","Eucalyptus latens","Eucalyptus latens","eucalyptus latens","","Species ","D.Nicolle","1613","Boyagin Rock, WA",32,28,59,116,50,"46",138,2,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R138/T02","CCA2969",1613
"245","Eucalyptus vegrandis subsp. recondita","Eucalyptus vegrandis subsp. recondita","Eucalyptus vegrandis subsp. recondita","eucalyptus vegrandis subsp. recondita","","Subspecies","D.Nicolle","1621","Borden, WA",34,11,40,118,4,"24",134,10,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R134/T10","CCA2882",1621
"246","Eucalyptus goniantha subsp. goniantha","Eucalyptus goniantha subsp. goniantha","Eucalyptus goniantha subsp. goniantha","eucalyptus goniantha subsp. goniantha","","Subspecies","D.Nicolle","1626","Manypeaks, WA",34,50,32,118,9,"22",137,5,"Alive","None evident","Slight","?","None evident","","","","","Slight","Flowered","Flowered",1997,"R137/T05","CCA2950",1626
"247","Eucalyptus dissimulata","Eucalyptus dissimulata","Eucalyptus dissimulata","eucalyptus dissimulata","","Species ","D.Nicolle","1629","Lake Cairlocup, WA",33,45,28,118,46,"39",136,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R022/T10","CCA0317",205
"248","Eucalyptus varia","Eucalyptus varia","Eucalyptus varia","eucalyptus varia","","Species ","D.Nicolle","163","Scaddan, WA",33,31,2,121,40,"19",12,18,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R012/T18","CCA0097",163
"249","Eucalyptus gardneri subsp. ravensthorpensis","Eucalyptus gardneri subsp. ravensthorpensis","Eucalyptus gardneri subsp. ravensthorpensis","eucalyptus gardneri subsp. ravensthorpensis","","Subspecies","D.Nicolle","1636","Ravensthorpe, WA",33,35,53,120,10,"45",133,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R133/T01","CCA2852",1636
"250","Eucalyptus insularis subsp. continentalis","Eucalyptus insularis subsp. continentalis","Eucalyptus insularis subsp. continentalis","eucalyptus insularis subsp. continentalis","","Subspecies","D.Nicolle","1637","Cape Le Grand, WA",33,58,24,122,7,"53",134,28,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R134/T28","CCA2893",1637
"251","Eucalyptus kessellii subsp. eugnosta","Eucalyptus kessellii subsp. eugnosta","Eucalyptus kessellii subsp. eugnosta","eucalyptus kessellii subsp. eugnosta","","Subspecies","D.Nicolle","164","Scaddan, WA",33,31,6,121,36,"49",13,28,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R013/T28","CCA0129",164
"252","Eucalyptus oleosa subsp. cylindroidea","Eucalyptus oleosa subsp. cylindroidea","Eucalyptus oleosa subsp. cylindroidea","eucalyptus oleosa subsp. cylindroidea","Synonym of E. moluccana","Subspecies","D.Nicolle","1642","Scaddan, WA",33,28,49,121,35,"2",136,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R136/T13","CCA2930",1642
"253","Eucalyptus indurata","Eucalyptus indurata","Eucalyptus indurata","eucalyptus indurata","","Species ","D.Nicolle","165","Scaddan, WA",33,28,55,121,34,"56",13,14,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R013/T14","CCA0121",165
"254","Eucalyptus pyriformis","Eucalyptus pyriformis","Eucalyptus pyriformis","eucalyptus pyriformis","","Species ","D.Nicolle","1660","Dowerin, WA",31,12,49,117,0,"16",133,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R133/T13","CCA2862",1660
"255","Eucalyptus calcicola subsp. unita","Eucalyptus calcicola subsp. unita","Eucalyptus calcicola subsp. unita","eucalyptus calcicola subsp. unita","","Subspecies","D.Nicolle","1669","West Cape Howe, WA",35,6,22,117,37,"51",143,5,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R137/T26","CCA2965",1878
"256","Eucalyptus calcicola subsp. calcicola","Eucalyptus calcicola subsp. calcicola","Eucalyptus calcicola subsp. calcicola","eucalyptus calcicola subsp. calcicola","","Subspecies","D.Nicolle","1674","Boranup, WA",34,9,31,115,2,"27",145,26,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"R145/T25","CCA3133",1674
"257","Eucalyptus albens","Eucalyptus albens","Eucalyptus albens","eucalyptus albens","","Species ","D.Nicolle","1676","Melrose, SA",32,55,3,138,9,"32",133,8,"Alive","Dead","","","","","","","2 - 3 years","None evident","","",1997,"R133/T05","CCA2856",1676
"258","Eucalyptus cooperiana","Eucalyptus cooperiana","Eucalyptus cooperiana","eucalyptus cooperiana","","Species ","D.Nicolle","168","Condingup, WA",33,44,8,122,17,"28",23,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R023/T17","CCA0340",168
"259","Eucalyptus cretata","Eucalyptus cretata","Eucalyptus cretata","eucalyptus cretata","","Species ","D.Nicolle","1689","Darke Peak, SA",33,27,11,136,13,"28",133,25,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1997,"R133/T25","CCA2873",1689
