"","TaxonoriginalDN","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","FieldID","DNNumber"
"17","Eucalyptus sp. 'Madura Beach' (aff. discreta)","Eucalyptus sp. Madura Beach","Eucalyptus discreta","eucalyptus discreta","","Species ","D.Nicolle","1081","Madura Beach, WA",32,2,44,127,2,"35",67,33,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R064/T05","CCA1058",1091
"18","Eucalyptus urna","Eucalyptus urna","Eucalyptus urna","eucalyptus urna","","Species ","D.Nicolle","1087","Balladonia, WA",32,49,25,123,31,"57",66,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R066/T05","CCA1122",1087
"19","Eucalyptus micranthera","Eucalyptus micranthera","Eucalyptus micranthera","eucalyptus micranthera","","Species ","D.Nicolle","1090","Mt Ragged, WA",33,27,48,123,26,"45",64,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R018/T34","CCA0248",172
"20","Eucalyptus extrica","Eucalyptus extrica","Eucalyptus extrica","eucalyptus extrica","","Species ","D.Nicolle","1092","Cape Arid, WA",33,35,6,123,34,"42",65,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T31","CCA1111",1092
"21","Eucalyptus litorea","Eucalyptus litorea","Eucalyptus litorea","eucalyptus litorea","","Species ","D.Nicolle","1094","Israelite Bay, WA",33,38,45,123,47,"32",65,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R021/T01","CCA0291",199
"22","Eucalyptus occidentalis","Eucalyptus occidentalis","Eucalyptus occidentalis","eucalyptus occidentalis","","Species ","D.Nicolle","1095","Cape Arid, WA",33,43,23,123,22,"2",65,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T15","CCA1099",1095
"23","Eucalyptus quadrans","Eucalyptus quadrans","Eucalyptus quadrans","eucalyptus quadrans","","Species ","D.Nicolle","1099","Truslove, WA",33,22,3,121,41,"36",73,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R063/T01","CCA1018",1119
"24","Eucalyptus pimpiniana","Eucalyptus pimpiniana","Eucalyptus pimpiniana","eucalyptus pimpiniana","","Species ","D.Nicolle","110","Ooldea Range, SA",29,20,59,130,11,"38",9,35,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"R009/T35","CCA0020",110
"25","Eucalyptus kessellii subsp. kessellii","Eucalyptus kessellii subsp. kessellii","Eucalyptus kessellii subsp. kessellii","eucalyptus kessellii subsp. kessellii","","Subspecies","D.Nicolle","1101","Mt Ridley, WA",33,15,31,122,7,"28",65,27,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T27","CCA1107",1101
"26","Eucalyptus creta","Eucalyptus creta","Eucalyptus creta","eucalyptus creta","","Species ","D.Nicolle","1102","Mt Ridley, WA",33,4,23,122,16,"15",65,23,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T23","CCA1105",1102
"27","Eucalyptus flocktoniae subsp. hebes","Eucalyptus flocktoniae subsp. hebes","Eucalyptus flocktoniae subsp. hebes","eucalyptus flocktoniae subsp. hebes","","Subspecies","D.Nicolle","1104","Salmon Gums, WA",33,8,49,122,6,"29",65,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T35","CCA1114",1104
"28","Eucalyptus conglobata subsp. conglobata","Eucalyptus conglobata subsp. conglobata","Eucalyptus conglobata subsp. conglobata","eucalyptus conglobata subsp. conglobata","","Subspecies","D.Nicolle","1106","Salmon Gums, WA",33,8,49,122,6,"29",65,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R041/T12","CCA0548",559
"29","Eucalyptus ovularis","Eucalyptus ovularis","Eucalyptus ovularis","eucalyptus ovularis","","Species ","D.Nicolle","1107","Red Lake, WA",32,59,49,121,38,"53",68,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R068/T24","CCA1195",1107
"30","Eucalyptus incrassata","Eucalyptus incrassata","Eucalyptus incrassata","eucalyptus incrassata","","Species ","D.Nicolle","1108","Bremer Range, WA",32,41,42,120,47,"2",68,12,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R063/T06","CCA1022",1117
"31","Eucalyptus obesa","Eucalyptus obesa","Eucalyptus obesa","eucalyptus obesa","","Species ","D.Nicolle","1109","90 Mile Tank, WA",32,40,58,120,41,"33",68,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R068/T20","CCA1192",1109
"32","Eucalyptus deflexa","Eucalyptus deflexa","Eucalyptus deflexa","eucalyptus deflexa","","Species ","D.Nicolle","1110","Lake King, WA",32,55,13,120,21,"57",70,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T17","CCA1226",1110
"33","Eucalyptus calycogona subsp. calycogona","Eucalyptus calycogona subsp. calycogona","Eucalyptus calycogona subsp. calycogona","eucalyptus calycogona subsp. calycogona","","Subspecies","D.Nicolle","1112","Lake King, WA",33,4,21,120,13,"1",70,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T09","CCA1220",1112
"34","Eucalyptus falcata","Eucalyptus falcata","Eucalyptus falcata","eucalyptus falcata","","Species ","D.Nicolle","1113","Newdegate, WA",33,5,33,119,24,"59",69,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R069/T19","CCA1206",1113
"35","Eucalyptus mimica subsp. continens","Eucalyptus mimica subsp. continens","Eucalyptus mimica subsp. continens","eucalyptus mimica subsp. continens","","Subspecies","D.Nicolle","1114","Newdegate, WA",33,17,7,119,1,"23",70,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T26","CCA1233",1114
