"","species","taxon1","taxon2","taxon3","taxon4","taxon5","taxon6","taxon7"
"40","Corymbia_bloxsomei_238","Corymbia","bloxsomei","238",NA,NA,NA,NA
"41","Corymbia_peltata_493","Corymbia","peltata","493",NA,NA,NA,NA
"42","Corymbia_leptoloma_694","Corymbia","leptoloma","694",NA,NA,NA,NA
"43","Corymbia_leichhardtii_Mt_Annan_891967","Corymbia","leichhardtii","Mt","Annan","891967",NA,NA
"44","Corymbia_aureola_CANB_582839","Corymbia","aureola","CANB","582839",NA,NA,NA
"45","Corymbia_bunites_229","Corymbia","bunites","229",NA,NA,NA,NA
"46","Corymbia_watsoniana_subsp_watsoniana_ANBG_68771","Corymbia","watsoniana","subsp","watsoniana","ANBG","68771",NA
"47","Corymbia_dimorpha","Corymbia","dimorpha",NA,NA,NA,NA,NA
"48","Corymbia_catenaria_240","Corymbia","catenaria","240",NA,NA,NA,NA
"49","Corymbia_petalophylla_Mt_Annan_892019","Corymbia","petalophylla","Mt","Annan","892019",NA,NA
"50","Corymbia_scabrida_Mt_Annan_891868","Corymbia","scabrida","Mt","Annan","891868",NA,NA
"51","Corymbia_ferriticola_MC_11117","Corymbia","ferriticola","MC","11117",NA,NA,NA
"52","Corymbia_candida_subsp_dispodes_454","Corymbia","candida","subsp","dispodes","454",NA,NA
"53","Corymbia_flavescens_MC_10596","Corymbia","flavescens","MC","10596",NA,NA,NA
"54","Corymbia_arafurica_CANB_557707","Corymbia","arafurica","CANB","557707",NA,NA,NA
"55","Corymbia_confertiflora_CANB_785485","Corymbia","confertiflora","CANB","785485",NA,NA,NA
"56","Corymbia_aspera_CANB_785505","Corymbia","aspera","CANB","785505",NA,NA,NA
"57","Corymbia_gilbertensis_CANB_739029","Corymbia","gilbertensis","CANB","739029",NA,NA,NA
"58","Corymbia_blakei_CANB_582767","Corymbia","blakei","CANB","582767",NA,NA,NA
"59","Corymbia_polysciada_CANB_785479","Corymbia","polysciada","CANB","785479",NA,NA,NA
"60","Corymbia_pauciseta_CANB_448845","Corymbia","pauciseta","CANB","448845",NA,NA,NA
"61","Corymbia_bella_MC_10518","Corymbia","bella","MC","10518",NA,NA,NA
"62","Corymbia_dendromerinx_CANB_644448","Corymbia","dendromerinx","CANB","644448",NA,NA,NA
"63","Corymbia_torta_CANB_644409","Corymbia","torta","CANB","644409",NA,NA,NA
"64","Corymbia_hylandii_CANB_738922","Corymbia","hylandii","CANB","738922",NA,NA,NA
"65","Corymbia_porrecta_CANB_628340","Corymbia","porrecta","CANB","628340",NA,NA,NA
"66","Corymbia_lenziana_CANB_794064","Corymbia","lenziana","CANB","794064",NA,NA,NA
"67","Corymbia_stockeri_subsp_stockeri_CANB_739042","Corymbia","stockeri","subsp","stockeri","CANB","739042",NA
"68","Corymbia_porphyritica","Corymbia","porphyritica",NA,NA,NA,NA,NA
"69","Corymbia_opaca","Corymbia","opaca",NA,NA,NA,NA,NA
"70","Corymbia_opacula","Corymbia","opacula",NA,NA,NA,NA,NA
"71","Corymbia_terminalis_MC_10579","Corymbia","terminalis","MC","10579",NA,NA,NA
"72","Corymbia_rhodops_CANB_598277","Corymbia","rhodops","CANB","598277",NA,NA,NA
"73","Corymbia_pachycarpa_CANB_785564","Corymbia","pachycarpa","CANB","785564",NA,NA,NA
"74","Corymbia_dichromophloia_MC_10528","Corymbia","dichromophloia","MC","10528",NA,NA,NA
"75","Corymbia_latifolia_CANB_785515","Corymbia","latifolia","CANB","785515",NA,NA,NA
"76","Corymbia_abbreviata_CANB_459002","Corymbia","abbreviata","CANB","459002",NA,NA,NA
"77","Corymbia_lamprophylla_Mt_Annan_842093","Corymbia","lamprophylla","Mt","Annan","842093",NA,NA
"78","Corymbia_ptychocarpa_subsp_ptychocarpa_MC_10536","Corymbia","ptychocarpa","subsp","ptychocarpa","MC","10536",NA
"79","Corymbia_novaguineesis_CANB_738912","Corymbia","novaguineesis","CANB","738912",NA,NA,NA
"80","Corymbia_clarksoniana_ANBG_643951","Corymbia","clarksoniana","ANBG","643951",NA,NA,NA
"81","Corymbia_jacobsiana_CANB_558528","Corymbia","jacobsiana","CANB","558528",NA,NA,NA
"82","Corymbia_intermedia_230","Corymbia","intermedia","230",NA,NA,NA,NA
"83","Corymbia_abergiana_633","Corymbia","abergiana","633",NA,NA,NA,NA
"84","Corymbia_xanthope","Corymbia","xanthope",NA,NA,NA,NA,NA
"85","Corymbia_gummifera_680","Corymbia","gummifera","680",NA,NA,NA,NA
"86","Corymbia_trachyphloia_ANBG_60750","Corymbia","trachyphloia","ANBG","60750",NA,NA,NA
"87","Corymbia_ficifolia_ANBG_c208","Corymbia","ficifolia","ANBG","c208",NA,NA,NA
"88","Corymbia_calophylla_377","Corymbia","calophylla","377",NA,NA,NA,NA
"89","Corymbia_haematoxylon_380","Corymbia","haematoxylon","380",NA,NA,NA,NA
"90","Corymbia_brachycarpa_Mt_Annan_891988","Corymbia","brachycarpa","Mt","Annan","891988",NA,NA
"91","Corymbia_arenaria_MC_10558","Corymbia","arenaria","MC","10558",NA,NA,NA
"92","Corymbia_chippendalei_CANB_513580","Corymbia","chippendalei","CANB","513580",NA,NA,NA
"93","Corymbia_hamersleyana_MC_11116","Corymbia","hamersleyana","MC","11116",NA,NA,NA
"94","Corymbia_dolichocarpa","Corymbia","dolichocarpa",NA,NA,NA,NA,NA
"95","Corymbia_polycarpa_CANB_785478","Corymbia","polycarpa","CANB","785478",NA,NA,NA
"96","Corymbia_papillosa_CANB_564789","Corymbia","papillosa","CANB","564789",NA,NA,NA
"97","Corymbia_erythrophloia_Mt_Annan_891984","Corymbia","erythrophloia","Mt","Annan","891984",NA,NA
"98","Corymbia_plena_CANB_660150","Corymbia","plena","CANB","660150",NA,NA,NA
"99","Corymbia_ligans_subsp_ligans","Corymbia","ligans","subsp","ligans",NA,NA,NA
"100","Corymbia_zygophylla_MC_10581","Corymbia","zygophylla","MC","10581",NA,NA,NA
"101","Corymbia_ellipsoidea_Mt_Annan_904974","Corymbia","ellipsoidea","Mt","Annan","904974",NA,NA
"102","Corymbia_hendersonii_252","Corymbia","hendersonii","252",NA,NA,NA,NA
"103","Corymbia_eremaea_subsp_eremaea_280","Corymbia","eremaea","subsp","eremaea","280",NA,NA
"104","Corymbia_deserticola_subsp_deserticola_MC_11111","Corymbia","deserticola","subsp","deserticola","MC","11111",NA
"105","Corymbia_foelscheana_MC_10508","Corymbia","foelscheana","MC","10508",NA,NA,NA
"106","Corymbia_greeniana_MC_10557","Corymbia","greeniana","MC","10557",NA,NA,NA
"107","Corymbia_ferruginea_subsp_ferruginea_MC_10538","Corymbia","ferruginea","subsp","ferruginea","MC","10538",NA
"108","name","name",NA,NA,NA,NA,NA,NA
"109","Corymbia_dampieri","Corymbia","dampieri",NA,NA,NA,NA,NA
"110","Corymbia_cadophora_subsp_cadophora_MC_10577","Corymbia","cadophora","subsp","cadophora","MC","10577",NA
"111","Corymbia_dunlopiana_CANB_640209","Corymbia","dunlopiana","CANB","640209",NA,NA,NA
"112","Corymbia_collina_MC_10588","Corymbia","collina","MC","10588",NA,NA,NA
"113","Corymbia_nesophila_MC_10553","Corymbia","nesophila","MC","10553",NA,NA,NA
"114","Corymbia_bleeseri_MC_10516","Corymbia","bleeseri","MC","10516",NA,NA,NA
"115","Eucalyptus_curtisii_632","Eucalyptus","curtisii","632",NA,NA,NA,NA
"116","Eucalyptus_lirata_CANB_784082","Eucalyptus","lirata","CANB","784082",NA,NA,NA
"117","Eucalyptus_tetrodonta_MC_10512","Eucalyptus","tetrodonta","MC","10512",NA,NA,NA
"118","Eucalyptus_phoenicea_MC_10527","Eucalyptus","phoenicea","MC","10527",NA,NA,NA
"119","Eucalyptus_ceracea_CANB_551306","Eucalyptus","ceracea","CANB","551306",NA,NA,NA
"120","Eucalyptus_miniata_MC_10511","Eucalyptus","miniata","MC","10511",NA,NA,NA
"121","Eucalyptus_gigantangion_CANB_454615","Eucalyptus","gigantangion","CANB","454615",NA,NA,NA
"122","Eucalyptus_chartaboma_CANB_703248","Eucalyptus","chartaboma","CANB","703248",NA,NA,NA
"123","Eucalyptus_baileyana_Mt_Annan_892003","Eucalyptus","baileyana","Mt","Annan","892003",NA,NA
"124","Eucalyptus_similis","Eucalyptus","similis",NA,NA,NA,NA,NA
"125","Eucalyptus_gongylocarpa_MC_11097","Eucalyptus","gongylocarpa","MC","11097",NA,NA,NA
"126","Eucalyptus_roycei_328","Eucalyptus","roycei","328",NA,NA,NA,NA
"127","Eucalyptus_ebbanoensis_subsp_ebbanoensis_ANBG_9806509","Eucalyptus","ebbanoensis","subsp","ebbanoensis","ANBG","9806509",NA
"128","Eucalyptus_erythrocorys","Eucalyptus","erythrocorys",NA,NA,NA,NA,NA
"129","Eucalyptus_jucunda_MC_10796","Eucalyptus","jucunda","MC","10796",NA,NA,NA
"130","Eucalyptus_conveniens_48","Eucalyptus","conveniens","48",NA,NA,NA,NA
"131","Eucalyptus_gamophylla_MC_10612","Eucalyptus","gamophylla","MC","10612",NA,NA,NA
"132","Eucalyptus_odontocarpa_MC_10608","Eucalyptus","odontocarpa","MC","10608",NA,NA,NA
"133","Eucalyptus_pleurocarpa","Eucalyptus","pleurocarpa",NA,NA,NA,NA,NA
"134","Eucalyptus_extrica_CANB_632680","Eucalyptus","extrica","CANB","632680",NA,NA,NA
"135","Eucalyptus_gittinsii_subsp_gittinsii_MC_10801","Eucalyptus","gittinsii","subsp","gittinsii","MC","10801",NA
"136","Eucalyptus_eudesmioides_subsp_eudesmioides_MC_10780","Eucalyptus","eudesmioides","subsp","eudesmioides","MC","10780",NA
"137","Eucalyptus_tenuipes","Eucalyptus","tenuipes",NA,NA,NA,NA,NA
"138","Eucalyptus_cloeziana_241","Eucalyptus","cloeziana","241",NA,NA,NA,NA
"139","Eucalyptus_suberea_MC_10904A","Eucalyptus","suberea","MC","10904A",NA,NA,NA
"140","Eucalyptus_lateritica_CANB_794197","Eucalyptus","lateritica","CANB","794197",NA,NA,NA
"141","Eucalyptus_dolorosa_610751","Eucalyptus","dolorosa","610751",NA,NA,NA,NA
"142","Eucalyptus_patens_ANBG_55807","Eucalyptus","patens","ANBG","55807",NA,NA,NA
"143","Eucalyptus_todtiana_CANB_530801","Eucalyptus","todtiana","CANB","530801",NA,NA,NA
"144","Eucalyptus_megacarpa_MC_11214","Eucalyptus","megacarpa","MC","11214",NA,NA,NA
"145","Eucalyptus_aquilina_CANB_459757","Eucalyptus","aquilina","CANB","459757",NA,NA,NA
"146","Eucalyptus_johnsoniana_CANB_794214","Eucalyptus","johnsoniana","CANB","794214",NA,NA,NA
"147","Eucalyptus_marginata_subsp_marginata_MC_10941","Eucalyptus","marginata","subsp","marginata","MC","10941",NA
"148","Eucalyptus_staeri_366","Eucalyptus","staeri","366",NA,NA,NA,NA
"149","Eucalyptus_jacksonii_MC_10952","Eucalyptus","jacksonii","MC","10952",NA,NA,NA
"150","Eucalyptus_brevistylis_393","Eucalyptus","brevistylis","393",NA,NA,NA,NA
"151","Eucalyptus_calcicola_subsp_calcicola_176","Eucalyptus","calcicola","subsp","calcicola","176",NA,NA
"152","Eucalyptus_diversifolia_subsp_diversifolia_390","Eucalyptus","diversifolia","subsp","diversifolia","390",NA,NA
"153","Eucalyptus_pachyloma_426","Eucalyptus","pachyloma","426",NA,NA,NA,NA
"154","Eucalyptus_coronata_658","Eucalyptus","coronata","658",NA,NA,NA,NA
"155","Eucalyptus_pendens_CANB_794222","Eucalyptus","pendens","CANB","794222",NA,NA,NA
"156","Eucalyptus_exilis_ANBG_8004906","Eucalyptus","exilis","ANBG","8004906",NA,NA,NA
"157","Eucalyptus_insularis_275","Eucalyptus","insularis","275",NA,NA,NA,NA
"158","Eucalyptus_platydisca_CANB_638520","Eucalyptus","platydisca","CANB","638520",NA,NA,NA
"159","Eucalyptus_planchoniana_236","Eucalyptus","planchoniana","236",NA,NA,NA,NA
"160","Eucalyptus_ligulata_subsp_ligulata_721","Eucalyptus","ligulata","subsp","ligulata","721",NA,NA
"161","Eucalyptus_buprestium_CANB_632568","Eucalyptus","buprestium","CANB","632568",NA,NA,NA
"162","Eucalyptus_acies_CANB_610687","Eucalyptus","acies","CANB","610687",NA,NA,NA
"163","Eucalyptus_erectifolia_CANB_794270","Eucalyptus","erectifolia","CANB","794270",NA,NA,NA
"164","Eucalyptus_preissiana_subsp_preissiana_422","Eucalyptus","preissiana","subsp","preissiana","422",NA,NA
"165","Eucalyptus_sepulcralis_CANB_378343","Eucalyptus","sepulcralis","CANB","378343",NA,NA,NA
"166","Eucalyptus_umbra_ANBG_60074","Eucalyptus","umbra","ANBG","60074",NA,NA,NA
"167","Eucalyptus_apothalassica_721925","Eucalyptus","apothalassica","721925",NA,NA,NA,NA
"168","Eucalyptus_carnea_718","Eucalyptus","carnea","718",NA,NA,NA,NA
"169","Eucalyptus_rubiginosa_654","Eucalyptus","rubiginosa","654",NA,NA,NA,NA
"170","Eucalyptus_latisinensis_247","Eucalyptus","latisinensis","247",NA,NA,NA,NA
"171","Eucalyptus_sphaerocarpa_606","Eucalyptus","sphaerocarpa","606",NA,NA,NA,NA
"172","Eucalyptus_acmenoides_624","Eucalyptus","acmenoides","624",NA,NA,NA,NA
"173","Eucalyptus_amygdalina_CANB_481986","Eucalyptus","amygdalina","CANB","481986",NA,NA,NA
"174","Eucalyptus_risdonii_620","Eucalyptus","risdonii","620",NA,NA,NA,NA
"175","Eucalyptus_pulchella_612","Eucalyptus","pulchella","612",NA,NA,NA,NA
"176","Eucalyptus_nitida_744","Eucalyptus","nitida","744",NA,NA,NA,NA
"177","Eucalyptus_regnans_ANBG_8501815","Eucalyptus","regnans","ANBG","8501815",NA,NA,NA
"178","Eucalyptus_tenuiramis_CANB_692639","Eucalyptus","tenuiramis","CANB","692639",NA,NA,NA
"179","Eucalyptus_arenacea_MC_10652","Eucalyptus","arenacea","MC","10652",NA,NA,NA
"180","Eucalyptus_tindaliae_ANBG_69620","Eucalyptus","tindaliae","ANBG","69620",NA,NA,NA
"181","Eucalyptus_remota_ANBG_9807783","Eucalyptus","remota","ANBG","9807783",NA,NA,NA
"182","Eucalyptus_racemosa_732766","Eucalyptus","racemosa","732766",NA,NA,NA,NA
"183","Eucalyptus_stenostoma_733","Eucalyptus","stenostoma","733",NA,NA,NA,NA
"184","Eucalyptus_victoriana_712","Eucalyptus","victoriana","712",NA,NA,NA,NA
"185","Eucalyptus_verrucata_715","Eucalyptus","verrucata","715",NA,NA,NA,NA
"186","Eucalyptus_serraensis_MC_10646","Eucalyptus","serraensis","MC","10646",NA,NA,NA
"187","Eucalyptus_conglomerata","Eucalyptus","conglomerata",NA,NA,NA,NA,NA
"188","Eucalyptus_mitchelliana_635","Eucalyptus","mitchelliana","635",NA,NA,NA,NA
"189","Eucalyptus_langleyi_8801319","Eucalyptus","langleyi","8801319",NA,NA,NA,NA
"190","Eucalyptus_multicaulis_761635","Eucalyptus","multicaulis","761635",NA,NA,NA,NA
"191","Eucalyptus_triflora_ANBG_763500","Eucalyptus","triflora","ANBG","763500",NA,NA,NA
"192","Eucalyptus_mackintii_308","Eucalyptus","mackintii","308",NA,NA,NA,NA
"193","Eucalyptus_muelleriana_159","Eucalyptus","muelleriana","159",NA,NA,NA,NA
"194","Eucalyptus_globoidea_729","Eucalyptus","globoidea","729",NA,NA,NA,NA
"195","Eucalyptus_baxteri_8701806","Eucalyptus","baxteri","8701806",NA,NA,NA,NA
"196","Eucalyptus_sieberi_ANBG_8411661","Eucalyptus","sieberi","ANBG","8411661",NA,NA,NA
"197","Eucalyptus_yangoura_AHT_E16","Eucalyptus","yangoura","AHT","E16",NA,NA,NA
"198","Eucalyptus_croajingolensis_156","Eucalyptus","croajingolensis","156",NA,NA,NA,NA
"199","Eucalyptus_willisii_subsp_willisii_CANB_468525","Eucalyptus","willisii","subsp","willisii","CANB","468525",NA
"200","Eucalyptus_olsenii_762144","Eucalyptus","olsenii","762144",NA,NA,NA,NA
"201","Eucalyptus_lacrimans_251","Eucalyptus","lacrimans","251",NA,NA,NA,NA
"202","Eucalyptus_elata_ANBG_73059","Eucalyptus","elata","ANBG","73059",NA,NA,NA
"203","Eucalyptus_pauciflora_subsp_pauciflora_ANBG_9303293","Eucalyptus","pauciflora","subsp","pauciflora","ANBG","9303293",NA
"204","Eucalyptus_radiata_subsp_radiata_732","Eucalyptus","radiata","subsp","radiata","732",NA,NA
"205","Eucalyptus_fraxinoides_751650","Eucalyptus","fraxinoides","751650",NA,NA,NA,NA
"206","Eucalyptus_oreades_747","Eucalyptus","oreades","747",NA,NA,NA,NA
"207","Eucalyptus_burgessiana_ANBG_no_sn","Eucalyptus","burgessiana","ANBG","no","sn",NA,NA
