TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Lat,Long,Row,Tree,Row/Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,DroughtImpact_20192020,affected_tree_bin,number_rep_total_per_UniqueID,number_rep_2020_alive_per_UniqueID
Eucalyptus pulverulenta,Eucalyptus pulverulenta,Eucalyptus pulverulenta,,Species ,D.Nicolle,1226,"Lithgow, NSW",33,32,51,150,6,36,33.5475,150.11,94,11,R094/T11,Alive,Moderate,Moderate,?,None evident,,,,,Severe,Flowered,Flowered,1996,2,1,4,4
Eucalyptus pulverulenta,Eucalyptus pulverulenta,Eucalyptus pulverulenta,,Species ,D.Nicolle,1226,"Lithgow, NSW",33,32,51,150,6,36,33.5475,150.11,94,12,R094/T12,Alive,Moderate,Moderate,?,None evident,,,,,Moderate,Flowered,Flowered,1996,2,1,4,4
Corymbia gummifera,Corymbia gummifera,Corymbia gummifera,,Species ,D.Nicolle,1228,"Ku-Ring-Gai Chase, NSW",33,41,3,151,13,54,33.68416667,151.2316667,93,18,R093/T18,Alive,Slight,Moderate,?,Scattered,Primary & secondary branches,3 - 6 months,Slight,,None evident,Flowered,Flowered,1996,2,1,5,1
Eucalyptus canaliculata,Eucalyptus canaliculata,Eucalyptus canaliculata,,Species ,D.Nicolle,1232,"Gloucester, NSW",31,48,28,151,47,24,31.80777778,151.79,95,35,R095/T35,Alive,Severe,Severe,?,Very scattered,Secondary & tertiary branches,3 - 6 months,None evident,,Slight,Flowered,Flowered,1996,3,1,4,2
Eucalyptus canaliculata,Eucalyptus canaliculata,Eucalyptus canaliculata,,Species ,D.Nicolle,1232,"Gloucester, NSW",31,48,28,151,47,24,31.80777778,151.79,95,32,R095/T32,Alive,Slight,Slight,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,Slight,Flowered,Flowered,1996,1,1,4,2
Eucalyptus eugenioides,Eucalyptus eugenioides,Eucalyptus eugenioides,,Species ,D.Nicolle,1235,"Curricabark, NSW",31,43,1,151,37,36,31.71694444,151.6266667,92,11,R092/T11,Alive,Severe,Moderate,?,Extensive,"Primary, secondary & tertiary branches",3 - 6 months,Slight,,None evident,Flowered,Flowered,1996,2,1,4,3
Eucalyptus eugenioides,Eucalyptus eugenioides,Eucalyptus eugenioides,,Species ,D.Nicolle,1235,"Curricabark, NSW",31,43,1,151,37,36,31.71694444,151.6266667,92,12,R092/T12,Alive,Slight,Slight,?,Extensive,"Primary, secondary & tertiary branches",3 - 6 months,None evident,,None evident,,,1996,1,1,4,3
Eucalyptus carnea,Eucalyptus carnea,Eucalyptus carnea,,Species ,D.Nicolle,1236,"Gloucester, NSW",31,59,39,151,56,54,31.99416667,151.9483333,208,1,R208/T01,Alive,Moderate,Moderate,?,None evident,,,,,Not applicable,Flowered,Flowered,2002,2,1,4,2
Eucalyptus carnea,Eucalyptus carnea,Eucalyptus carnea,,Species ,D.Nicolle,1236,"Gloucester, NSW",31,59,39,151,56,54,31.99416667,151.9483333,208,4,R208/T04,Alive,Moderate,Moderate,?,None evident,,,,,Not applicable,Flowered,Flowered,2002,2,1,4,2
Eucalyptus grandis,Eucalyptus grandis,Eucalyptus grandis,,Species ,D.Nicolle,1237,"Johns River, NSW",31,41,30,152,44,3,31.69166667,152.7341667,93,36,R093/T36,Alive,Moderate,Dead,??,Very scattered,Secondary branches,3 - 6 months,Dead,,None evident,Flowered,Flowered,1996,4,1,4,3
