TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Lat,Long,Row,Tree,Row/Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,DroughtImpact_20192020,affected_tree_bin,number_rep_total_per_UniqueID,number_rep_2020_alive_per_UniqueID
Eucalyptus lockyeri subsp. exuta,Eucalyptus lockyeri subsp. exuta,Eucalyptus lockyeri subsp. exuta,,Species ,D.Nicolle,1309,"Walkamin, Qld",17,5,46,145,31,46,17.09611111,145.5294444,94,20,R094/T20,Alive,Slight,None evident,?,,,,,,Slight,Flowered,Flowered,1996,0,0,4,3
Eucalyptus planipes,Eucalyptus planipes,Eucalyptus planipes,,Species ,D.Nicolle,131,"Heartbreak Ridge, WA",32,7,6,122,0,31,32.11833333,122.0086111,22,21,R022/T21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus planipes,Eucalyptus planipes,Eucalyptus planipes,,Species ,D.Nicolle,131,"Heartbreak Ridge, WA",32,7,6,122,0,31,32.11833333,122.0086111,22,22,R022/T22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus planipes,Eucalyptus planipes,Eucalyptus planipes,,Species ,D.Nicolle,131,"Heartbreak Ridge, WA",32,7,6,122,0,31,32.11833333,122.0086111,22,23,R022/T23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus planipes,Eucalyptus planipes,Eucalyptus planipes,,Species ,D.Nicolle,131,"Heartbreak Ridge, WA",32,7,6,122,0,31,32.11833333,122.0086111,22,24,R022/T24,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus leptophleba,Eucalyptus leptophleba,Eucalyptus leptophleba,,Species ,D.Nicolle,1313,"Laura, Qld",15,38,59,144,31,38,15.64972222,144.5272222,132,23,R132/T23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,0,0,5,1
Eucalyptus chlorophylla,Eucalyptus chlorophylla,Eucalyptus chlorophylla,,Species ,D.Nicolle,1315,"Laura, Qld",15,21,35,144,26,33,15.35972222,144.4425,93,14,R093/T14,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,3,2
Eucalyptus chlorophylla,Eucalyptus chlorophylla,Eucalyptus chlorophylla,,Species ,D.Nicolle,1315,"Laura, Qld",15,21,35,144,26,33,15.35972222,144.4425,93,15,R093/T15,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,3,2
Eucalyptus celastroides,Eucalyptus celastroides,Eucalyptus celastroides,,Species ,D.Nicolle,132,"Mt Norcott, WA",32,7,6,122,0,31,32.11833333,122.0086111,44,5,R044/T05,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994,0,0,5,2
Eucalyptus celastroides,Eucalyptus celastroides,Eucalyptus celastroides,,Species ,D.Nicolle,132,"Mt Norcott, WA",32,7,6,122,0,31,32.11833333,122.0086111,44,7,R044/T07,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994,0,0,5,2
Eucalyptus cullenii,Eucalyptus cullenii,Eucalyptus cullenii,,Species ,D.Nicolle,1322,"Lakeland, Qld",15,57,42,144,49,55,15.96166667,144.8319444,94,26,R094/T26,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,2
Eucalyptus cullenii,Eucalyptus cullenii,Eucalyptus cullenii,,Species ,D.Nicolle,1322,"Lakeland, Qld",15,57,42,144,49,55,15.96166667,144.8319444,94,27,R094/T27,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,2
Eucalyptus microneura,Eucalyptus microneura,Eucalyptus microneura,,Species ,D.Nicolle,1326,"Forsayth, Qld",18,35,10,143,36,14,18.58611111,143.6038889,192,13,R192/T13,Alive,None evident,None evident,?,,,,,,None evident,,,2000,0,0,7,3
Eucalyptus microneura,Eucalyptus microneura,Eucalyptus microneura,,Species ,D.Nicolle,1326,"Forsayth, Qld",18,35,10,143,36,14,18.58611111,143.6038889,192,14,R192/T14,Alive,None evident,None evident,?,,,,,,None evident,,,2000,0,0,7,3
Eucalyptus microneura,Eucalyptus microneura,Eucalyptus microneura,,Species ,D.Nicolle,1326,"Forsayth, Qld",18,35,10,143,36,14,18.58611111,143.6038889,192,15,R192/T15,Alive,None evident,None evident,?,,,,,,None evident,,,2000,0,0,7,3
Eucalyptus pruinosa subsp. pruinosa,Eucalyptus pruinosa subsp. pruinosa,Eucalyptus pruinosa subsp. pruinosa,,Subspecies,D.Nicolle,1329,"Coolullah, Qld",19,53,30,140,12,26,19.89166667,140.2072222,89,8,R089/T08,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,3,1
Eucalyptus platydisca,Eucalyptus platydisca,Eucalyptus platydisca,,Species ,D.Nicolle,133,"Mt Norcott, WA",32,7,6,122,0,31,32.11833333,122.0086111,11,1,R011/T01,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,7,5
Eucalyptus platydisca,Eucalyptus platydisca,Eucalyptus platydisca,,Species ,D.Nicolle,133,"Mt Norcott, WA",32,7,6,122,0,31,32.11833333,122.0086111,11,2,R011/T02,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,7,5
Eucalyptus platydisca,Eucalyptus platydisca,Eucalyptus platydisca,,Species ,D.Nicolle,133,"Mt Norcott, WA",32,7,6,122,0,31,32.11833333,122.0086111,176,5,R176/T05,Alive,None evident,None evident,?,,,,,,None evident,,,1999,0,0,7,5
Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,,Subspecies,D.Nicolle,1330,"Mount Isa 1, Qld",20,52,48,139,27,11,20.88,139.4530556,87,6,R087/T06,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,4
Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,,Subspecies,D.Nicolle,1330,"Mount Isa 1, Qld",20,52,48,139,27,11,20.88,139.4530556,87,7,R087/T07,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,4
Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,,Subspecies,D.Nicolle,1330,"Mount Isa 1, Qld",20,52,48,139,27,11,20.88,139.4530556,87,8,R087/T08,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,4
Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,,Subspecies,D.Nicolle,1330,"Mount Isa 1, Qld",20,52,48,139,27,11,20.88,139.4530556,87,9,R087/T09,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,4
Eucalyptus leucophylla,Eucalyptus leucophylla,Eucalyptus leucophylla,Synonym of Eucalyptus argillacea,Species ,D.Nicolle,1331,"Mount Isa, Qld",20,33,29,139,32,1,20.55805556,139.5336111,87,14,R087/T14,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,4,4
Eucalyptus leucophylla,Eucalyptus leucophylla,Eucalyptus leucophylla,Synonym of Eucalyptus argillacea,Species ,D.Nicolle,1331,"Mount Isa, Qld",20,33,29,139,32,1,20.55805556,139.5336111,87,15,R087/T15,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,4
Eucalyptus leucophylla,Eucalyptus leucophylla,Eucalyptus leucophylla,Synonym of Eucalyptus argillacea,Species ,D.Nicolle,1331,"Mount Isa, Qld",20,33,29,139,32,1,20.55805556,139.5336111,87,16,R087/T16,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,4,4
Eucalyptus leucophylla,Eucalyptus leucophylla,Eucalyptus leucophylla,Synonym of Eucalyptus argillacea,Species ,D.Nicolle,1331,"Mount Isa, Qld",20,33,29,139,32,1,20.55805556,139.5336111,87,17,R087/T17,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,4,4
Eucalyptus leucophloia subsp. euroa,Eucalyptus leucophloia subsp. euroa,Eucalyptus leucophloia subsp. euroa,,Subspecies,D.Nicolle,1332,"Mt Isa, Qld",20,34,9,139,31,32,20.56916667,139.5255556,82,18,R082/T18,Alive,None evident,None evident,?,,,,,,None evident,,,1998,0,0,4,1
Eucalyptus chlorophylla,Eucalyptus chlorophylla,Eucalyptus chlorophylla,,Species ,D.Nicolle,1334,"Three Ways Roadhouse, NT",19,11,21,134,10,0,19.18916667,134.1666667,87,13,R087/T13,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,1,1
Corymbia ferruginea subsp. stypophylla,Corymbia ferruginea subsp. stypophylla,Corymbia ferruginea subsp. stypophylla,,Subspecies,D.Nicolle,1336,"Lake Woods, NT",17,52,51,133,41,47,17.88083333,133.6963889,298,15,R298/T15,Alive,None evident,None evident,?,,,,,,Not applicable,,,2015,0,0,2,1
Eucalyptus microtheca,Eucalyptus microtheca,Eucalyptus microtheca,,Species ,D.Nicolle,1338,"Newcastle Creek, NT",17,15,35,133,27,15,17.25972222,133.4541667,87,32,R087/T32,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,4,2
Eucalyptus microtheca,Eucalyptus microtheca,Eucalyptus microtheca,,Species ,D.Nicolle,1338,"Newcastle Creek, NT",17,15,35,133,27,15,17.25972222,133.4541667,87,33,R087/T33,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,4,2
Eucalyptus patellaris,Eucalyptus patellaris,Eucalyptus patellaris,,Species ,D.Nicolle,1339,"Daly Waters, NT",16,16,20,133,23,30,16.27222222,133.3916667,89,5,R089/T05,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,3,2
Eucalyptus patellaris,Eucalyptus patellaris,Eucalyptus patellaris,,Species ,D.Nicolle,1339,"Daly Waters, NT",16,16,20,133,23,30,16.27222222,133.3916667,89,7,R089/T07,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,3,2
Eucalyptus ravida,Eucalyptus ravida,Eucalyptus ravida,,Species ,D.Nicolle,134,"Mt Norcott, WA",32,5,38,122,1,36,32.09388889,122.0266667,13,18,R013/T18,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,1
Eucalyptus torquata,Eucalyptus torquata,Eucalyptus torquata,,Species ,D.Nicolle,135,"Norseman, WA",32,8,11,121,41,35,32.13638889,121.6930556,43,1,R043/T01,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994,0,0,4,3
Eucalyptus torquata,Eucalyptus torquata,Eucalyptus torquata,,Species ,D.Nicolle,135,"Norseman, WA",32,8,11,121,41,35,32.13638889,121.6930556,43,2,R043/T02,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994,0,0,4,3
Eucalyptus torquata,Eucalyptus torquata,Eucalyptus torquata,,Species ,D.Nicolle,135,"Norseman, WA",32,8,11,121,41,35,32.13638889,121.6930556,43,4,R043/T04,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994,0,0,4,3
Eucalyptus platyphylla (NT form),Eucalyptus platyphylla,Eucalyptus platyphylla,,Species ,D.Nicolle,1350,"Daly Waters, NT",16,15,7,133,23,51,16.25194444,133.3975,89,24,R089/T24,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,3,1
Eucalyptus sessilis,Eucalyptus sessilis,Eucalyptus sessilis,,Species ,D.Nicolle,1352,"Mt Hermannsburg, NT",23,57,29,132,39,35,23.95805556,132.6597222,88,3,R088/T03,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,2
Eucalyptus sessilis,Eucalyptus sessilis,Eucalyptus sessilis,,Species ,D.Nicolle,1352,"Mt Hermannsburg, NT",23,57,29,132,39,35,23.95805556,132.6597222,88,4,R088/T04,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,2
Eucalyptus lucens,Eucalyptus lucens,Eucalyptus lucens,,Species ,D.Nicolle,1353,"Mt Hermannsburg, NT",24,0,0,132,39,3,24,132.6508333,177,1,R177/T01,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,0,0,7,3
Eucalyptus lucens,Eucalyptus lucens,Eucalyptus lucens,,Species ,D.Nicolle,1353,"Mt Hermannsburg, NT",24,0,0,132,39,3,24,132.6508333,177,2,R177/T02,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,0,0,7,3
Eucalyptus lucens,Eucalyptus lucens,Eucalyptus lucens,,Species ,D.Nicolle,1353,"Mt Hermannsburg, NT",24,0,0,132,39,3,24,132.6508333,177,3,R177/T03,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,0,0,7,3
Eucalyptus minniritchi,Eucalyptus minniritchi,Eucalyptus minniritchi,,Species ,D.Nicolle,1354,"Mt Hermannsburg, NT",24,0,0,132,39,3,24,132.6508333,132,14,R132/T14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,0,0,6,3
Eucalyptus minniritchi,Eucalyptus minniritchi,Eucalyptus minniritchi,,Species ,D.Nicolle,1354,"Mt Hermannsburg, NT",24,0,0,132,39,3,24,132.6508333,132,15,R132/T15,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,0,0,6,3
Eucalyptus minniritchi,Eucalyptus minniritchi,Eucalyptus minniritchi,,Species ,D.Nicolle,1354,"Mt Hermannsburg, NT",24,0,0,132,39,3,24,132.6508333,132,16,R132/T16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,0,0,6,3
Eucalyptus coolabah,Eucalyptus coolabah,Eucalyptus coolabah,,Species ,D.Nicolle,1355,"Palmer River, NT",24,44,10,133,10,58,24.73611111,133.1827778,86,16,R086/T16,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,3,3
Eucalyptus coolabah,Eucalyptus coolabah,Eucalyptus coolabah,,Species ,D.Nicolle,1355,"Palmer River, NT",24,44,10,133,10,58,24.73611111,133.1827778,86,17,R086/T17,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,3,3
Eucalyptus coolabah,Eucalyptus coolabah,Eucalyptus coolabah,,Species ,D.Nicolle,1355,"Palmer River, NT",24,44,10,133,10,58,24.73611111,133.1827778,86,18,R086/T18,Alive,None evident,None evident,?,,,,,,None evident,,,1996,0,0,3,3
Eucalyptus brockwayi,Eucalyptus brockwayi,Eucalyptus brockwayi,,Species ,D.Nicolle,136,"Norseman north, WA",32,8,12,121,41,39,32.13666667,121.6941667,15,13,R015/T13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,3
Eucalyptus brockwayi,Eucalyptus brockwayi,Eucalyptus brockwayi,,Species ,D.Nicolle,136,"Norseman north, WA",32,8,12,121,41,39,32.13666667,121.6941667,15,14,R015/T14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,3
Eucalyptus brockwayi,Eucalyptus brockwayi,Eucalyptus brockwayi,,Species ,D.Nicolle,136,"Norseman north, WA",32,8,12,121,41,39,32.13666667,121.6941667,15,16,R015/T16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,3
Eucalyptus odorata x E. phenax,Eucalyptus odorata x E. phenax,,,Hybrid,D.Nicolle,1360,"Goolwa, SA",35,28,6,138,45,27,35.46833333,138.7575,87,38,R087/T38,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,2
Eucalyptus odorata x E. phenax,Eucalyptus odorata x E. phenax,,,Hybrid,D.Nicolle,1360,"Goolwa, SA",35,28,6,138,45,27,35.46833333,138.7575,87,39,R087/T39,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,2
Eucalyptus microcarpa (Adelaide variant),Eucalyptus microcarpa,Eucalyptus microcarpa,,Species ,D.Nicolle,1364,"Happy Valley, SA",35,5,9,138,33,38,35.08583333,138.5605556,87,22,R087/T22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,6,5
Eucalyptus microcarpa (Adelaide variant),Eucalyptus microcarpa,Eucalyptus microcarpa,,Species ,D.Nicolle,1364,"Happy Valley, SA",35,5,9,138,33,38,35.08583333,138.5605556,87,23,R087/T23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,6,5
Eucalyptus microcarpa (Adelaide variant),Eucalyptus microcarpa,Eucalyptus microcarpa,,Species ,D.Nicolle,1364,"Happy Valley, SA",35,5,9,138,33,38,35.08583333,138.5605556,87,26,R087/T26,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,6,5
Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,,Subspecies,CSIRO,13661,"Mount Molloy, Qld",16,41,30,145,20,30,16.69166667,145.3416667,80,26,R080/T26,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,0,0,5,5
Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,,Subspecies,CSIRO,13661,"Mount Molloy, Qld",16,41,30,145,20,30,16.69166667,145.3416667,80,27,R080/T27,Alive,None evident,None evident,?,,,,,,None evident,,,1999,0,0,5,5
Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,,Subspecies,CSIRO,13661,"Mount Molloy, Qld",16,41,30,145,20,30,16.69166667,145.3416667,80,28,R080/T28,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,0,0,5,5
Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,,Subspecies,CSIRO,13661,"Mount Molloy, Qld",16,41,30,145,20,30,16.69166667,145.3416667,80,29,R080/T29,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,0,0,5,5
Eucalyptus dwyeri,Eucalyptus dwyeri,Eucalyptus dwyeri,,Species ,D.Nicolle,1369,"Rocky Glen, NSW",31,0,30,150,40,30,31.00833333,150.675,90,6,R090/T06,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,4
Eucalyptus dwyeri,Eucalyptus dwyeri,Eucalyptus dwyeri,,Species ,D.Nicolle,1369,"Rocky Glen, NSW",31,0,30,150,40,30,31.00833333,150.675,90,7,R090/T07,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,4
Eucalyptus dwyeri,Eucalyptus dwyeri,Eucalyptus dwyeri,,Species ,D.Nicolle,1369,"Rocky Glen, NSW",31,0,30,150,40,30,31.00833333,150.675,90,8,R090/T08,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,4
Eucalyptus pterocarpa ,Eucalyptus pterocarpa,Eucalyptus pterocarpa,,Species ,D.Nicolle,137,"Norseman, WA",32,9,5,121,38,22,32.15138889,121.6394444,43,34,R043/T34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994,0,0,7,6
Eucalyptus pterocarpa ,Eucalyptus pterocarpa,Eucalyptus pterocarpa,,Species ,D.Nicolle,137,"Norseman, WA",32,9,5,121,38,22,32.15138889,121.6394444,43,35,R043/T35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1994,0,0,7,6
Eucalyptus pterocarpa ,Eucalyptus pterocarpa,Eucalyptus pterocarpa,,Species ,D.Nicolle,137,"Norseman, WA",32,9,5,121,38,22,32.15138889,121.6394444,174,29,R174/T29,Alive,None evident,None evident,?,,,,,,None evident,Budded,Budded,1999,0,0,7,6
Eucalyptus pterocarpa ,Eucalyptus pterocarpa,Eucalyptus pterocarpa,,Species ,D.Nicolle,137,"Norseman, WA",32,9,5,121,38,22,32.15138889,121.6394444,174,30,R174/T30,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,0,0,7,6
Eucalyptus pterocarpa ,Eucalyptus pterocarpa,Eucalyptus pterocarpa,,Species ,D.Nicolle,137,"Norseman, WA",32,9,5,121,38,22,32.15138889,121.6394444,174,31,R174/T31,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,0,0,7,6
Eucalyptus pterocarpa ,Eucalyptus pterocarpa,Eucalyptus pterocarpa,,Species ,D.Nicolle,137,"Norseman, WA",32,9,5,121,38,22,32.15138889,121.6394444,174,32,R174/T32,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,0,0,7,6
Eucalyptus websteriana (subsp. norsemanica),Eucalyptus websteriana,Eucalyptus websteriana,,Species ,D.Nicolle,138,"Norseman, WA",32,9,12,121,44,10,32.15333333,121.7361111,14,5,R014/T05,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus websteriana (subsp. norsemanica),Eucalyptus websteriana,Eucalyptus websteriana,,Species ,D.Nicolle,138,"Norseman, WA",32,9,12,121,44,10,32.15333333,121.7361111,14,6,R014/T06,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus websteriana (subsp. norsemanica),Eucalyptus websteriana,Eucalyptus websteriana,,Species ,D.Nicolle,138,"Norseman, WA",32,9,12,121,44,10,32.15333333,121.7361111,14,7,R014/T07,Alive,None evident,None evident,?,,,,,,None evident,,,1993,0,0,4,4
Eucalyptus websteriana (subsp. norsemanica),Eucalyptus websteriana,Eucalyptus websteriana,,Species ,D.Nicolle,138,"Norseman, WA",32,9,12,121,44,10,32.15333333,121.7361111,14,8,R014/T08,Alive,None evident,None evident,?,,,,,,None evident,,,1993,0,0,4,4
Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,,Subspecies,D.Nicolle,139,"McPherson Rock, WA",32,27,14,121,41,30,32.45388889,121.6916667,17,5,R017/T05,Alive,None evident,None evident,?,,,,,,None evident,,,1993,0,0,4,4
Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,,Subspecies,D.Nicolle,139,"McPherson Rock, WA",32,27,14,121,41,30,32.45388889,121.6916667,17,6,R017/T06,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,,Subspecies,D.Nicolle,139,"McPherson Rock, WA",32,27,14,121,41,30,32.45388889,121.6916667,17,7,R017/T07,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,Eucalyptus loxophleba subsp. lissophloia,,Subspecies,D.Nicolle,139,"McPherson Rock, WA",32,27,14,121,41,30,32.45388889,121.6916667,17,8,R017/T08,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus concinna,Eucalyptus concinna,Eucalyptus concinna,,Species ,D.Nicolle,1391,"Tarcoola, SA",30,50,32,134,34,19,30.84222222,134.5719444,86,33,R086/T33,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,3
Eucalyptus concinna,Eucalyptus concinna,Eucalyptus concinna,,Species ,D.Nicolle,1391,"Tarcoola, SA",30,50,32,134,34,19,30.84222222,134.5719444,86,34,R086/T34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,3
Eucalyptus concinna,Eucalyptus concinna,Eucalyptus concinna,,Species ,D.Nicolle,1391,"Tarcoola, SA",30,50,32,134,34,19,30.84222222,134.5719444,86,35,R086/T35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,3
Eucalyptus omissa,Eucalyptus omissa,Eucalyptus omissa,,Species ,D.Nicolle,1392,"Tarcoola, SA",30,51,38,134,33,45,30.86055556,134.5625,86,29,R086/T29,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,2
Eucalyptus omissa,Eucalyptus omissa,Eucalyptus omissa,,Species ,D.Nicolle,1392,"Tarcoola, SA",30,51,38,134,33,45,30.86055556,134.5625,86,32,R086/T32,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,4,2
Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Synonym of E. moluccana,Subspecies,D.Nicolle,1393,"Tarcoola, SA",30,48,17,134,8,5,30.80472222,134.1347222,183,21,R183/T21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,0,0,4,4
Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Synonym of E. moluccana,Subspecies,D.Nicolle,1393,"Tarcoola, SA",30,48,17,134,8,5,30.80472222,134.1347222,183,22,R183/T22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,0,0,4,4
Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Synonym of E. moluccana,Subspecies,D.Nicolle,1393,"Tarcoola, SA",30,48,17,134,8,5,30.80472222,134.1347222,183,23,R183/T23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,0,0,4,4
Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Synonym of E. moluccana,Subspecies,D.Nicolle,1393,"Tarcoola, SA",30,48,17,134,8,5,30.80472222,134.1347222,183,24,R183/T24,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,0,0,4,4
Eucalyptus subtilis,Eucalyptus subtilis,Eucalyptus subtilis,,Species ,D.Nicolle,140,"Daniell, WA",32,31,29,121,36,28,32.52472222,121.6077778,23,9,R023/T09,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus subtilis,Eucalyptus subtilis,Eucalyptus subtilis,,Species ,D.Nicolle,140,"Daniell, WA",32,31,29,121,36,28,32.52472222,121.6077778,23,10,R023/T10,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus subtilis,Eucalyptus subtilis,Eucalyptus subtilis,,Species ,D.Nicolle,140,"Daniell, WA",32,31,29,121,36,28,32.52472222,121.6077778,23,11,R023/T11,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus subtilis,Eucalyptus subtilis,Eucalyptus subtilis,,Species ,D.Nicolle,140,"Daniell, WA",32,31,29,121,36,28,32.52472222,121.6077778,23,12,R023/T12,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,0,0,4,4
Eucalyptus gypsophila,Eucalyptus gypsophila,Eucalyptus gypsophila,,Species ,D.Nicolle,1405,"Yumbarra Con. Park, SA",31,39,28,133,46,43,31.65777778,133.7786111,86,27,R086/T27,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1996,0,0,2,2
