UniqueID,Yearplanted.x,Drought2006Scale.mean,Drought2006Scale.sd,Drought2006Scale.l,Drought2019Scale.mean,Drought2019Scale.sd,Drought2019Scale.l,Drought2020Scale.mean,Drought2020Scale.sd,Drought2020Scale.l,Taxonsimplified_DN,Provenance.x,latitude,longitude,AICorrected,Aridclass,MAT,MTWarmQ,MTColdQ,AP,PWetM,PDryM,PS,PWetQ,PDryQ,PWarmQ,PColdQ,MDR,ISOT,TS,MaxTWarmM,MinTCM,TAR,MTWetQ,MeanTDryQ,et0_yr_corrected,PrecDeficit,Taxonthornhill_AC_VPM,Thornhill_bionomial_tip_match,MotherTreeHeight_AVG_m,RegenStrategysimplified,height_max_m,Habit,LeafLenghtavg_mm,LeafWidth_avg_mm,LeafAreaEst_cm2,n,Diamthickness.mm..mean,Diamthickness.mm..sd,Diamthickness.mm..l,Wooddensity.g.cm3..mean,Wooddensity.g.cm3..sd,Wooddensity.g.cm3..l,Average.Size_cm2.mean,Average.Size_cm2.sd,Average.Size_cm2.l,SLA_m2.kg.mean,SLA_m2.kg.sd,SLA_m2.kg.l,d13C.mean,d13C.sd,d13C.l,totalN.mean,totalN.sd,totalN.l,totalC.mean,totalC.sd,totalC.l
79,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus gracilis,"Avoid Point, SA",-34.69166667,135.3916667,0.0485,Arid,19.94583321,30.79999924,8.25,128,23,0,79.26377106,59,0,0,55,14.45833302,37.36003494,926.1539917,40,1.299999952,38.70000076,9.683333397,30.79999924,0.2638,-127.7362,Eucalyptus gracilis,eucalyptus gracilis,2,Lignotuber resprouter,7,Mallee,77.5,10.5,5.69625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1993,0,0,3,0,0,3,0,0,3,Eucalyptus dumosa,"Narrina Pound, SA",-30.925,138.8916667,0.0743,Arid,16.07083321,26.76666641,5.650000095,173,41,0,103.3945389,107,3,4,102,16.52499962,42.37179565,856.6278076,36.5,-2.5,39,6.783333302,25.75,0.2327,-172.7673,Eucalyptus dumosa,eucalyptus dumosa,6,Lignotuber resprouter,10,Mallee,84,16.5,9.702,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus dumosa,"Narrina Pound, SA",-30.925,138.8916667,0.0743,Arid,16.07083321,26.76666641,5.650000095,173,41,0,103.3945389,107,3,4,102,16.52499962,42.37179565,856.6278076,36.5,-2.5,39,6.783333302,25.75,0.2327,-172.7673,Eucalyptus dumosa,eucalyptus dumosa,6,Lignotuber resprouter,10,Mallee,84,16.5,9.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1993,0,0,3,0,0,3,0,0,3,Eucalyptus calcareana,"Nundroo, SA",-31.76805556,132.1966667,0.1232,Arid,17.70416641,22.28333282,12.39999962,263,31,10,28.67219353,88,42,42,87,13.47500038,56.14583206,404.4775391,29.60000038,5.599999905,24,13.23333359,22.18333435,0.2133,-262.7867,Eucalyptus calcareana,eucalyptus calcareana,10,Lignotuber resprouter,8,Tree,107.5,17.5,13.16875,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus calcareana,"Nundroo, SA",-31.76805556,132.1966667,0.1232,Arid,17.70416641,22.28333282,12.39999962,263,31,10,28.67219353,88,42,42,87,13.47500038,56.14583206,404.4775391,29.60000038,5.599999905,24,13.23333359,22.18333435,0.2133,-262.7867,Eucalyptus calcareana,eucalyptus calcareana,10,Lignotuber resprouter,8,Tree,107.5,17.5,13.16875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1993,0,0,2,0,0,2,0,0,2,Eucalyptus pimpiniana,"Ooldea Range, SA",-29.34972222,130.1938889,0.0635,Arid,19.25,25.36666679,12.5666666,175,21,9,21.62486839,53,31,52,35,15.01666641,51.42694092,518.6170044,34.29999924,5.099999905,29.19999886,25.01666641,13.88333321,0.2755,-174.7245,eucalyptus pimpiniana,eucalyptus pimpiniana,1.5,Lignotuber resprouter,2,Mallee,102.5,25,17.9375,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus pimpiniana,"Ooldea Range, SA",-29.34972222,130.1938889,0.0635,Arid,19.25,25.36666679,12.5666666,175,21,9,21.62486839,53,31,52,35,15.01666641,51.42694092,518.6170044,34.29999924,5.099999905,29.19999886,25.01666641,13.88333321,0.2755,-174.7245,eucalyptus pimpiniana,eucalyptus pimpiniana,1.5,Lignotuber resprouter,2,Mallee,102.5,25,17.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,1993,0,0,3,0,0,3,0,0,3,Eucalyptus wyolensis,"Oak Valley 1, SA",-29.33694444,130.2202778,0.0622,Arid,19.37916756,25.53333282,12.65000057,173,20,9,20.78223228,52,31,50,35,15.17500019,51.44068146,522.034729,34.59999847,5.099999905,29.49999809,23.01666641,13.98333359,0.2779,-172.7221,Eucalyptus wyolensis,eucalyptus wyolensis,8,Lignotuber resprouter,7,Mallee,75,45,23.625,3,2,0.113578167,3,0.733333333,0.005773503,3,29.955,2.879147964,3,3.172036978,0.204795009,3,-27.76,0.730205451,3,0.933333333,0.057735027,3,52.9,1.311487705,3
112,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucalyptus wyolensis,"Oak Valley 1, SA",-29.33694444,130.2202778,0.0622,Arid,19.37916756,25.53333282,12.65000057,173,20,9,20.78223228,52,31,50,35,15.17500019,51.44068146,522.034729,34.59999847,5.099999905,29.49999809,23.01666641,13.98333359,0.2779,-172.7221,Eucalyptus wyolensis,eucalyptus wyolensis,8,Lignotuber resprouter,7,Mallee,75,45,23.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1993,0,0,4,0,0,4,0,0,4,Eucalyptus socialis subsp. victoriensis,"Ooldea Range, SA",-29.36972222,130.0491667,0.0619,Arid,19.29999924,25.38333321,12.61666679,171,20,9,21.68085289,51,30,50,35,14.9333334,51.14154816,517.0765991,34.40000153,5.199999809,29.20000076,25.03333282,13.9333334,0.2758,-170.7242,Eucalyptus socialis subsp. victoriensis,NA,3.5,Lignotuber resprouter,7,Mallee,24.5,22.5,3.85875,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
