TaxonoriginalDN,Taxonsimplified_DN,Acceptedname_ALA,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,,,,,,,,,,,,,,,
Eucalyptus oleosa subsp. cylindroidea,Eucalyptus oleosa subsp. cylindroidea,Eucalyptus oleosa subsp. cylindroidea,Synonym of E. moluccana,Subspecies,D.Nicolle,1642,"Scaddan, WA",33,28,49,121,35,02,136,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus oleosa subsp. cylindroidea,Eucalyptus oleosa subsp. cylindroidea,Eucalyptus oleosa subsp. cylindroidea,Synonym of E. moluccana,Subspecies,D.Nicolle,1642,"Scaddan, WA",33,28,49,121,35,02,136,15,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus oleosa subsp. cylindroidea,Eucalyptus oleosa subsp. cylindroidea,Eucalyptus oleosa subsp. cylindroidea,Synonym of E. moluccana,Subspecies,D.Nicolle,1642,"Scaddan, WA",33,28,49,121,35,02,136,16,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus indurata,Eucalyptus indurata,Eucalyptus indurata,,Species ,D.Nicolle,165,"Scaddan, WA",33,28,55,121,34,56,13,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,,,,,,,,,,,,,,,
Eucalyptus indurata,Eucalyptus indurata,Eucalyptus indurata,,Species ,D.Nicolle,165,"Scaddan, WA",33,28,55,121,34,56,13,15,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,,,,,,,,,,,,,,,
Eucalyptus indurata,Eucalyptus indurata,Eucalyptus indurata,,Species ,D.Nicolle,165,"Scaddan, WA",33,28,55,121,34,56,13,12,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus indurata,Eucalyptus indurata,Eucalyptus indurata,,Species ,D.Nicolle,165,"Scaddan, WA",33,28,55,121,34,56,13,13,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus pyriformis,Eucalyptus pyriformis,Eucalyptus pyriformis,,Species ,D.Nicolle,1660,"Dowerin, WA",31,12,49,117,00,16,133,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus pyriformis,Eucalyptus pyriformis,Eucalyptus pyriformis,,Species ,D.Nicolle,1660,"Dowerin, WA",31,12,49,117,00,16,133,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus pyriformis,Eucalyptus pyriformis,Eucalyptus pyriformis,,Species ,D.Nicolle,1660,"Dowerin, WA",31,12,49,117,00,16,133,15,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus pyriformis,Eucalyptus pyriformis,Eucalyptus pyriformis,,Species ,D.Nicolle,1660,"Dowerin, WA",31,12,49,117,00,16,133,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus moderata,Eucalyptus moderata,Eucalyptus moderata,,Species ,D.Nicolle,1661,"Dowerin, WA",31,21,35,117,03,45,134,20,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus moderata,Eucalyptus moderata,Eucalyptus moderata,,Species ,D.Nicolle,1661,"Dowerin, WA",31,21,35,117,03,45,134,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus moderata,Eucalyptus moderata,Eucalyptus moderata,,Species ,D.Nicolle,1661,"Dowerin, WA",31,21,35,117,03,45,134,22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus moderata,Eucalyptus moderata,Eucalyptus moderata,,Species ,D.Nicolle,1661,"Dowerin, WA",31,21,35,117,03,45,134,23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Corymbia novoguinensis,Corymbia novoguinensis,Corymbia novoguinensis,,Species ,CSIRO,16616,"Derideri, PNG",08,44,,141,53,,80,20,Dead,,,,,,,,,,,,1999,,,,,,,,,,,,,,,
Corymbia novoguinensis,Corymbia novoguinensis,Corymbia novoguinensis,,Species ,CSIRO,16616,"Derideri, PNG",08,44,,141,53,,80,21,Dead,,,,,,,,,,,,1999,,,,,,,,,,,,,,,
Corymbia novoguinensis,Corymbia novoguinensis,Corymbia novoguinensis,,Species ,CSIRO,16616,"Derideri, PNG",08,44,,141,53,,80,22,Dead,,,,,,,,,,,,1999,,,,,,,,,,,,,,,
Corymbia novoguinensis,Corymbia novoguinensis,Corymbia novoguinensis,,Species ,CSIRO,16616,"Derideri, PNG",08,44,,141,53,,80,23,Dead,,,,,,,,,,,,1999,,,,,,,,,,,,,,,
Corymbia novoguinensis,Corymbia novoguinensis,Corymbia novoguinensis,,Species ,CSIRO,16616,"Derideri, PNG",08,44,,141,53,,80,24,Dead,,,,,,,,,,,,1999,,,,,,,,,,,,,,,
Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,,Subspecies,D.Nicolle,1662,"Williams, WA",33,04,16,116,59,15,138,32,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,,Subspecies,D.Nicolle,1662,"Williams, WA",33,04,16,116,59,15,138,33,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,,Subspecies,D.Nicolle,1662,"Williams, WA",33,04,16,116,59,15,138,34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,Eucalyptus redunca subsp. pluricaulis,,Subspecies,D.Nicolle,1662,"Williams, WA",33,04,16,116,59,15,138,35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita,,Subspecies,D.Nicolle,1669,"West Cape Howe, WA",35,06,22,117,37,51,143,5,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita,,Subspecies,D.Nicolle,1669,"West Cape Howe, WA",35,06,22,117,37,51,143,8,Alive,None evident,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita,,Subspecies,D.Nicolle,1669,"West Cape Howe, WA",35,06,22,117,37,51,143,7,Alive,Slight,None evident,?,None evident,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita,Eucalyptus calcicola subsp. unita,,Subspecies,D.Nicolle,1669,"West Cape Howe, WA",35,06,22,117,37,51,143,6,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus varia (subsp. salsuginosa),Eucalyptus varia,Eucalyptus varia,,Species ,D.Nicolle,167,"Condingup, WA",33,44,54,122,09,22,17,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,,,,,,,,,,,,,,,
Eucalyptus varia (subsp. salsuginosa),Eucalyptus varia,Eucalyptus varia,,Species ,D.Nicolle,167,"Condingup, WA",33,44,54,122,09,22,17,18,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,,,,,,,,,,,,,,,
Eucalyptus varia (subsp. salsuginosa),Eucalyptus varia,Eucalyptus varia,,Species ,D.Nicolle,167,"Condingup, WA",33,44,54,122,09,22,17,17,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus varia (subsp. salsuginosa),Eucalyptus varia,Eucalyptus varia,,Species ,D.Nicolle,167,"Condingup, WA",33,44,54,122,09,22,17,19,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,,Subspecies,D.Nicolle,1674,"Boranup, WA",34,09,31,115,02,27,145,26,Alive,Moderate,Moderate,?,None evident,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,,Subspecies,D.Nicolle,1674,"Boranup, WA",34,09,31,115,02,27,145,28,Alive,Moderate,Slight,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,,Subspecies,D.Nicolle,1674,"Boranup, WA",34,09,31,115,02,27,145,25,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,Eucalyptus calcicola subsp. calcicola,,Subspecies,D.Nicolle,1674,"Boranup, WA",34,09,31,115,02,27,145,27,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus albens,Eucalyptus albens,Eucalyptus albens,,Species ,D.Nicolle,1676,"Melrose, SA",32,55,03,138,09,32,133,8,Alive,Dead,,,,,,,2 - 3 years,None evident,,,1997,,,,,,,,,,,,,,,
Eucalyptus albens,Eucalyptus albens,Eucalyptus albens,,Species ,D.Nicolle,1676,"Melrose, SA",32,55,03,138,09,32,133,5,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus albens,Eucalyptus albens,Eucalyptus albens,,Species ,D.Nicolle,1676,"Melrose, SA",32,55,03,138,09,32,133,6,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus albens,Eucalyptus albens,Eucalyptus albens,,Species ,D.Nicolle,1676,"Melrose, SA",32,55,03,138,09,32,133,7,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus cooperiana,Eucalyptus cooperiana,Eucalyptus cooperiana,,Species ,D.Nicolle,168,"Condingup, WA",33,44,08,122,17,28,23,17,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,,,,,,,,,,,,,,,
Eucalyptus cooperiana,Eucalyptus cooperiana,Eucalyptus cooperiana,,Species ,D.Nicolle,168,"Condingup, WA",33,44,08,122,17,28,23,18,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1993,,,,,,,,,,,,,,,
Eucalyptus cooperiana,Eucalyptus cooperiana,Eucalyptus cooperiana,,Species ,D.Nicolle,168,"Condingup, WA",33,44,08,122,17,28,23,19,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus cooperiana,Eucalyptus cooperiana,Eucalyptus cooperiana,,Species ,D.Nicolle,168,"Condingup, WA",33,44,08,122,17,28,23,20,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus cladocalyx x E. peninsularis,Eucalyptus cladocalyx x E. peninsularis,,,Hybrid,D.Nicolle,1683,"Cummins, SA",34,16,58,135,45,52,136,17,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus cladocalyx x E. peninsularis,Eucalyptus cladocalyx x E. peninsularis,,,Hybrid,D.Nicolle,1683,"Cummins, SA",34,16,58,135,45,52,136,19,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus cladocalyx x E. peninsularis,Eucalyptus cladocalyx x E. peninsularis,,,Hybrid,D.Nicolle,1683,"Cummins, SA",34,16,58,135,45,52,136,20,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus cretata,Eucalyptus cretata,Eucalyptus cretata,,Species ,D.Nicolle,1689,"Darke Peak, SA",33,27,11,136,13,28,133,25,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus cretata,Eucalyptus cretata,Eucalyptus cretata,,Species ,D.Nicolle,1689,"Darke Peak, SA",33,27,11,136,13,28,133,26,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus cretata,Eucalyptus cretata,Eucalyptus cretata,,Species ,D.Nicolle,1689,"Darke Peak, SA",33,27,11,136,13,28,133,27,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus cretata,Eucalyptus cretata,Eucalyptus cretata,,Species ,D.Nicolle,1689,"Darke Peak, SA",33,27,11,136,13,28,133,28,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus x balanopelex (E. kessellii x E. semiglobosa),Eucalyptus x balanopelex,,,Hybrid,D.Nicolle,169,"Condingup, WA",33,44,08,122,17,28,23,5,Alive,Slight,None evident,?,None evident,,,,,None evident,Flowered,Flowered,1993,,,,,,,,,,,,,,,
Eucalyptus x balanopelex (E. kessellii x E. semiglobosa),Eucalyptus x balanopelex,,,Hybrid,D.Nicolle,169,"Condingup, WA",33,44,08,122,17,28,23,6,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus x balanopelex (E. kessellii x E. semiglobosa),Eucalyptus x balanopelex,,,Hybrid,D.Nicolle,169,"Condingup, WA",33,44,08,122,17,28,23,7,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus x balanopelex (E. kessellii x E. semiglobosa),Eucalyptus x balanopelex,,,Hybrid,D.Nicolle,169,"Condingup, WA",33,44,08,122,17,28,23,8,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus cajuputea,Eucalyptus cajuputea,Eucalyptus cajuputea,,Species ,D.Nicolle,1691,"Iron Dutchess, SA",33,14,,137,07,,135,25,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus cajuputea,Eucalyptus cajuputea,Eucalyptus cajuputea,,Species ,D.Nicolle,1691,"Iron Dutchess, SA",33,14,,137,07,,135,26,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus cajuputea,Eucalyptus cajuputea,Eucalyptus cajuputea,,Species ,D.Nicolle,1691,"Iron Dutchess, SA",33,14,,137,07,,135,27,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus cajuputea,Eucalyptus cajuputea,Eucalyptus cajuputea,,Species ,D.Nicolle,1691,"Iron Dutchess, SA",33,14,,137,07,,135,28,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,,Species ,D.Nicolle,170,"Condingup, WA",33,44,20,122,17,28,72,9,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,,Species ,D.Nicolle,170,"Condingup, WA",33,44,20,122,17,28,72,10,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,,Species ,D.Nicolle,170,"Condingup, WA",33,44,20,122,17,28,72,11,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus occidentalis,Eucalyptus occidentalis,Eucalyptus occidentalis,,Species ,D.Nicolle,170,"Condingup, WA",33,44,20,122,17,28,72,8,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1995,,,,,,,,,,,,,,,
Eucalyptus gillenii,Eucalyptus gillenii,Eucalyptus gillenii,,Species ,D.Nicolle,1703,"Birksgate Range, SA",27,02,20,129,52,29,135,11,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus gillenii,Eucalyptus gillenii,Eucalyptus gillenii,,Species ,D.Nicolle,1703,"Birksgate Range, SA",27,02,20,129,52,29,135,12,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus gillenii,Eucalyptus gillenii,Eucalyptus gillenii,,Species ,D.Nicolle,1703,"Birksgate Range, SA",27,02,20,129,52,29,135,13,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus gillenii,Eucalyptus gillenii,Eucalyptus gillenii,,Species ,D.Nicolle,1703,"Birksgate Range, SA",27,02,20,129,52,29,135,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus oxymitra,Eucalyptus oxymitra,Eucalyptus oxymitra,,Species,D.Nicolle,1704,"Birksgate Range, SA",27,27,41,129,53,12,135,8,Alive,None evident,None evident,?,,,,,,None evident,,,1997,,,,,,,,,,,,,,,
Eucalyptus oxymitra,Eucalyptus oxymitra,Eucalyptus oxymitra,,Species,D.Nicolle,1704,"Birksgate Range, SA",27,27,41,129,53,12,135,9,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus oxymitra,Eucalyptus oxymitra,Eucalyptus oxymitra,,Species,D.Nicolle,1704,"Birksgate Range, SA",27,27,41,129,53,12,135,10,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Corymbia eremaea subsp. eremaea,Corymbia eremaea subsp. eremaea,Corymbia eremaea subsp. eremaea,,Subspecies,D.Nicolle,1708,"Iltur outstation, SA",27,27,58,130,29,39,135,17,Alive,None evident,None evident,?,,,,,,None evident,,,1997,,,,,,,,,,,,,,,
Corymbia eremaea subsp. eremaea,Corymbia eremaea subsp. eremaea,Corymbia eremaea subsp. eremaea,,Subspecies,D.Nicolle,1708,"Iltur outstation, SA",27,27,58,130,29,39,135,15,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Corymbia eremaea subsp. eremaea,Corymbia eremaea subsp. eremaea,Corymbia eremaea subsp. eremaea,,Subspecies,D.Nicolle,1708,"Iltur outstation, SA",27,27,58,130,29,39,135,16,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus gillii,Eucalyptus gillii,Eucalyptus gillii,,Species ,D.Nicolle,1715,"Gammon Ranges, SA",30,36,03,139,03,31,135,18,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus gillii,Eucalyptus gillii,Eucalyptus gillii,,Species ,D.Nicolle,1715,"Gammon Ranges, SA",30,36,03,139,03,31,135,19,Alive,None evident,None evident,?,,,,,,None evident,,,1997,,,,,,,,,,,,,,,
Eucalyptus gillii,Eucalyptus gillii,Eucalyptus gillii,,Species ,D.Nicolle,1715,"Gammon Ranges, SA",30,36,03,139,03,31,135,20,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus gillii,Eucalyptus gillii,Eucalyptus gillii,,Species ,D.Nicolle,1715,"Gammon Ranges, SA",30,36,03,139,03,31,135,21,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus fasciculosa,Eucalyptus fasciculosa,Eucalyptus fasciculosa,,Species ,D.Nicolle,1716,"Salt Creek, SA",36,16,54,139,43,55,137,19,Alive,None evident,None evident,?,,,,,,Severe,,,1997,,,,,,,,,,,,,,,
Eucalyptus fasciculosa,Eucalyptus fasciculosa,Eucalyptus fasciculosa,,Species ,D.Nicolle,1716,"Salt Creek, SA",36,16,54,139,43,55,137,21,Alive,None evident,None evident,?,,,,,,Slight,,,1997,,,,,,,,,,,,,,,
Eucalyptus fasciculosa,Eucalyptus fasciculosa,Eucalyptus fasciculosa,,Species ,D.Nicolle,1716,"Salt Creek, SA",36,16,54,139,43,55,137,22,Alive,Severe,Severe,?,Scattered,Basal only,6 - 9 months,None evident,,Severe,,,1997,,,,,,,,,,,,,,,
Eucalyptus fasciculosa,Eucalyptus fasciculosa,Eucalyptus fasciculosa,,Species ,D.Nicolle,1716,"Salt Creek, SA",36,16,54,139,43,55,137,20,Alive,Slight,None evident,?,None evident,,,,,Moderate,,,1997,,,,,,,,,,,,,,,
Eucalyptus ovata subsp. ovata,Eucalyptus ovata subsp. ovata,Eucalyptus ovata subsp. ovata,,Subspecies,D.Nicolle,1717,"Port Macdonnell, SA",38,03,,140,41,,145,16,Alive,Severe,Moderate,?,None evident,,,,,Severe,,,1997,,,,,,,,,,,,,,,
Eucalyptus ovata subsp. ovata,Eucalyptus ovata subsp. ovata,Eucalyptus ovata subsp. ovata,,Subspecies,D.Nicolle,1717,"Port Macdonnell, SA",38,03,,140,41,,145,15,Alive,Severe,Severe,?,Extensive,Basal + trunk + primary branches,3 - 9 months,None evident,,Severe,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus ovata subsp. ovata,Eucalyptus ovata subsp. ovata,Eucalyptus ovata subsp. ovata,,Subspecies,D.Nicolle,1717,"Port Macdonnell, SA",38,03,,140,41,,145,13,Alive,Severe,Severe,?,Moderate,Basal only,3 - 9 months,None evident,,Severe,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus ovata subsp. ovata,Eucalyptus ovata subsp. ovata,Eucalyptus ovata subsp. ovata,,Subspecies,D.Nicolle,1717,"Port Macdonnell, SA",38,03,,140,41,,145,14,Alive,Severe,Severe,?,Extensive,Basal only,3 - 9 months,None evident,,Severe,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus micranthera,Eucalyptus micranthera,Eucalyptus micranthera,,Species ,D.Nicolle,172,"Condingup, WA",33,48,50,122,28,45,18,34,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,,,,,,,,,,,,,,,
Eucalyptus micranthera,Eucalyptus micranthera,Eucalyptus micranthera,,Species ,D.Nicolle,172,"Condingup, WA",33,48,50,122,28,45,18,32,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus micranthera,Eucalyptus micranthera,Eucalyptus micranthera,,Species ,D.Nicolle,172,"Condingup, WA",33,48,50,122,28,45,18,33,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus micranthera,Eucalyptus micranthera,Eucalyptus micranthera,,Species ,D.Nicolle,172,"Condingup, WA",33,48,50,122,28,45,18,35,Dead,,,,,,,,,,,,1993,,,,,,,,,,,,,,,
Eucalyptus kitsoniana,Eucalyptus kitsoniana,Eucalyptus kitsoniana,,Species ,D.Nicolle,1720,"Portland, Vic",38,14,19,141,26,32,132,31,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus kitsoniana,Eucalyptus kitsoniana,Eucalyptus kitsoniana,,Species ,D.Nicolle,1720,"Portland, Vic",38,14,19,141,26,32,132,32,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus kitsoniana,Eucalyptus kitsoniana,Eucalyptus kitsoniana,,Species ,D.Nicolle,1720,"Portland, Vic",38,14,19,141,26,32,132,34,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus kitsoniana x E. ovata subsp. grandiflora,Eucalyptus kitsoniana x E. ovata subsp. grandiflora,,,Hybrid,D.Nicolle,1720,"Portland, Vic",38,14,19,141,26,32,132,33,Alive,Dead,,,,,,,1 - 2 years,None evident,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus splendens,Eucalyptus splendens,Eucalyptus splendens,,Species ,D.Nicolle,1722,"Portland, Vic",38,14,07,141,27,14,140,9,Dead,,,,,,,,,Died in 2006,,,1997,,,,,,,,,,,,,,,
Eucalyptus splendens,Eucalyptus splendens,Eucalyptus splendens,,Species ,D.Nicolle,1722,"Portland, Vic",38,14,07,141,27,14,140,10,Dead,,,,,,,,,Died in 2006,,,1997,,,,,,,,,,,,,,,
Eucalyptus splendens,Eucalyptus splendens,Eucalyptus splendens,,Species ,D.Nicolle,1722,"Portland, Vic",38,14,07,141,27,14,140,11,Dead,,,,,,,,,Died in 2006,,,1997,,,,,,,,,,,,,,,
Eucalyptus splendens,Eucalyptus splendens,Eucalyptus splendens,,Species ,D.Nicolle,1722,"Portland, Vic",38,14,07,141,27,14,140,12,Dead,,,,,,,,,Died in 2006,,,1997,,,,,,,,,,,,,,,
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,,Subspecies,D.Nicolle,1724,"Lavers Hill, Vic",38,44,28,143,15,09,146,21,Dead,,,,,,,,,Died in 2006,,,1997,,,,,,,,,,,,,,,
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,,Subspecies,D.Nicolle,1724,"Lavers Hill, Vic",38,44,28,143,15,09,146,22,Dead,,,,,,,,,,,,1997,,,,,,,,,,,,,,,
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,,Subspecies,D.Nicolle,1724,"Lavers Hill, Vic",38,44,28,143,15,09,146,23,Dead,,,,,,,,,Died in 2006,,,1997,,,,,,,,,,,,,,,
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,,Subspecies,D.Nicolle,1724,"Lavers Hill, Vic",38,44,28,143,15,09,146,24,Dead,,,,,,,,,Died in 2006,,,1997,,,,,,,,,,,,,,,
Eucalyptus strzeleckii,Eucalyptus strzeleckii,Eucalyptus strzeleckii,,Species ,D.Nicolle,1725,"Gellibrand Lower, Vic",38,44,09,143,15,05,142,5,Alive,Dead,,,,,,,6 - 12 months,Severe,,,1997,,,,,,,,,,,,,,,
Eucalyptus strzeleckii,Eucalyptus strzeleckii,Eucalyptus strzeleckii,,Species ,D.Nicolle,1725,"Gellibrand Lower, Vic",38,44,09,143,15,05,142,8,Alive,Moderate,Severe,?,Extensive,Trunk + primary & tertiary branches,3 - 6 months,Slight,,Severe,Flowered,Flowered,1997,,,,,,,,,,,,,,,
Eucalyptus strzeleckii,Eucalyptus strzeleckii,Eucalyptus strzeleckii,,Species ,D.Nicolle,1725,"Gellibrand Lower, Vic",38,44,09,143,15,05,142,6,Dead,,,,,,,,,Died in 2006,,,1997,,,,,,,,,,,,,,,
