TaxonoriginalDN,taxonsimplified_dn,Taxonsimplified_DN,Acceptedname_ALA,acceptedname_ala,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,RowTree
Eucalyptus cornuta ,eucalyptus cornuta,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus cornuta,,Species ,D.Nicolle,4608,"Observatory Island, WA",33,55,23,121,47,45,268,5,Dead,,,,,,,,,,,,2004,R268/T05
Eucalyptus cornuta ,eucalyptus cornuta,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus cornuta,,Species ,D.Nicolle,4608,"Observatory Island, WA",33,55,23,121,47,45,268,6,Dead,,,,,,,,,,,,2004,R268/T06
Eucalyptus cornuta ,eucalyptus cornuta,Eucalyptus cornuta,Eucalyptus cornuta,eucalyptus cornuta,,Species ,D.Nicolle,4608,"Observatory Island, WA",33,55,23,121,47,45,268,7,Dead,,,,,,,,,,,,2004,R268/T07
Eucalyptus conferruminata subsp. recherche ,eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata subsp. recherche,eucalyptus conferruminata subsp. recherche,,Subspecies,D.Nicolle,4611,"Woody Island, WA",33,58,1,122,0,37,267,2,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2004,R267/T02
Eucalyptus conferruminata subsp. recherche ,eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata subsp. recherche,Eucalyptus conferruminata subsp. recherche,eucalyptus conferruminata subsp. recherche,,Subspecies,D.Nicolle,4611,"Woody Island, WA",33,58,1,122,0,37,267,3,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2004,R267/T03
Eucalyptus insulana,eucalyptus insulana,Eucalyptus insulana,Eucalyptus exserta,eucalyptus exserta,,Species ,D.Nicolle,5144,"White Mountains, Qld",20,40,26,145,14,27,302,1,Alive,None evident,None evident,?,,,,,,Not applicable,,,2010,R302/T01
Eucalyptus insulana,eucalyptus insulana,Eucalyptus insulana,Eucalyptus exserta,eucalyptus exserta,,Species ,D.Nicolle,5144,"White Mountains, Qld",20,40,26,145,14,27,302,2,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2010,R302/T02
Eucalyptus insulana,eucalyptus insulana,Eucalyptus insulana,Eucalyptus exserta,eucalyptus exserta,,Species ,D.Nicolle,5144,"White Mountains, Qld",20,40,26,145,14,27,302,3,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2010,R302/T03
Eucalyptus insulana,eucalyptus insulana,Eucalyptus insulana,Eucalyptus exserta,eucalyptus exserta,,Species ,D.Nicolle,5144,"White Mountains, Qld",20,40,26,145,14,27,302,4,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2010,R302/T04
Eucalyptus sp. 'Southern wheatbelt' (aff. leptocalyx),eucalyptus sp. southern wheatbelt,Eucalyptus sp. Southern wheatbelt,Eucalyptus leptocalyx,eucalyptus leptocalyx,,Species,D.Nicolle,5507,"Lake Magenta, WA",33,35,37,119,23,54,314,6,Alive,None evident,None evident,?,,,,,,Not applicable,Flowered,Flowered,2011,R314/T06
