TaxonoriginalDN,taxonsimplified_dn,Taxonsimplified_DN,Acceptedname_ALA,acceptedname_ala,Note Gbif,Taxonresolution_ALA,Collector,UniqueID,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2020,Recovery2019-2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath(June2019),Drought2006,MaturityMar2020,Maturity at June 2019,Yearplanted,RowTree
Eucalyptus caleyi subsp. caleyi - subsp. ovendenii intergrade,eucalyptus caleyi subsp. caleyi - subsp. ovendenii intergrade,Eucalyptus caleyi subsp. caleyi - subsp. ovendenii intergrade,,,,Intergrade,D.Nicolle,2102,"Tenterfield, NSW",29,7,6,151,39,15,83,24,Dead,,,,,,,,,,,,1998,R083/T24
Eucalyptus caleyi subsp. caleyi - subsp. ovendenii intergrade,eucalyptus caleyi subsp. caleyi - subsp. ovendenii intergrade,Eucalyptus caleyi subsp. caleyi - subsp. ovendenii intergrade,,,,Intergrade,D.Nicolle,2102,"Tenterfield, NSW",29,7,6,151,39,15,83,26,Dead,,,,,,,,,,,,1998,R083/T26
Angophora leiocarpa,angophora leiocarpa,Angophora leiocarpa,Angophora leiocarpa,angophora leiocarpa,,Species ,D.Nicolle,2103,"Karara, Qld",28,9,9,151,33,20,84,6,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R084/T06
Angophora leiocarpa,angophora leiocarpa,Angophora leiocarpa,Angophora leiocarpa,angophora leiocarpa,,Species ,D.Nicolle,2103,"Karara, Qld",28,9,9,151,33,20,84,7,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R084/T07
Angophora leiocarpa,angophora leiocarpa,Angophora leiocarpa,Angophora leiocarpa,angophora leiocarpa,,Species ,D.Nicolle,2103,"Karara, Qld",28,9,9,151,33,20,84,5,Alive,Slight,None evident,?,None evident,,,,,None evident,,,1998,R084/T05
Angophora leiocarpa,angophora leiocarpa,Angophora leiocarpa,Angophora leiocarpa,angophora leiocarpa,,Species ,D.Nicolle,2103,"Karara, Qld",28,9,9,151,33,20,84,8,Alive,Slight,None evident,?,None evident,,,,,None evident,,,1998,R084/T08
Eucalyptus rhombica,eucalyptus rhombica,Eucalyptus rhombica,Eucalyptus rhombica,eucalyptus rhombica,,Species ,D.Nicolle,2104,"Karara, Qld",28,7,43,151,30,56,150,1,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R150/T01
Eucalyptus rhombica,eucalyptus rhombica,Eucalyptus rhombica,Eucalyptus rhombica,eucalyptus rhombica,,Species ,D.Nicolle,2104,"Karara, Qld",28,7,43,151,30,56,150,3,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R150/T03
Eucalyptus rhombica,eucalyptus rhombica,Eucalyptus rhombica,Eucalyptus rhombica,eucalyptus rhombica,,Species ,D.Nicolle,2104,"Karara, Qld",28,7,43,151,30,56,150,4,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R150/T04
Eucalyptus taurina,eucalyptus taurina,Eucalyptus taurina,Eucalyptus taurina,eucalyptus taurina,,Species ,D.Nicolle,2106,"Helidon Hills, Qld",27,31,36,152,9,22,151,18,Alive,Moderate,Slight,?,Moderate,Tertiary branches,3 - 6 months,Slight,,Slight,Flowered,Flowered,1998,R151/T18
Eucalyptus taurina,eucalyptus taurina,Eucalyptus taurina,Eucalyptus taurina,eucalyptus taurina,,Species ,D.Nicolle,2106,"Helidon Hills, Qld",27,31,36,152,9,22,151,20,Alive,Slight,Slight,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1998,R151/T20
Eucalyptus taurina,eucalyptus taurina,Eucalyptus taurina,Eucalyptus taurina,eucalyptus taurina,,Species ,D.Nicolle,2106,"Helidon Hills, Qld",27,31,36,152,9,22,151,19,Alive,Slight,Slight,?,Moderate,Tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1998,R151/T19
Eucalyptus taurina,eucalyptus taurina,Eucalyptus taurina,Eucalyptus taurina,eucalyptus taurina,,Species ,D.Nicolle,2106,"Helidon Hills, Qld",27,31,36,152,9,22,151,17,Dead,,,,,,,,,,,,1998,R151/T17
Eucalyptus major,eucalyptus major,Eucalyptus major,Eucalyptus major,eucalyptus major,,Species ,D.Nicolle,2107,"Helidon Hills, Qld",27,31,7,152,9,39,151,9,Alive,Slight,Slight,?,None evident,,,,,None evident,,,1998,R151/T09
Eucalyptus major,eucalyptus major,Eucalyptus major,Eucalyptus major,eucalyptus major,,Species ,D.Nicolle,2107,"Helidon Hills, Qld",27,31,7,152,9,39,151,10,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1998,R151/T10
Eucalyptus major,eucalyptus major,Eucalyptus major,Eucalyptus major,eucalyptus major,,Species ,D.Nicolle,2107,"Helidon Hills, Qld",27,31,7,152,9,39,151,11,Dead,,,,,,,,,,,,1998,R151/T11
Eucalyptus major,eucalyptus major,Eucalyptus major,Eucalyptus major,eucalyptus major,,Species ,D.Nicolle,2107,"Helidon Hills, Qld",27,31,7,152,9,39,151,12,Dead,,,,,,,,,,,,1998,R151/T12
Eucalyptus curtisii,eucalyptus curtisii,Eucalyptus curtisii,Eucalyptus curtisii,eucalyptus curtisii,,Species ,D.Nicolle,2108,"Beerwah, Qld",26,51,52,152,59,6,159,9,Alive,Slight,Slight,?,None evident,,,,,None evident,,,1998,R159/T09
Eucalyptus curtisii,eucalyptus curtisii,Eucalyptus curtisii,Eucalyptus curtisii,eucalyptus curtisii,,Species ,D.Nicolle,2108,"Beerwah, Qld",26,51,52,152,59,6,159,12,Alive,Slight,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1998,R159/T12
Eucalyptus curtisii,eucalyptus curtisii,Eucalyptus curtisii,Eucalyptus curtisii,eucalyptus curtisii,,Species ,D.Nicolle,2108,"Beerwah, Qld",26,51,52,152,59,6,159,10,Dead,,,,,,,,,,,,1998,R159/T10
Eucalyptus curtisii,eucalyptus curtisii,Eucalyptus curtisii,Eucalyptus curtisii,eucalyptus curtisii,,Species ,D.Nicolle,2108,"Beerwah, Qld",26,51,52,152,59,6,159,11,Dead,,,,,,,,,,,,1998,R159/T11
Eucalyptus tindaliae (curta variant),eucalyptus tindaliae,Eucalyptus tindaliae,Eucalyptus tindaliae,eucalyptus tindaliae,,Species ,D.Nicolle,2109,"Mt Tibrogargan, Qld",26,55,35,152,56,23,159,30,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R159/T30
Eucalyptus tindaliae (curta variant),eucalyptus tindaliae,Eucalyptus tindaliae,Eucalyptus tindaliae,eucalyptus tindaliae,,Species ,D.Nicolle,2109,"Mt Tibrogargan, Qld",26,55,35,152,56,23,159,31,Dead,,,,,,,,,,,,1998,R159/T31
Eucalyptus tindaliae (curta variant),eucalyptus tindaliae,Eucalyptus tindaliae,Eucalyptus tindaliae,eucalyptus tindaliae,,Species ,D.Nicolle,2109,"Mt Tibrogargan, Qld",26,55,35,152,56,23,159,32,Dead,,,,,,,,,,,,1998,R159/T32
Eucalyptus tindaliae (curta variant),eucalyptus tindaliae,Eucalyptus tindaliae,Eucalyptus tindaliae,eucalyptus tindaliae,,Species ,D.Nicolle,2109,"Mt Tibrogargan, Qld",26,55,35,152,56,23,159,33,Dead,,,,,,,,,,,,1998,R159/T33
Eucalyptus melanophitra,eucalyptus melanophitra,Eucalyptus melanophitra,Eucalyptus melanophitra,eucalyptus melanophitra,,Species ,D.Nicolle,211,"Pallinup River, WA",34,20,2,118,40,13,15,6,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R015/T06
Eucalyptus melanophitra,eucalyptus melanophitra,Eucalyptus melanophitra,Eucalyptus melanophitra,eucalyptus melanophitra,,Species ,D.Nicolle,211,"Pallinup River, WA",34,20,2,118,40,13,15,7,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R015/T07
Eucalyptus melanophitra,eucalyptus melanophitra,Eucalyptus melanophitra,Eucalyptus melanophitra,eucalyptus melanophitra,,Species ,D.Nicolle,211,"Pallinup River, WA",34,20,2,118,40,13,15,5,Dead,,,,,,,,,,,,1993,R015/T05
Eucalyptus melanophitra,eucalyptus melanophitra,Eucalyptus melanophitra,Eucalyptus melanophitra,eucalyptus melanophitra,,Species ,D.Nicolle,211,"Pallinup River, WA",34,20,2,118,40,13,15,8,Dead,,,,,,,,,,,,1993,R015/T08
Corymbia trachyphloia subsp. trachyphloia,corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,corymbia trachyphloia subsp. trachyphloia,,Subspecies,D.Nicolle,2110,"Mt Tibrogargan, Qld",26,55,35,152,56,23,159,18,Alive,Severe,Severe,?,Extensive,"Primary, secondary & tertiary branches",3 - 6 months,Moderate,,None evident,Budded,Budded,1998,R159/T18
Corymbia trachyphloia subsp. trachyphloia,corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,corymbia trachyphloia subsp. trachyphloia,,Subspecies,D.Nicolle,2110,"Mt Tibrogargan, Qld",26,55,35,152,56,23,159,19,Dead,,,,,,,,,,,,1998,R159/T19
Corymbia trachyphloia subsp. trachyphloia,corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,corymbia trachyphloia subsp. trachyphloia,,Subspecies,D.Nicolle,2110,"Mt Tibrogargan, Qld",26,55,35,152,56,23,159,20,Dead,,,,,,,,,,,,1998,R159/T20
Corymbia trachyphloia subsp. trachyphloia,corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,Corymbia trachyphloia subsp. trachyphloia,corymbia trachyphloia subsp. trachyphloia,,Subspecies,D.Nicolle,2110,"Mt Tibrogargan, Qld",26,55,35,152,56,23,159,21,Dead,,,,,,,,,,,,1998,R159/T21
Eucalyptus melanoleuca,eucalyptus melanoleuca,Eucalyptus melanoleuca,Eucalyptus melanoleuca,eucalyptus melanoleuca,,Species ,D.Nicolle,2111,"Yarraman, Qld",26,47,12,151,57,27,151,22,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R151/T22
Eucalyptus melanoleuca,eucalyptus melanoleuca,Eucalyptus melanoleuca,Eucalyptus melanoleuca,eucalyptus melanoleuca,,Species ,D.Nicolle,2111,"Yarraman, Qld",26,47,12,151,57,27,151,23,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R151/T23
Eucalyptus melanoleuca,eucalyptus melanoleuca,Eucalyptus melanoleuca,Eucalyptus melanoleuca,eucalyptus melanoleuca,,Species ,D.Nicolle,2111,"Yarraman, Qld",26,47,12,151,57,27,151,24,Alive,Slight,None evident,?,None evident,,,,,None evident,Flowered,Flowered,1998,R151/T24
Eucalyptus melanoleuca,eucalyptus melanoleuca,Eucalyptus melanoleuca,Eucalyptus melanoleuca,eucalyptus melanoleuca,,Species ,D.Nicolle,2111,"Yarraman, Qld",26,47,12,151,57,27,151,21,Alive,Slight,Slight,?,None evident,,,,,None evident,,,1998,R151/T21
Eucalyptus longirostrata,eucalyptus longirostrata,Eucalyptus longirostrata,Eucalyptus longirostrata,eucalyptus longirostrata,,Species ,D.Nicolle,2112,"Cracow, Qld",25,26,46,150,18,32,83,12,Alive,Moderate,Slight,?,Scattered,Tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1998,R083/T12
Eucalyptus longirostrata,eucalyptus longirostrata,Eucalyptus longirostrata,Eucalyptus longirostrata,eucalyptus longirostrata,,Species ,D.Nicolle,2112,"Cracow, Qld",25,26,46,150,18,32,83,13,Alive,Moderate,Slight,?,Extensive,Tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1998,R083/T13
Eucalyptus longirostrata,eucalyptus longirostrata,Eucalyptus longirostrata,Eucalyptus longirostrata,eucalyptus longirostrata,,Species ,D.Nicolle,2112,"Cracow, Qld",25,26,46,150,18,32,83,15,Alive,Moderate,Slight,?,Scattered,Tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1998,R083/T15
Eucalyptus longirostrata,eucalyptus longirostrata,Eucalyptus longirostrata,Eucalyptus longirostrata,eucalyptus longirostrata,,Species ,D.Nicolle,2112,"Cracow, Qld",25,26,46,150,18,32,83,14,Alive,Slight,Slight,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1998,R083/T14
Eucalyptus rubiginosa,eucalyptus rubiginosa,Eucalyptus rubiginosa,Eucalyptus rubiginosa,eucalyptus rubiginosa,,Species ,D.Nicolle,2114,"Isla Gorge, Qld",25,11,30,149,58,22,84,12,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R084/T12
Eucalyptus rubiginosa,eucalyptus rubiginosa,Eucalyptus rubiginosa,Eucalyptus rubiginosa,eucalyptus rubiginosa,,Species ,D.Nicolle,2114,"Isla Gorge, Qld",25,11,30,149,58,22,84,11,Alive,None evident,Slight,?,None evident,,,,,None evident,,,1998,R084/T11
Eucalyptus rubiginosa,eucalyptus rubiginosa,Eucalyptus rubiginosa,Eucalyptus rubiginosa,eucalyptus rubiginosa,,Species ,D.Nicolle,2114,"Isla Gorge, Qld",25,11,30,149,58,22,84,9,Dead,,,,,,,,,,,,1998,R084/T09
Eucalyptus rubiginosa,eucalyptus rubiginosa,Eucalyptus rubiginosa,Eucalyptus rubiginosa,eucalyptus rubiginosa,,Species ,D.Nicolle,2114,"Isla Gorge, Qld",25,11,30,149,58,22,84,10,Dead,,,,,,,,,,,,1998,R084/T10
Eucalyptus mediocris,eucalyptus mediocris,Eucalyptus mediocris,Eucalyptus mediocris,eucalyptus mediocris,,Species ,D.Nicolle,2115,"Carnarvon Range, Qld",25,11,59,147,56,10,161,9,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R161/T09
Eucalyptus mediocris,eucalyptus mediocris,Eucalyptus mediocris,Eucalyptus mediocris,eucalyptus mediocris,,Species ,D.Nicolle,2115,"Carnarvon Range, Qld",25,11,59,147,56,10,161,10,Alive,Slight,Slight,?,None evident,,,,,None evident,,,1998,R161/T10
Eucalyptus mediocris,eucalyptus mediocris,Eucalyptus mediocris,Eucalyptus mediocris,eucalyptus mediocris,,Species ,D.Nicolle,2115,"Carnarvon Range, Qld",25,11,59,147,56,10,161,11,Dead,,,,,,,,,,,,1998,R161/T11
Eucalyptus virens,eucalyptus virens,Eucalyptus virens,Eucalyptus virens,eucalyptus virens,,Species ,D.Nicolle,2116,"Maranoa River, Qld",25,11,59,147,56,10,150,9,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R150/T09
Eucalyptus virens,eucalyptus virens,Eucalyptus virens,Eucalyptus virens,eucalyptus virens,,Species ,D.Nicolle,2116,"Maranoa River, Qld",25,11,59,147,56,10,150,10,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R150/T10
Eucalyptus virens,eucalyptus virens,Eucalyptus virens,Eucalyptus virens,eucalyptus virens,,Species ,D.Nicolle,2116,"Maranoa River, Qld",25,11,59,147,56,10,150,11,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R150/T11
Eucalyptus virens,eucalyptus virens,Eucalyptus virens,Eucalyptus virens,eucalyptus virens,,Species ,D.Nicolle,2116,"Maranoa River, Qld",25,11,59,147,56,10,150,12,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R150/T12
Eucalyptus panda,eucalyptus panda,Eucalyptus panda,Eucalyptus panda,eucalyptus panda,,Species ,D.Nicolle,2117,"Maranoa River, Qld",25,11,59,147,56,10,150,25,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R150/T25
Eucalyptus panda,eucalyptus panda,Eucalyptus panda,Eucalyptus panda,eucalyptus panda,,Species ,D.Nicolle,2117,"Maranoa River, Qld",25,11,59,147,56,10,150,26,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R150/T26
Eucalyptus panda,eucalyptus panda,Eucalyptus panda,Eucalyptus panda,eucalyptus panda,,Species ,D.Nicolle,2117,"Maranoa River, Qld",25,11,59,147,56,10,150,27,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1998,R150/T27
Eucalyptus panda,eucalyptus panda,Eucalyptus panda,Eucalyptus panda,eucalyptus panda,,Species ,D.Nicolle,2117,"Maranoa River, Qld",25,11,59,147,56,10,150,24,Dead,,,,,,,,,,,,1998,R150/T24
Eucalyptus erosa,eucalyptus erosa,Eucalyptus erosa,Eucalyptus erosa,eucalyptus erosa,,Species ,D.Nicolle,2118,"Carnarvon Range, Qld",24,54,38,148,2,27,150,23,Alive,Moderate,Moderate,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,,,1998,R150/T23
Eucalyptus erosa,eucalyptus erosa,Eucalyptus erosa,Eucalyptus erosa,eucalyptus erosa,,Species ,D.Nicolle,2118,"Carnarvon Range, Qld",24,54,38,148,2,27,150,22,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R150/T22
Eucalyptus erosa,eucalyptus erosa,Eucalyptus erosa,Eucalyptus erosa,eucalyptus erosa,,Species ,D.Nicolle,2118,"Carnarvon Range, Qld",24,54,38,148,2,27,150,20,Alive,Slight,Slight,?,Scattered,Secondary & tertiary branches,3 - 6 months,Moderate,,None evident,,,1998,R150/T20
Eucalyptus erosa,eucalyptus erosa,Eucalyptus erosa,Eucalyptus erosa,eucalyptus erosa,,Species ,D.Nicolle,2118,"Carnarvon Range, Qld",24,54,38,148,2,27,150,21,Alive,Slight,Slight,?,Extensive,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,,,1998,R150/T21
Eucalyptus ochrophloia,eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus ochrophloia,eucalyptus ochrophloia,,Species ,D.Nicolle,2119,"Charleville, Qld",26,30,15,146,4,55,83,20,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R083/T20
Eucalyptus ochrophloia,eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus ochrophloia,eucalyptus ochrophloia,,Species ,D.Nicolle,2119,"Charleville, Qld",26,30,15,146,4,55,83,21,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R083/T21
Eucalyptus ochrophloia,eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus ochrophloia,eucalyptus ochrophloia,,Species ,D.Nicolle,2119,"Charleville, Qld",26,30,15,146,4,55,83,22,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R083/T22
Eucalyptus ochrophloia,eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus ochrophloia,eucalyptus ochrophloia,,Species ,D.Nicolle,2119,"Charleville, Qld",26,30,15,146,4,55,83,23,Dead,,,,,,,,,,,,1998,R083/T23
Eucalyptus newbeyi,eucalyptus newbeyi,Eucalyptus newbeyi,Eucalyptus newbeyi,eucalyptus newbeyi,,Species ,D.Nicolle,212,"Beaufort Inlet, WA",34,27,12,118,52,33,28,1,Dead,,,,,,,,,,,,1993,R028/T01
Eucalyptus newbeyi,eucalyptus newbeyi,Eucalyptus newbeyi,Eucalyptus newbeyi,eucalyptus newbeyi,,Species ,D.Nicolle,212,"Beaufort Inlet, WA",34,27,12,118,52,33,28,2,Dead,,,,,,,,,,,,1993,R028/T02
Eucalyptus newbeyi,eucalyptus newbeyi,Eucalyptus newbeyi,Eucalyptus newbeyi,eucalyptus newbeyi,,Species ,D.Nicolle,212,"Beaufort Inlet, WA",34,27,12,118,52,33,28,3,Dead,,,,,,,,,,,,1993,R028/T03
Eucalyptus newbeyi,eucalyptus newbeyi,Eucalyptus newbeyi,Eucalyptus newbeyi,eucalyptus newbeyi,,Species ,D.Nicolle,212,"Beaufort Inlet, WA",34,27,12,118,52,33,28,4,Dead,,,,,,,,,,,,1993,R028/T04
Eucalyptus newbeyi,eucalyptus newbeyi,Eucalyptus newbeyi,Eucalyptus newbeyi,eucalyptus newbeyi,,Species ,D.Nicolle,212,"Beaufort Inlet, WA",34,27,12,118,52,33,170,14,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,R170/T14
Eucalyptus newbeyi,eucalyptus newbeyi,Eucalyptus newbeyi,Eucalyptus newbeyi,eucalyptus newbeyi,,Species ,D.Nicolle,212,"Beaufort Inlet, WA",34,27,12,118,52,33,170,15,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,R170/T15
Eucalyptus newbeyi,eucalyptus newbeyi,Eucalyptus newbeyi,Eucalyptus newbeyi,eucalyptus newbeyi,,Species ,D.Nicolle,212,"Beaufort Inlet, WA",34,27,12,118,52,33,170,16,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1999,R170/T16
Eucalyptus newbeyi,eucalyptus newbeyi,Eucalyptus newbeyi,Eucalyptus newbeyi,eucalyptus newbeyi,,Species ,D.Nicolle,212,"Beaufort Inlet, WA",34,27,12,118,52,33,170,13,Dead,,,,,,,,,,,,1999,R170/T13
Corymbia terminalis,corymbia terminalis,Corymbia terminalis,Corymbia terminalis,corymbia terminalis,,Species ,D.Nicolle,2120,"Charleville, Qld",26,39,12,145,33,49,82,3,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R082/T03
Corymbia terminalis,corymbia terminalis,Corymbia terminalis,Corymbia terminalis,corymbia terminalis,,Species ,D.Nicolle,2120,"Charleville, Qld",26,39,12,145,33,49,82,4,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R082/T04
Corymbia terminalis,corymbia terminalis,Corymbia terminalis,Corymbia terminalis,corymbia terminalis,,Species ,D.Nicolle,2120,"Charleville, Qld",26,39,12,145,33,49,82,5,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R082/T05
Corymbia terminalis,corymbia terminalis,Corymbia terminalis,Corymbia terminalis,corymbia terminalis,,Species ,D.Nicolle,2120,"Charleville, Qld",26,39,12,145,33,49,82,6,Alive,None evident,None evident,?,,,,,,None evident,,,1998,R082/T06
Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Synonym of E. moluccana,Subspecies,D.Nicolle,2123,"Penong, SA",31,54,34,132,57,33,183,37,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,R183/T37
Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Synonym of E. moluccana,Subspecies,D.Nicolle,2123,"Penong, SA",31,54,34,132,57,33,183,38,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,R183/T38
Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Synonym of E. moluccana,Subspecies,D.Nicolle,2123,"Penong, SA",31,54,34,132,57,33,183,39,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,R183/T39
Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Synonym of E. moluccana,Subspecies,D.Nicolle,2123,"Penong, SA",31,54,34,132,57,33,183,40,Dead,,,,,,,,,,,,2000,R183/T40
Eucalyptus yalatensis,eucalyptus yalatensis,Eucalyptus yalatensis,Eucalyptus yalatensis,eucalyptus yalatensis,,Species ,D.Nicolle,2129,"Nullarbor, SA",31,32,10,130,41,6,186,35,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,R186/T35
Eucalyptus yalatensis,eucalyptus yalatensis,Eucalyptus yalatensis,Eucalyptus yalatensis,eucalyptus yalatensis,,Species ,D.Nicolle,2129,"Nullarbor, SA",31,32,10,130,41,6,186,36,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,R186/T36
Eucalyptus yalatensis,eucalyptus yalatensis,Eucalyptus yalatensis,Eucalyptus yalatensis,eucalyptus yalatensis,,Species ,D.Nicolle,2129,"Nullarbor, SA",31,32,10,130,41,6,186,37,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,R186/T37
Eucalyptus praetermissa,eucalyptus praetermissa,Eucalyptus praetermissa,Eucalyptus praetermissa,eucalyptus praetermissa,,Species ,D.Nicolle,213,"Beaufort Inlet, WA",34,27,12,118,52,33,30,4,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,1993,R030/T04
Eucalyptus praetermissa,eucalyptus praetermissa,Eucalyptus praetermissa,Eucalyptus praetermissa,eucalyptus praetermissa,,Species ,D.Nicolle,213,"Beaufort Inlet, WA",34,27,12,118,52,33,30,2,Alive,None evident,Slight,?,None evident,,,,,None evident,Flowered,Flowered,1993,R030/T02
Eucalyptus praetermissa,eucalyptus praetermissa,Eucalyptus praetermissa,Eucalyptus praetermissa,eucalyptus praetermissa,,Species ,D.Nicolle,213,"Beaufort Inlet, WA",34,27,12,118,52,33,30,1,Dead,,,,,,,,,,,,1993,R030/T01
Eucalyptus praetermissa,eucalyptus praetermissa,Eucalyptus praetermissa,Eucalyptus praetermissa,eucalyptus praetermissa,,Species ,D.Nicolle,213,"Beaufort Inlet, WA",34,27,12,118,52,33,30,3,Dead,,,,,,,,,,,,1993,R030/T03
Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Synonym of E. moluccana,Subspecies,D.Nicolle,2135,"Nullarbor, SA",31,35,14,129,50,21,183,10,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,R183/T10
Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Synonym of E. moluccana,Subspecies,D.Nicolle,2135,"Nullarbor, SA",31,35,14,129,50,21,183,11,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,R183/T11
Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Synonym of E. moluccana,Subspecies,D.Nicolle,2135,"Nullarbor, SA",31,35,14,129,50,21,183,12,Alive,None evident,None evident,?,,,,,,None evident,Flowered,Flowered,2000,R183/T12
Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,Eucalyptus oleosa subsp. ampliata,eucalyptus oleosa subsp. ampliata,Synonym of E. moluccana,Subspecies,D.Nicolle,2135,"Nullarbor, SA",31,35,14,129,50,21,183,9,Dead,,,,,,,,,,,,2000,R183/T09
Eucalyptus astringens subsp. redacta,eucalyptus astringens subsp. redacta,Eucalyptus astringens subsp. redacta,Eucalyptus astringens subsp. redacta,eucalyptus astringens subsp. redacta,,Subspecies,D.Nicolle,214,"Beaufort Inlet, WA",34,27,12,118,52,33,28,9,Dead,,,,,,,,,,,,1993,R028/T09
