currentname,RowTree,FieldID,DNNumber
eucalyptus caesia subsp. 'southern rocks',R206/T02,CCA4111,3813
eucalyptus caesia subsp. 'southern rocks',R206/T03,CCA4112,3813
eucalyptus caesia subsp. 'southern rocks',R206/T04,CCA4113,3813
eucalyptus singularis,R206/T05,CCA4114,3816
eucalyptus singularis,R206/T06,CCA4115,3816
eucalyptus singularis,R206/T07,CCA4116,3816
eucalyptus suggrandis subsp. promiscua,R206/T10,CCA4117,3814
eucalyptus suggrandis subsp. promiscua,R206/T11,CCA4118,3814
eucalyptus suggrandis subsp. promiscua,R206/T12,CCA4119,3814
eucalyptus fraseri subsp. fraseri,R206/T13,CCA4120,3880
eucalyptus fraseri subsp. fraseri,R206/T14,CCA4121,3880
eucalyptus fraseri subsp. fraseri,R206/T15,CCA4122,3880
eucalyptus fraseri subsp. fraseri,R206/T16,CCA4123,3880
eucalyptus sp. great victoria desert,R206/T25,CCA4124,3877
eucalyptus sp. great victoria desert,R206/T27,CCA4125,3877
eucalyptus kochii subsp. plenissima,R206/T29,CCA4126,3482
eucalyptus kochii subsp. plenissima,R206/T31,CCA4127,3482
eucalyptus kochii subsp. plenissima,R206/T32,CCA4128,3482
eucalyptus moderata,R206/T34,CCA4129,3460
eucalyptus moderata,R206/T35,CCA4130,3460
eucalyptus victoriana,R207/T01,CCA4131,3786
eucalyptus victoriana,R207/T03,CCA4132,3786
eucalyptus crucis subsp. praecipua,R207/T05,CCA4133,1561
eucalyptus crucis subsp. praecipua,R207/T07,CCA4134,1561
eucalyptus crucis subsp. praecipua,R207/T08,CCA4135,1561
eucalyptus argillacea,R207/T13,CCA4136,4241
eucalyptus argillacea,R207/T14,CCA4137,4241
eucalyptus argillacea,R207/T15,CCA4138,4241
eucalyptus verrucata,R207/T17,CCA4139,3787
eucalyptus blakelyi,R207/T20,CCA4140,3796
