currentname,RowTree,FieldID,DNNumber
eucalyptus yalatensis,R186/T35,CCA3743,2129
eucalyptus yalatensis,R186/T36,CCA3744,2129
eucalyptus yalatensis,R186/T37,CCA3745,2129
eucalyptus brockwayi,R187/T01,CCA3746,2166
eucalyptus brockwayi,R187/T02,CCA3747,2166
eucalyptus brockwayi,R187/T03,CCA3748,2166
eucalyptus brockwayi,R187/T04,CCA3749,2166
eucalyptus leucoxylon subsp. pruinosa,R187/T04,CCA3750,2897
eucalyptus leucoxylon subsp. pruinosa,R187/T05,CCA3751,2897
eucalyptus leucoxylon subsp. pruinosa,R187/T06,CCA3752,2897
eucalyptus leucoxylon subsp. pruinosa,R187/T07,CCA3753,2897
eucalyptus microcarpa,R187/T08,CCA3754,2895
eucalyptus microcarpa,R187/T09,CCA3755,2895
eucalyptus microcarpa,R187/T10,CCA3756,2895
eucalyptus microcarpa,R187/T11,CCA3757,2895
eucalyptus rhomboidea,R187/T13,CCA3758,2272
eucalyptus rhomboidea,R187/T14,CCA3759,2272
eucalyptus calycogona subsp. trachybasis,R187/T16,CCA3760,2896
eucalyptus calycogona subsp. trachybasis,R187/T17,CCA3761,2896
eucalyptus calycogona subsp. trachybasis,R187/T18,CCA3762,2896
eucalyptus calycogona subsp. trachybasis,R187/T19,CCA3763,2896
eucalyptus longicornis,R187/T23,CCA3764,2283
eucalyptus longicornis,R187/T24,CCA3765,2283
eucalyptus longicornis,R187/T25,CCA3766,2283
eucalyptus longicornis,R187/T26,CCA3767,2283
eucalyptus horistes subsp. horistes,R187/T27,CCA3768,2756
eucalyptus horistes subsp. horistes,R187/T28,CCA3769,2756
eucalyptus horistes subsp. horistes,R187/T29,CCA3770,2756
eucalyptus horistes subsp. horistes,R187/T30,CCA3771,2756
eucalyptus longissima,R187/T31,CCA3772,2160
eucalyptus longissima,R187/T33,CCA3773,2160
eucalyptus kochii subsp. kochii,R187/T34,CCA3774,2218
eucalyptus kochii subsp. kochii,R187/T37,CCA3775,2218
eucalyptus odorata,R188/T01,CCA3776,2580
eucalyptus odorata,R188/T02,CCA3777,2580
eucalyptus odorata,R188/T03,CCA3778,2580
eucalyptus odorata,R188/T04,CCA3779,2580
eucalyptus valens,R188/T05,CCA3780,158
eucalyptus valens,R188/T06,CCA3781,158
eucalyptus valens,R188/T07,CCA3782,158
eucalyptus valens,R188/T08,CCA3783,158
eucalyptus oleosa subsp. ampliata,R188/T09,CCA3784,2561
eucalyptus oleosa subsp. ampliata,R188/T11,CCA3785,2561
eucalyptus oleosa subsp. ampliata,R188/T12,CCA3786,2561
eucalyptus froggattii,R188/T13,CCA3787,2583
eucalyptus froggattii,R188/T14,CCA3788,2583
eucalyptus froggattii,R188/T15,CCA3789,2583
eucalyptus froggattii,R188/T16,CCA3790,2583
eucalyptus x macmahonii,R188/T21,CCA3791,2582
eucalyptus x macmahonii,R188/T22,CCA3792,2582
eucalyptus x macmahonii,R188/T23,CCA3793,2582
eucalyptus kochii subsp. kochii,R188/T24,CCA3794,2223
eucalyptus kochii subsp. kochii,R188/T26,CCA3795,2223
eucalyptus kochii subsp. kochii,R188/T27,CCA3796,2223
eucalyptus pendens,R188/T29,CCA3797,256
eucalyptus moderata,R188/T32,CCA3798,2230
eucalyptus moderata,R188/T33,CCA3799,2230
eucalyptus moderata,R188/T34,CCA3800,2230
eucalyptus moderata,R188/T35,CCA3801,2230
eucalyptus coronata,R188/T36,CCA3802,2247
eucalyptus coronata,R188/T37,CCA3803,2247
eucalyptus polyanthemos subsp. polyanthemos,R189/T01,CCA3804,2899
eucalyptus polyanthemos subsp. polyanthemos,R189/T02,CCA3805,2899
eucalyptus polyanthemos subsp. polyanthemos,R189/T03,CCA3806,2899
eucalyptus polyanthemos subsp. polyanthemos,R189/T04,CCA3807,2899
eucalyptus oleosa subsp. cylindroidea,R189/T05,CCA3808,2259
eucalyptus oleosa subsp. cylindroidea,R189/T06,CCA3809,2259
eucalyptus oleosa subsp. cylindroidea,R189/T07,CCA3810,2259
eucalyptus oleosa subsp. cylindroidea,R189/T08,CCA3811,2259
eucalyptus erythronema subsp. inornata,R189/T09,CCA3812,245
eucalyptus erythronema subsp. inornata,R189/T10,CCA3813,245
eucalyptus erythronema subsp. inornata,R189/T11,CCA3814,245
eucalyptus cernua,R189/T14,CCA3815,182
eucalyptus cernua,R189/T15,CCA3816,182
eucalyptus cernua,R189/T16,CCA3817,182
eucalyptus socialis subsp. eucentrica,R189/T17,CCA3818,2539
eucalyptus socialis subsp. eucentrica,R189/T18,CCA3819,2539
eucalyptus albens,R189/T23,CCA3820,2898
eucalyptus albens,R189/T24,CCA3821,2898
eucalyptus albens,R189/T25,CCA3822,2898
eucalyptus albens,R189/T26,CCA3823,2898
eucalyptus leucoxylon subsp. stephaniae,R189/T27,CCA3824,2581
eucalyptus leucoxylon subsp. stephaniae,R189/T28,CCA3825,2581
eucalyptus leucoxylon subsp. stephaniae,R189/T29,CCA3826,2581
eucalyptus clivicola,R189/T31,CCA3827,193
eucalyptus clivicola,R189/T33,CCA3828,193
eucalyptus brachycalyx,R189/T34,CCA3829,2801
eucalyptus brachycalyx,R189/T35,CCA3830,2801
eucalyptus brachycalyx,R189/T36,CCA3831,2801
eucalyptus brachycalyx,R189/T37,CCA3832,2801
eucalyptus nortonii,R190/T01,CCA3833,2951
eucalyptus nortonii,R190/T02,CCA3834,2951
eucalyptus nortonii,R190/T03,CCA3835,2951
eucalyptus nortonii,R190/T04,CCA3836,2951
eucalyptus cypellocarpa,R190/T05,CCA3837,2946
eucalyptus cypellocarpa,R190/T06,CCA3838,2946
eucalyptus cypellocarpa,R190/T07,CCA3839,2946
eucalyptus cypellocarpa,R190/T08,CCA3840,2946
eucalyptus leucoxylon subsp. leucoxylon,R190/T17,CCA3841,2585
eucalyptus leucoxylon subsp. leucoxylon,R190/T18,CCA3842,2585
eucalyptus leucoxylon subsp. leucoxylon,R190/T19,CCA3843,2585
eucalyptus leucoxylon subsp. leucoxylon,R190/T20,CCA3844,2585
eucalyptus caleyi subsp. ovendenii,R190/T22,CCA3845,2930
eucalyptus caleyi subsp. ovendenii,R190/T23,CCA3846,2930
eucalyptus caleyi subsp. ovendenii,R190/T24,CCA3847,2930
eucalyptus exserta,R190/T25,CCA3848,2932
eucalyptus exserta,R190/T26,CCA3849,2932
eucalyptus exserta,R190/T27,CCA3850,2932
eucalyptus exserta,R190/T28,CCA3851,2932
eucalyptus exserta,R190/T29,CCA3852,2932
eucalyptus goniocalyx subsp. goniocalyx,R190/T30,CCA3853,2952
eucalyptus goniocalyx subsp. goniocalyx,R190/T31,CCA3854,2952
eucalyptus goniocalyx subsp. goniocalyx,R190/T32,CCA3855,2952
eucalyptus goniocalyx subsp. goniocalyx,R190/T33,CCA3856,2952
eucalyptus cypellocarpa,R191/T01,CCA3857,2949
eucalyptus cypellocarpa,R191/T03,CCA3858,2949
eucalyptus cypellocarpa,R191/T04,CCA3859,2949
eucalyptus tereticornis subsp. basaltica,R191/T09,CCA3860,2937
eucalyptus tereticornis subsp. basaltica,R191/T10,CCA3861,2937
eucalyptus tereticornis subsp. basaltica,R191/T11,CCA3862,2937
eucalyptus tereticornis subsp. basaltica,R191/T12,CCA3863,2937
eucalyptus elliptica x e. ?blakelyi,R191/T17,CCA3864,2948
eucalyptus elliptica,R191/T18,CCA3865,2948
eucalyptus elliptica,R191/T19,CCA3866,2948
eucalyptus elliptica,R191/T20,CCA3867,2948
eucalyptus malacoxylon,R191/T25,CCA3868,2950
eucalyptus malacoxylon,R191/T26,CCA3869,2950
eucalyptus malacoxylon,R191/T27,CCA3870,2950
eucalyptus malacoxylon,R191/T28,CCA3871,2950
eucalyptus scopulorum,R191/T29,CCA3872,2927
eucalyptus scopulorum,R191/T30,CCA3873,2927
eucalyptus scopulorum,R191/T31,CCA3874,2927
eucalyptus scopulorum,R191/T32,CCA3875,2927
eucalyptus oleosa subsp. corvina,R191/T35,CCA3876,2251
eucalyptus bosistoana,R192/T05,CCA3877,2902
eucalyptus bosistoana,R192/T06,CCA3878,2902
eucalyptus bosistoana,R192/T07,CCA3879,2902
eucalyptus bosistoana,R192/T08,CCA3880,2902
eucalyptus subcaerulea,R192/T09,CCA3881,2928
eucalyptus subcaerulea,R192/T10,CCA3882,2928
eucalyptus microneura,R192/T13,CCA3883,1326
eucalyptus microneura,R192/T14,CCA3884,1326
eucalyptus microneura,R192/T15,CCA3885,1326
eucalyptus magnificata,R192/T21,CCA3886,2945
eucalyptus magnificata,R192/T22,CCA3887,2945
eucalyptus magnificata,R192/T23,CCA3888,2945
eucalyptus magnificata,R192/T24,CCA3889,2945
eucalyptus globoidea,R193/T01,CCA3890,1732
eucalyptus globoidea,R193/T02,CCA3891,1732
eucalyptus globoidea,R193/T04,CCA3892,1732
eucalyptus elata,R193/T06,CCA3893,2901
eucalyptus elata,R193/T07,CCA3894,2901
eucalyptus rubida subsp. barbigarorum,R193/T09,CCA3895,2939
eucalyptus rubida subsp. barbigarorum,R193/T10,CCA3896,2939
eucalyptus rubida subsp. barbigarorum,R193/T11,CCA3897,2939
eucalyptus rubida subsp. barbigarorum,R193/T12,CCA3898,2939
eucalyptus radiata subsp. radiata,R193/T13,CCA3899,602
eucalyptus recurva x e. ?viminalis,R193/T26,CCA3900,1755
eucalyptus recurva x e. viminalis,R193/T27,CCA3901,1755
eucalyptus stenostoma,R193/T29,CCA3902,2900
eucalyptus stenostoma,R193/T30,CCA3903,2900
eucalyptus dalrympleana subsp. heptantha,R194/T06,CCA3904,2941
eucalyptus dalrympleana subsp. heptantha,R194/T07,CCA3905,2941
eucalyptus dalrympleana subsp. heptantha,R194/T08,CCA3906,2941
eucalyptus caliginosa,R194/T09,CCA3907,2943
eucalyptus caliginosa,R194/T11,CCA3908,2943
eucalyptus caliginosa,R194/T12,CCA3909,2943
eucalyptus rummeryi,R194/T13,CCA3910,1245
eucalyptus rummeryi,R194/T14,CCA3911,1245
eucalyptus ligustrina,R194/T15,CCA3912,624
eucalyptus ligustrina,R194/T18,CCA3913,624
eucalyptus oblonga,R194/T27,CCA3914,622
eucalyptus oblonga,R194/T29,CCA3915,622
eucalyptus saligna,R195/T02,CCA3916,2924
eucalyptus globoidea,R195/T05,CCA3917,2905
eucalyptus globoidea,R195/T06,CCA3918,2905
eucalyptus globoidea,R195/T07,CCA3919,2905
eucalyptus globoidea,R195/T08,CCA3920,2905
eucalyptus olida,R195/T12,CCA3921,661
eucalyptus radiata subsp. sejuncta,R195/T14,CCA3922,655
eucalyptus prominula,R195/T19,CCA3923,2917
eucalyptus prominula,R195/T20,CCA3924,2917
eucalyptus fergusonii subsp. fergusonii,R196/T01,CCA3925,2918
eucalyptus fergusonii subsp. fergusonii,R196/T02,CCA3926,2918
eucalyptus fergusonii subsp. fergusonii,R196/T03,CCA3927,2918
eucalyptus fergusonii subsp. fergusonii,R196/T04,CCA3928,2918
eucalyptus rudderi,R196/T10,CCA3929,2920
eucalyptus rudderi,R196/T11,CCA3930,2920
eucalyptus rudderi,R196/T12,CCA3931,2920
eucalyptus campanulata,R196/T14,CCA3932,1248
eucalyptus umbra,R196/T19,CCA3933,2912
