TaxonoriginalDN,Collector,Collector's #,Row #,Tree #,RowTree,Year planted
Eucalyptus elata (E. ornans),D.Nicolle,6783,332,05,R332/T05,2015
Eucalyptus elata (E. ornans),D.Nicolle,6783,332,06,R332/T06,2015
Eucalyptus elata (E. ornans),D.Nicolle,6783,332,07,R332/T07,2015
Eucalyptus elata (E. ornans),D.Nicolle,6783,332,08,R332/T08,2015
Eucalyptus elegans,D.Nicolle,680,051,01,R051/T01,1994
Eucalyptus elegans,D.Nicolle,680,051,02,R051/T02,1994
Eucalyptus elegans,D.Nicolle,680,051,03,R051/T03,1994
Eucalyptus elegans,D.Nicolle,680,051,04,R051/T04,1994
Eucalyptus elliptica,D.Nicolle,1367,092,05,R092/T05,1996
Eucalyptus elliptica,D.Nicolle,1367,092,06,R092/T06,1996
Eucalyptus elliptica,D.Nicolle,2948,191,18,R191/T18,2000
Eucalyptus elliptica,D.Nicolle,2948,191,19,R191/T19,2000
Eucalyptus elliptica,D.Nicolle,2948,191,20,R191/T20,2000
