UniqueID,Yearplanted,Row,Tree,TaxonoriginalDN,Regen.strategy,Aridityclass,AridityIndex,Diam.1.w.Bark..mm.,Diam.2.Bark,Diam.1.peeled,Diam.2.peeled,Diamthickness.mm.,Volume.wood..cm3.,Leaf.dry.weight..g.,Wood.dry.weight..g.,Wooddensity.g.cm3.,Leaf.Area,Slice,Countedleaves,Total.Area,Average.Size,X.Area,SLA
136,1993,15,14,Eucalyptus brockwayi,Seeder,Arid,0.1487,7.59,7.52,5.63,5.92,1.78,1.35,2.7534,1.01,0.75,NA,UniqueID,8,72.109,9.014,12.858,26.18907533
136,1993,15,16,Eucalyptus brockwayi,Seeder,Arid,0.1487,9.86,9.94,7.45,6.91,2.72,2.23,2.9225,1.7,0.76,NA,UniqueID,7,75.054,10.722,13.384,25.68143713
143,1993,11,27,Eucalyptus melanoxylon,Combination,Arid,0.1477,7.85,7.98,6.5,6.51,1.41,1.33,1.6624,1.02,0.77,NA,UniqueID,9,53.13696,5.90411,9.76053,31.96400385
143,1993,11,28,Eucalyptus melanoxylon,Combination,Arid,0.1477,9.82,9.13,7.32,7.54,2.045,1.83,1.7816,1.51,0.83,NA,UniqueID,8,50.64592,6.33074,9.30296,28.4272115
143,1993,11,30,Eucalyptus melanoxylon,Combination,Arid,0.1477,9.64,9.19,7.05,7.58,2.1,2.06,2.3704,1.47,0.71,NA,UniqueID,10,72.39666,7.23967,13.29827,30.54195916
154,1995,71,13,Eucalyptus pleurocarpa,Lignotuber,Arid,0.1916,10.29,11.2,8.66,8.08,2.375,2.95,10.1653,1.94,0.66,NA,UniqueID,5,261.43139,52.28628,48.02136,25.71802013
154,1995,71,15,Eucalyptus pleurocarpa,Lignotuber,Arid,0.1916,8.95,8.75,6.74,6.85,2.055,1.71,8.2105,1.16,0.68,NA,UniqueID,5,232.53035,46.50607,42.71264,28.32109494
158,2000,188,5,Eucalyptus valens,Seeder,Semiarid,0.2218,11.57,13.04,9.46,8.23,3.46,3.11,5.756,2.37,0.76,NA,UniqueID,5,114.231,22.846,19.584,19.84555247
158,2000,188,6,Eucalyptus valens,Seeder,Semiarid,0.2218,11.73,11,8.11,8.05,3.285,2.24,5.9355,1.77,0.79,NA,UniqueID,6,125.666,20.944,21.544,21.1719316
158,2000,188,8,Eucalyptus valens,Seeder,Semiarid,0.2218,12.49,12.59,9.71,9.49,2.94,3.16,5.8321,2.52,0.8,NA,UniqueID,6,131.652,21.942,22.571,22.57368701
177,1996,85,5,Eucalyptus notactites,Lignotuber,Semiarid,0.4151,11.53,11.87,9.21,9.1,2.545,3.43,3.5837,2.34,0.68,NA,NA,NA,NA,NA,NA,NA
177,1996,85,6,Eucalyptus notactites,Lignotuber,Semiarid,0.4151,8.21,9.33,6.31,7.52,1.855,1.68,4.6486,1.23,0.73,NA,UniqueID,9,134.083,14.898,23.627,28.8437379
177,1996,85,7,Eucalyptus notactites,Lignotuber,Semiarid,0.4151,9.83,9.39,7.24,8.03,1.975,2.09,6.1885,1.54,0.74,NA,UniqueID,8,200.716,25.09,35.369,32.43370768
181,1994,41,32,Eucalyptus stoatei,Seeder,Semiarid,0.2403,10.77,10.33,7.91,7.78,2.705,2.26,7.4703,1.79,0.79,NA,UniqueID,8,130.18016,16.27252,23.91231,17.42636306
181,1994,41,33,Eucalyptus stoatei,Seeder,Semiarid,0.2403,8.48,8.25,6.28,6.43,2.01,1.4,8.9366,1.1,0.79,NA,UniqueID,11,156.22373,14.20216,28.69616,17.48133854
