original,name,name2,name3
Corymbia_lamprophylla_Mt_Annan_842093,corymbia lamprophylla,corymbia_lamprophylla,corymbia_lamprophylla
Corymbia_latifolia_CANB_785515,corymbia latifolia,corymbia_latifolia,corymbia_latifolia
Corymbia_leichhardtii_Mt_Annan_891967,corymbia leichhardtii,corymbia_leichhardtii,corymbia_leichhardtii
Corymbia_lenziana_CANB_794064,corymbia lenziana,corymbia_lenziana,corymbia_lenziana
Corymbia_leptoloma_694,corymbia leptoloma,corymbia_leptoloma,corymbia_leptoloma
Corymbia_ligans_subsp_ligans,corymbia ligans subsp. ligans,corymbia_ligans_subsp._ligans,corymbia_ligans_subsp_ligans
Corymbia_maculata_ANBG_7800470,corymbia maculata,corymbia_maculata,corymbia_maculata
Corymbia_nesophila_MC_10553,corymbia nesophila,corymbia_nesophila,corymbia_nesophila
Corymbia_novaguineesis_CANB_738912,corymbia novaguineesis,corymbia_novaguineesis,corymbia_novaguineesis
Corymbia_opaca,corymbia opaca,corymbia_opaca,corymbia_opaca
Corymbia_opacula,corymbia opacula,corymbia_opacula,corymbia_opacula
Corymbia_pachycarpa_CANB_785564,corymbia pachycarpa,corymbia_pachycarpa,corymbia_pachycarpa
Corymbia_papillosa_CANB_564789,corymbia papillosa,corymbia_papillosa,corymbia_papillosa
Corymbia_papuana_CANB_583122,corymbia papuana,corymbia_papuana,corymbia_papuana
Corymbia_pauciseta_CANB_448845,corymbia pauciseta,corymbia_pauciseta,corymbia_pauciseta
Corymbia_peltata_493,corymbia peltata,corymbia_peltata,corymbia_peltata
Corymbia_petalophylla_Mt_Annan_892019,corymbia petalophylla,corymbia_petalophylla,corymbia_petalophylla
Corymbia_plena_CANB_660150,corymbia plena,corymbia_plena,corymbia_plena
Corymbia_polycarpa_CANB_785478,corymbia polycarpa,corymbia_polycarpa,corymbia_polycarpa
Corymbia_polysciada_CANB_785479,corymbia polysciada,corymbia_polysciada,corymbia_polysciada
Corymbia_porphyritica,corymbia porphyritica,corymbia_porphyritica,corymbia_porphyritica
Corymbia_porrecta_CANB_628340,corymbia porrecta,corymbia_porrecta,corymbia_porrecta
Corymbia_ptychocarpa_subsp_ptychocarpa_MC_10536,corymbia ptychocarpa subsp. ptychocarpa,corymbia_ptychocarpa_subsp._ptychocarpa,corymbia_ptychocarpa_subsp_ptychocarpa
