phylo.tip.label.match,new.tip_unique.ID,uniqueID
eucalyptus_acmenoides,eucalyptus_acmenoides_(e._contracta)_6456,6456
eucalyptus_acmenoides,eucalyptus_acmenoides_(e._uvida)_1299,1299
eucalyptus_decipiens,eucalyptus_adesmophloia_216,216
eucalyptus_decipiens,eucalyptus_adesmophloia_-_e._obesa_intergrade_(e._communalis)_200,200
eucalyptus_viridis,eucalyptus_aenea_2083,2083
eucalyptus_aequioperta,eucalyptus_aequioperta_3448,3448
eucalyptus_aequioperta,eucalyptus_aequioperta_4677,4677
eucalyptus_aequioperta,eucalyptus_aequioperta_5458,5458
eucalyptus_trivalvis,eucalyptus_aff._trivalva_5200,5200
eucalyptus_umbra,eucalyptus_aff._umbra_(?helidonica)_2934,2934
eucalyptus_agglomerata,eucalyptus_agglomerata_1754,1754
eucalyptus_aggregata,eucalyptus_aggregata_1224,1224
eucalyptus_aggregata,eucalyptus_aggregata_7365,7365
eucalyptus_cypellocarpa,eucalyptus_cypellocarpa_356,356
eucalyptus_cypellocarpa,eucalyptus_cypellocarpa_4745,4745
eucalyptus_kingsmillii,eucalyptus_alatissima_7,7
eucalyptus_kingsmillii,eucalyptus_alatissima_1530,1530
eucalyptus_alba,eucalyptus_alba_var._australasica_2475,2475
eucalyptus_alba,eucalyptus_alba_var._australasica_4211,4211
eucalyptus_albens,eucalyptus_albens_1676,1676
eucalyptus_albens,eucalyptus_albens_2898,2898
eucalyptus_albida,eucalyptus_albida_2214,2214
eucalyptus_albida,eucalyptus_albida_3437,3437
eucalyptus_albida,eucalyptus_albida_3699,3699
eucalyptus_albopurpurea,eucalyptus_albopurpurea_942,942
eucalyptus_albopurpurea,eucalyptus_albopurpurea_3180,3180
eucalyptus_albopurpurea,eucalyptus_albopurpurea_Ealb_1,Ealb_1
eucalyptus_albopurpurea,eucalyptus_albopurpurea_(atypical_form)_825,825
eucalyptus_alipes,eucalyptus_alipes_3675,3675
eucalyptus_alipes,eucalyptus_alipes_3678,3678
eucalyptus_alipes,eucalyptus_alipes_5480,5480
eucalyptus_alligatrix,eucalyptus_alligatrix_subsp._alligatrix_1774,1774
eucalyptus_alligatrix,eucalyptus_alligatrix_subsp._alligatrix_(subsp._limaensis)_1773,1773
eucalyptus_alligatrix,eucalyptus_alligatrix_subsp._miscella_776,776
eucalyptus_alligatrix,eucalyptus_alpina_7046,7046
eucalyptus_nudicaulis,eucalyptus_ammophila_1284,1284
eucalyptus_nudicaulis,eucalyptus_ammophila_6497,6497
eucalyptus_amplifolia,eucalyptus_amplifolia_subsp._amplifolia_604,604
eucalyptus_amplifolia,eucalyptus_amplifolia_subsp._sessiliflora_668,668
eucalyptus_amygdalina,eucalyptus_amygdalina_1987,1987
eucalyptus_amygdalina,eucalyptus_amygdalina_6723,6723
eucalyptus_andrewsii,eucalyptus_andrewsii_670,670
eucalyptus_angulosa,eucalyptus_angulosa_1136,1136
eucalyptus_angulosa,eucalyptus_angulosa_3706,3706
eucalyptus_angulosa,eucalyptus_angulosa_5983,5983
