Drought2020Scale.mean,AICorrected,AP,height_max_m,tiplabel,CCAtiplabel
0.5,0.5336,782,13,779,CCA779
0,0.7525,1128,20,7361,CCA7361
1.5,0.7835,1159,20,7360,CCA7360
1.5,0.7916,1164,20,629,CCA629
1,0.8784,1337,10,6794,CCA6794
1.5,0.604,929,40,5266,CCA5266
1.5,0.534,836,40,5265,CCA5265
1.75,0.7252,1097,25,1235,CCA1235
1,0.3585,657,30,2118,CCA2118
2,0.971,1318,7,624,CCA624
1.666667,0.821,1063,35,6284,CCA6284
4,0.9803,1288,35,5872,CCA5872
0,0.7802,1243,12,6795,CCA6795
0,0.5427,805,15,763,CCA763
3.5,0.6362,910,6,772,CCA772
0.5,0.4994,809,25,5262,CCA5262
2,0.8219,1304,25,640,CCA640
0.5,0.7942,1205,40,622,CCA622
0,0.6759,997,15,2928,CCA2928
1.333333,0.5953,900,45,670,CCA670
0.25,0.5653,859,12,6197,CCA6197
1,0.6148,937,30,659,CCA659
4,0.009,26,6,5010,CCA5010
3.5,0.1073,268,6,5025,CCA5025
3,1.0459,1347,6,2090,CCA2090
4,0.7027,1023,30,661,CCA661
1.333333,0.4798,788,20,676,CCA676
1,0.5132,783,20,654,CCA654
0,0.5473,852,20,2917,CCA2917
0.5,0.5787,862,40,649,CCA649
3.25,0.7942,1297,30,2093,CCA2093
1.666666667,0.6325,913,35,2943,CCA2943
2.75,0.835,1268,7,6793,CCA6793
3,0.7879,1099,30,611,CCA611
0.5,0.7602,1019,20,7363,CCA7363
0.25,0.7886,1148,40,4632,CCA4632
2.6,0.8687,1391,60,1238,CCA1238
3.75,0.4169,716,5,178,CCA178
0,0.1521,298,18,2272,CCA2272
0.25,0.6674,1009,15,2072,CCA2072
0.333333333,0.6006,1114,14,1307,CCA1307
0,0.2187,389,4,6349,CCA6349
0.5,0.2681,486,4,6015,CCA6015
0,0.2502,469,4,180,CCA180
0,0.337,583,5,5487,CCA5487
0,0.2962,502,5,5514,CCA5514
0,0.08,241,4,1704,CCA1704
0,0.4548,857,20,5536,CCA5536
1,0.6229,913,20,4635,CCA4635
1.666667,0.5301,922,12,5535,CCA5535
3.5,0.4938,879,12,3550,CCA3550
3.333333333,0.4372,920,10,3514,CCA3514
0,0.149,334,5,1660,CCA1660
0,0.1409,365,5,5196,CCA5196
0,0.1216,327,5,1354,CCA1354
0,0.1104,306,5,1352,CCA1352
0,0.1119,350,5,6637,CCA6637
0,0.0959,243,4,7300,CCA7300
0,0.1126,269,4,6928,CCA6928
0,0.1243,290,4,6921,CCA6921
0,0.1118,268,4,335,CCA335
0,0.0987,241,4,6939,CCA6939
0,0.1003,240,4,518,CCA518
0,0.0646,187,5,1508,CCA1508
0,0.0683,198,10,1535,CCA1535
0,0.1415,292,10,4542,CCA4542
0,0.1069,251,10,5938,CCA5938
0,0.101,245,10,523,CCA523
0,0.2338,537,3,261,CCA261
0.5,0.5722,1077,3,3549,CCA3549
1.666666667,0.2094,472,3,2212,CCA2212
0.5,0.2546,501,3,1892,CCA1892
2,0.2171,472,3,1156,CCA1156
0,0.1706,395,3,282,CCA282
0,0.1213,300,15,7318,CCA7318
1,0.1213,300,15,1561,CCA1561
0,0.1132,272,15,5603,CCA5603
0,0.1345,309,15,5456,CCA5456
0,0.1279,293,15,303,CCA303
0,0.1479,336,15,3681,CCA3681
0,0.1092,279,5,7312,CCA7312
0.5,0.1081,263,5,2774,CCA2774
0,0.0962,256,5,2776,CCA2776
0,0.1342,312,7,298,CCA298
0,0.0028,8,5,8,CCA8
0,0.1399,331,5,291,CCA291
0,0.1322,326,5,276,CCA276
0,0.1066,276,7,7315,CCA7315
0,0.1308,323,4,5588,CCA5588
0,0.1366,326,4,297,CCA297
0,0.1429,304,5,306,CCA306
1,0.1137,269,15,5610,CCA5610
0.5,0.1394,317,15,5455,CCA5455
0,0.1279,293,15,304,CCA304
0,0.152,335,10,6682,CCA6682
1,0.1471,317,10,3683,CCA3683
1.666666667,0.1651,349,10,3679,CCA3679
0,0.1568,330,10,308,CCA308
0,0.1736,345,10,6026,CCA6026
0,0.1669,378,10,5550,CCA5550
0.25,0.1724,349,10,3813,CCA3813
0,0.2374,475,10,5542,CCA5542
0,0.1365,335,7,280,CCA280
0,0.0864,264,5,4284,CCA4284
0,0.0928,236,5,2732,CCA2732
3,0.7864,1229,80,4629,CCA4629
0,0.3888,699,12,6177,CCA6177
0,0.3097,618,12,1269,CCA1269
1.333333,0.241,459,10,75,CCA75
3,0.217,471,10,3700,CCA3700
3.25,0.2265,115,10,1153,CCA1153
1,0.3471,547,10,227,CCA227
0.333333333,0.174,330,15,3673,CCA3673
0,0.2014,384,15,3671,CCA3671
0,0.2009,454,15,5074,CCA5074
1,0.1496,339,15,294,CCA294
0,0.1515,344,10,4793,CCA4793
0,0.1259,280,10,3477,CCA3477
0,0.1412,327,12,3488,CCA3488
0,0.1168,275,12,3482,CCA3482
0,0.1436,342,8,2223,CCA2223
0,0.1451,355,8,2218,CCA2218
0,0.1375,331,8,288,CCA288
0,0.1288,313,12,3539,CCA3539
0,0.1327,328,12,277,CCA277
0,0.0886,229,12,2190,CCA2190
0,0.085,243,12,536,CCA536
0,0.1681,393,6,3525,CCA3525
0,0.1764,412,6,273,CCA273
0,0.1529,342,10,3460,CCA3460
0,0.1363,317,10,2230,CCA2230
0,0.1688,399,10,3768,CCA3768
0,0.1048,266,10,2183,CCA2183
0,0.1049,266,10,2182,CCA2182
0,0.1571,348,10,1661,CCA1661
0,0.2464,449,3,161,CCA161
0,0.1531,303,8,5996,CCA5996
0.25,0.1676,312,8,150,CCA150
0,0.1855,343,4,237,CCA237
0,0.1724,320,4,147,CCA147
0,0.0959,279,4,2202,CCA2202
0,0.0959,279,4,1182,CCA1182
0,0.0995,242,10,6941,CCA6941
0,0.1011,252,6,548,CCA548
0,0.0917,211,25,2306,CCA2306
0,0.1127,259,25,341,CCA341
0,0.097,218,5,2784,CCA2784
0,0.097,218,5,347,CCA347
0,0.2144,383,5,3602,CCA3602
0,0.1528,298,5,118,CCA118
0,0.169,313,15,2262,CCA2262
0,0.1686,312,15,149,CCA149
0,0.1449,297,25,2284,CCA2284
0,0.145,297,25,2283,CCA2283
0,0.2313,442,25,2241,CCA2241
0,0.1489,299,15,2168,CCA2168
0,0.1489,299,15,2166,CCA2166
0,0.1487,297,15,136,CCA136
0,0.189,342,5,4555,CCA4555
0,0.2014,364,5,3618,CCA3618
0,0.1614,339,6,3441,CCA3441
0,0.2838,476,6,1874,CCA1874
0,0.1846,358,6,1855,CCA1855
0,0.1844,358,6,1853,CCA1853
0,0.1615,340,6,315,CCA315
0,0.2838,476,6,218,CCA218
0,0.1163,253,16,1817,CCA1817
0,0.1615,305,16,1087,CCA1087
0,0.1581,339,16,5466,CCA5466
0,0.0836,207,15,6956,CCA6956
0,0.1384,288,15,3639,CCA3639
0,0.0974,219,15,2787,CCA2787
0,0.1011,228,15,2303,CCA2303
0,0.2337,416,8,3584,CCA3584
0,0.2391,439,8,165,CCA165
0,0.1702,320,10,6382,CCA6382
0,0.2206,398,10,1101,CCA1101
0,0.2546,464,10,164,CCA164
0,0.2466,447,20,6359,CCA6359
0,0.233,419,4,1090,CCA1090
0,0.0589,162,7,2619,CCA2619
0,0.0622,173,7,2633,CCA2633
0,0.0622,173,7,112,CCA112
0,0.1714,347,10,2886,CCA2886
0,0.1715,347,10,2884,CCA2884
0,0.0899,227,10,2319,CCA2319
0,0.0737,196,10,1393,CCA1393
0,0.1127,259,10,516,CCA516
0,0.2218,396,8,3600,CCA3600
0,0.1859,348,8,2259,CCA2259
0,0.241,441,8,1642,CCA1642
0,0.202,378,8,1123,CCA1123
0,0.1358,298,14,2596,CCA2596
0,0.1898,393,14,2561,CCA2561
0,0.1139,232,14,2135,CCA2135
0,0.1223,268,14,2123,CCA2123
0,0.1589,384,14,931,CCA931
0,0.1392,286,14,555,CCA555
0,0.0602,172,14,500,CCA500
0,0.0854,217,8,2959,CCA2959
0,0.0833,219,8,1715,CCA1715
0,0.2067,384,5,2879,CCA2879
0,0.1637,340,5,2593,CCA2593
0,0.1951,377,5,1946,CCA1946
0,0.1927,391,5,928,CCA928
0,0.0619,171,7,113,CCA113
0,0.1385,286,10,3172,CCA3172
0,0.2372,508,10,2955,CCA2955
0,0.1742,353,10,2890,CCA2890
0,0.2355,458,10,1804,CCA1804
0,0.2339,569,10,2539,CCA2539
0,0.2264,550,10,2538,CCA2538
0,0.0945,278,10,2430,CCA2430
0,0.1209,373,10,2198,CCA2198
0,0.107,239,7,2142,CCA2142
0,0.1801,341,7,6000,CCA6000
0,0.104,214,7,2129,CCA2129
0,0.1977,383,7,950,CCA950
0,0.1496,309,8,2160,CCA2160
0,0.1075,277,8,2184,CCA2184
0,0.1447,298,8,2163,CCA2163
0,0.1447,298,8,1569,CCA1569
0,0.0731,209,6,1542,CCA1542
0,0.0678,196,6,1518,CCA1518
0,0.0573,157,4,2614,CCA2614
0,0.068,183,4,1500,CCA1500
0,0.1451,298,8,3665,CCA3665
0,0.1493,298,8,1828,CCA1828
0,0.203,367,8,1104,CCA1104
0,0.1273,283,8,2287,CCA2287
0,0.2642,461,8,1870,CCA1870
0,0.2195,390,8,1847,CCA1847
0,0.1512,295,20,115,CCA115
0,0.1255,277,8,1808,CCA1808
0,0.121,269,8,1078,CCA1078
0,0.1045,237,4,1813,CCA1813
0.5,0.3252,585,4,168,CCA168
0.5,0.075,155,3,248,CCA248
0,0.2592,455,5,3568,CCA3568
1.5,0.2528,432,5,3564,CCA3564
0,0.2107,383,5,5496,CCA5496
0.75,0.2346,428,10,3579,CCA3579
2,0.4147,712,5,4579,CCA4579
0,0.3031,538,5,4570,CCA4570
0.25,0.4151,715,3,177,CCA177
0.5,0.3772,582,3,220,CCA220
2,0.1434,285,1,3759,CCA3759
1,0.4615,682,7,3754,CCA3754
1.333333333,0.5037,735,7,1626,CCA1626
0.333333333,0.1617,326,15,3433,CCA3433
0,0.1828,349,5,3725,CCA3725
0,0.1526,326,10,5040,CCA5040
0,0.1622,333,10,243,CCA243
0,0.1637,306,10,1844,CCA1844
0,0.1457,287,10,141,CCA141
0,0.1873,352,6,3897,CCA3897
0,0.2494,443,6,3567,CCA3567
0,0.2023,364,6,3744,CCA3744
0,0.2003,362,6,1629,CCA1629
0,0.2331,402,6,205,CCA205
0,0.1819,329,5,3712,CCA3712
0,0.1737,320,5,148,CCA148
0,0.1735,327,15,3882,CCA3882
0,0.0877,219,15,3493,CCA3493
0,0.1382,313,15,3457,CCA3457
0,0.1608,312,5,6383,CCA6383
0,0.14,287,5,3662,CCA3662
0,0.2124,406,10,3670,CCA3670
0,0.1831,376,10,319,CCA319
0,0.1328,307,10,5033,CCA5033
0,0.1036,250,10,3486,CCA3486
0,0.0908,221,9,6945,CCA6945
0,0.0737,195,9,1392,CCA1392
0,0.1215,269,9,1079,CCA1079
0,0.0628,179,9,505,CCA505
0,0.354,565,7,4736,CCA4736
0,0.2141,429,7,6807,CCA6807
0,0.3041,505,7,447,CCA447
0,0.1839,409,7,3691,CCA3691
0,0.1828,367,7,3426,CCA3426
0,0.112,242,6,1081,CCA1081
0,0.1599,312,6,5993,CCA5993
0,0.1991,362,5,3613,CCA3613
0,0.2447,435,5,1091,CCA1091
0,0.2548,443,5,5518,CCA5518
0,0.218,384,5,5503,CCA5503
1,0.2023,364,5,3742,CCA3742
1,0.1617,331,5,3436,CCA3436
0,0.0844,208,14,6951,CCA6951
0,0.0974,219,14,2790,CCA2790
0,0.0883,229,11,2730,CCA2730
0,0.0926,237,11,527,CCA527
0,0.1091,279,14,7311,CCA7311
0,0.1381,286,14,6985,CCA6985
0,0.1527,303,14,3643,CCA3643
0,0.0987,265,14,2756,CCA2756
0,0.1521,344,11,6691,CCA6691
0,0.2945,499,11,5513,CCA5513
0,0.1657,320,11,4546,CCA4546
0,0.1651,321,11,3877,CCA3877
0,0.1496,339,11,2227,CCA2227
0,0.1351,326,5,5578,CCA5578
0,0.1651,381,5,3530,CCA3530
0,0.1437,292,5,4539,CCA4539
0,0.1068,253,5,5671,CCA5671
0,0.1449,350,5,5554,CCA5554
0,0.1563,349,5,5460,CCA5460
0,0.0836,207,5,6955,CCA6955
0,0.1391,295,5,6697,CCA6697
0,0.1983,449,5,5071,CCA5071
0,0.1049,233,5,3630,CCA3630
0,0.147,341,5,292,CCA292
0,0.1764,361,5,244,CCA244
0,0.1891,322,5,1127,CCA1127
0,0.1563,307,8,5992,CCA5992
0,0.1807,381,8,3453,CCA3453
0,0.2326,426,8,195,CCA195
0,0.2027,368,8,3575,CCA3575
0,0.2123,380,10,1089,CCA1089
0.5,0.2464,449,10,162,CCA162
0,0.2187,389,8,6350,CCA6350
0,0.1545,327,18,3447,CCA3447
0,0.1587,331,18,230,CCA230
0,0.1718,402,15,285,CCA285
0,0.1914,435,3,3699,CCA3699
0,0.1868,366,3,3437,CCA3437
0,0.1031,257,10,6931,CCA6931
0,0.101,245,10,522,CCA522
0,0.1025,249,14,5693,CCA5693
0,0.0993,244,14,1567,CCA1567
0,0.1046,250,14,5672,CCA5672
1.333333333,0.3491,736,5,1152,CCA1152
0,0.2204,506,5,7324,CCA7324
0,0.1756,401,5,5567,CCA5567
0,0.1606,376,5,3532,CCA3532
0,0.0852,244,5,1177,CCA1177
0,0.1616,327,12,241,CCA241
0,0.0925,242,12,533,CCA533
0,0.0924,238,12,2192,CCA2192
0,0.1255,286,12,300,CCA300
0,0.1653,311,4,5478,CCA5478
0.666666667,0.1885,361,4,3724,CCA3724
0,0.1523,294,4,1109,CCA1109
1.75,0.5186,859,10,7236,CCA7236
