label,name
Eucalyptus_aequioperta_23,eucalyptus_aequioperta
Eucalyptus_agglomerata_673,eucalyptus_agglomerata
Eucalyptus_aggregata_580,eucalyptus_aggregata
Eucalyptus_alaticaulis_371,eucalyptus_alaticaulis
Eucalyptus_alba,eucalyptus_alba
Eucalyptus_albens_661,eucalyptus_albens
Eucalyptus_albida_46,eucalyptus_albida
Eucalyptus_albopurpurea_3,eucalyptus_albopurpurea
Eucalyptus_alipes_53,eucalyptus_alipes
Eucalyptus_alligatrix_subsp_alligatrix_167,eucalyptus_alligatrix_subsp_alligatrix
Eucalyptus_amplifolia_subsp_amplifolia_225,eucalyptus_amplifolia_subsp_amplifolia
Eucalyptus_amygdalina_CANB_481986,eucalyptus_amygdalina
Eucalyptus_ancophila_Mt_Annan_841467,eucalyptus_ancophila
Eucalyptus_andrewsii_subsp_andrewsii_8410679,eucalyptus_andrewsii_subsp_andrewsii
Eucalyptus_angophoroides_158,eucalyptus_angophoroides
Eucalyptus_angulosa_383,eucalyptus_angulosa
Eucalyptus_angustissima_CANB_794337,eucalyptus_angustissima
Eucalyptus_annulata_CANB_794263,eucalyptus_annulata
Eucalyptus_apiculata_613,eucalyptus_apiculata
Eucalyptus_apodophylla_subsp_provecta_CANB_7855329,eucalyptus_apodophylla_subsp_provecta
Eucalyptus_apothalassica_721925,eucalyptus_apothalassica
Eucalyptus_approximans_subsp_codonocarpa_69702,eucalyptus_approximans_subsp_codonocarpa
Eucalyptus_aquilina_CANB_459757,eucalyptus_aquilina
Eucalyptus_arachnae_518,eucalyptus_arachnae
Eucalyptus_arborella_361,eucalyptus_arborella
Eucalyptus_arenacea_MC_10652,eucalyptus_arenacea
Eucalyptus_argillacea_CANB_785537,eucalyptus_argillacea
Eucalyptus_argophloia_773,eucalyptus_argophloia
Eucalyptus_argutifolia_AHT_E17,eucalyptus_argutifolia
Eucalyptus_argyphea_59,eucalyptus_argyphea
Eucalyptus_aromaphloia_subsp_aromaphloia_CANB_564611,eucalyptus_aromaphloia_subsp_aromaphloia
Eucalyptus_articulata_186,eucalyptus_articulata
Eucalyptus_aspersa_297,eucalyptus_aspersa
Eucalyptus_aspratilis_AHT_E18,eucalyptus_aspratilis
Eucalyptus_assimilans_269,eucalyptus_assimilans
Eucalyptus_astringens_subsp_astringens_68,eucalyptus_astringens_subsp_astringens
Eucalyptus_atrata_8603434,eucalyptus_atrata
Eucalyptus_badjensis_166,eucalyptus_badjensis
Eucalyptus_baeuerlenii_7810671,eucalyptus_baeuerlenii
Eucalyptus_baileyana_Mt_Annan_892003,eucalyptus_baileyana
Eucalyptus_bakeri_567,eucalyptus_bakeri
Eucalyptus_balanites_CANB_687715,eucalyptus_balanites
Eucalyptus_balanopelex_AHT_E22,eucalyptus_balanopelex
Eucalyptus_balladoniensis_subsp_balladoniensis_CANB_586833,eucalyptus_balladoniensis_subsp_balladoniensis
Eucalyptus_barberi_600,eucalyptus_barberi
Eucalyptus_baueriana_160,eucalyptus_baueriana
Eucalyptus_baxteri_8701806,eucalyptus_baxteri
Eucalyptus_beaniana_CANB_842071,eucalyptus_beaniana
Eucalyptus_beardiana_CANB_632554,eucalyptus_beardiana
Eucalyptus_behriana_646,eucalyptus_behriana
Eucalyptus_bensonii_Mt_Annan_830911,eucalyptus_bensonii
Eucalyptus_benthamii_423,eucalyptus_benthamii
Eucalyptus_beyeriana_163,eucalyptus_beyeriana
Eucalyptus_blakelyi_211,eucalyptus_blakelyi
Eucalyptus_blaxellii_MC_11172,eucalyptus_blaxellii
Eucalyptus_blaxlandii_8001329,eucalyptus_blaxlandii
Eucalyptus_boliviana_518876,eucalyptus_boliviana
Eucalyptus_bosistoana_671,eucalyptus_bosistoana
Eucalyptus_botryoides_304,eucalyptus_botryoides
Eucalyptus_brachyandra_MC_10534,eucalyptus_brachyandra
Eucalyptus_brachycalyx_508,eucalyptus_brachycalyx
Eucalyptus_brachycorys_266,eucalyptus_brachycorys
Eucalyptus_brachyphylla_9807043,eucalyptus_brachyphylla
Eucalyptus_brassiana_CANB_598285,eucalyptus_brassiana
Eucalyptus_brevifolia_CANB_785488,eucalyptus_brevifolia
Eucalyptus_brevipes_CANB_692658,eucalyptus_brevipes
