phylo.tip.label.match,new.tip,unique.ID,new.tip_unique.ID
corymbia_polycarpa,corymbia_polycarpa,4197,corymbia_polycarpa_4197
corymbia_polysciada,corymbia_polysciada,2457,corymbia_polysciada_2457
corymbia_polysciada,corymbia_polysciada,4218,corymbia_polysciada_4218
corymbia_ptychocarpa,corymbia_ptychocarpa_subsp._aptycha,2476,corymbia_ptychocarpa_subsp._aptycha_2476
corymbia_ptychocarpa,corymbia_ptychocarpa_subsp._ptychocarpa,1343,corymbia_ptychocarpa_subsp._ptychocarpa_1343
corymbia_ptychocarpa,corymbia_ptychocarpa_subsp._ptychocarpa,1912,corymbia_ptychocarpa_subsp._ptychocarpa_1912
corymbia_arenaria,corymbia_serendipita,2502,corymbia_serendipita_2502
corymbia_setosa,corymbia_setosa_subsp._pedicellaris_x_c._brachycarpa,1286,corymbia_setosa_subsp._pedicellaris_x_c._brachycarpa_1286
corymbia_setosa,corymbia_setosa_subsp._setosa,2441,corymbia_setosa_subsp._setosa_2441
corymbia_pachycarpa,corymbia_sphaerica,2437,corymbia_sphaerica_2437
corymbia_stockeri,corymbia_stockeri_subsp._peninsularis,1318,corymbia_stockeri_subsp._peninsularis_1318
corymbia_stockeri,corymbia_stockeri_subsp._peninsularis,2513,corymbia_stockeri_subsp._peninsularis_2513
corymbia_stockeri,corymbia_stockeri_subsp._stockeri,2507,corymbia_stockeri_subsp._stockeri_2507
corymbia_stockeri,corymbia_stockeri_subsp._stockeri_(c._lamprophylla),1290,corymbia_stockeri_subsp._stockeri_(c._lamprophylla)_1290
corymbia_terminalis,corymbia_terminalis,2120,corymbia_terminalis_2120
corymbia_terminalis,corymbia_terminalis,2449,corymbia_terminalis_2449
corymbia_terminalis,corymbia_terminalis,4175,corymbia_terminalis_4175
corymbia_trachyphloia,corymbia_trachyphloia_subsp._amphistomatica,684,corymbia_trachyphloia_subsp._amphistomatica_684
corymbia_trachyphloia,corymbia_trachyphloia_subsp._amphistomatica,2084,corymbia_trachyphloia_subsp._amphistomatica_2084
corymbia_trachyphloia,corymbia_trachyphloia_subsp._trachyphloia,714,corymbia_trachyphloia_subsp._trachyphloia_714
corymbia_trachyphloia,corymbia_trachyphloia_subsp._trachyphloia,2110,corymbia_trachyphloia_subsp._trachyphloia_2110
corymbia_trachyphloia,corymbia_trachyphloia_subsp._trachyphloia,5128,corymbia_trachyphloia_subsp._trachyphloia_5128
corymbia_erythrophloia,corymbia_umbonata,2488,corymbia_umbonata_2488
corymbia_citriodora,corymbia_variegata,1246,corymbia_variegata_1246
corymbia_citriodora,corymbia_citriodora,721,corymbia_citriodora_721
corymbia_watsoniana,corymbia_watsoniana_subsp._capillata,2547,corymbia_watsoniana_subsp._capillata_2547
corymbia_watsoniana,corymbia_watsoniana_subsp._capillata_(c._catenaria),700,corymbia_watsoniana_subsp._capillata_(c._catenaria)_700
corymbia_watsoniana,corymbia_watsoniana_subsp._watsoniana,688,corymbia_watsoniana_subsp._watsoniana_688
eucalyptus_acaciiformis,eucalyptus_acaciiformis,657,eucalyptus_acaciiformis_657
eucalyptus_acaciiformis,eucalyptus_acaciiformis,6217,eucalyptus_acaciiformis_6217
eucalyptus_acmenoides,eucalyptus_acmenoides,2087,eucalyptus_acmenoides_2087
eucalyptus_acmenoides,eucalyptus_acmenoides_(e._contracta),6456,eucalyptus_acmenoides_(e._contracta)_6456
eucalyptus_acmenoides,eucalyptus_acmenoides_(e._uvida),1299,eucalyptus_acmenoides_(e._uvida)_1299
eucalyptus_decipiens,eucalyptus_adesmophloia,216,eucalyptus_adesmophloia_216
eucalyptus_decipiens,eucalyptus_adesmophloia_-_e._obesa_intergrade_(e._communalis),200,eucalyptus_adesmophloia_-_e._obesa_intergrade_(e._communalis)_200
eucalyptus_viridis,eucalyptus_aenea,2083,eucalyptus_aenea_2083
eucalyptus_aequioperta,eucalyptus_aequioperta,3448,eucalyptus_aequioperta_3448
eucalyptus_aequioperta,eucalyptus_aequioperta,4677,eucalyptus_aequioperta_4677
eucalyptus_aequioperta,eucalyptus_aequioperta,5458,eucalyptus_aequioperta_5458
eucalyptus_trivalvis,eucalyptus_aff._trivalva,5200,eucalyptus_aff._trivalva_5200
