"","UniqueID","Yearplanted","Row","Tree","TaxonoriginalDN","Regen.strategy","Aridityclass","AridityIndex","Diam.1.w.Bark..mm.","Diam.2.Bark","Diam.1.peeled","Diam.2.peeled","Diamthickness.mm.","Volume.wood..cm3.","Leaf.dry.weight..g.","Wood.dry.weight..g.","Wooddensity.g.cm3.","Leaf.Area","Slice","Countedleaves","Total.Area","Average.Size","X.Area"
"1",75,1994,44,1,"Eucalyptus cneorifolia","Lignotuber","Semiarid",0.4314,7.35,8.39,5.46,5.57,2.355,1.24,1.942,0.89,0.72,NA,"UniqueID",9,51.28345,5.69816,9.42007
"2",75,1994,44,3,"Eucalyptus cneorifolia","Lignotuber","Semiarid",0.4314,7.05,6.85,5.23,4.85,1.91,0.89,0.6386,0.67,0.75,NA,"UniqueID",10,31.91264,3.19126,5.86192
"3",75,1994,44,4,"Eucalyptus cneorifolia","Lignotuber","Semiarid",0.4314,6.61,5.98,5.05,4.37,1.585,0.9,1.7673,0.62,0.69,NA,"UniqueID",11,48.17162,4.37924,8.84847
"4",112,1993,12,29,"Eucalyptus wyolensis","Lignotuber","Arid",0.0622,8.14,7.73,5.6,6.11,2.08,1.45,6.0282,1.06,0.73,NA,"UniqueID",6,197.977,32.996,35.303
"5",112,1993,12,30,"Eucalyptus wyolensis","Lignotuber","Arid",0.0622,8.23,8.1,5.8,6.43,2.05,1.67,6.0494,1.22,0.73,NA,"UniqueID",6,177.59,29.598,31.668
"6",112,1993,12,31,"Eucalyptus wyolensis","Lignotuber","Arid",0.0622,9.33,8.43,6.93,7.09,1.87,1.91,5.7914,1.42,0.74,NA,"UniqueID",7,190.9,27.271,34.041
"7",129,1993,11,14,"Eucalyptus dundasii","Seeder","Arid",0.1693,12.02,10.32,9.28,7.78,2.64,2.94,2.0942,2.2,0.75,NA,"UniqueID",7,61.161,8.737,10.906
"8",129,1993,11,15,"Eucalyptus dundasii","Seeder","Arid",0.1693,10.42,9.21,8.78,7.43,1.71,2.81,2.8453,2.34,0.83,NA,"UniqueID",8,87.559,10.945,15.613
"9",129,1993,11,17,"Eucalyptus dundasii","Seeder","Arid",0.1693,8.54,8.33,6.26,6.09,2.26,1.76,2.03,1.43,0.81,NA,"UniqueID",7,68.488,9.784,12.213
"10",136,1993,15,13,"Eucalyptus brockwayi","Seeder","Arid",0.1487,9.46,9.55,7.43,6.59,2.495,2.29,2.0103,1.78,0.78,NA,"UniqueID",9,67.106,7.456,11.966
"11",136,1993,15,14,"Eucalyptus brockwayi","Seeder","Arid",0.1487,7.59,7.52,5.63,5.92,1.78,1.35,2.7534,1.01,0.75,NA,"UniqueID",8,72.109,9.014,12.858
"12",136,1993,15,16,"Eucalyptus brockwayi","Seeder","Arid",0.1487,9.86,9.94,7.45,6.91,2.72,2.23,2.9225,1.7,0.76,NA,"UniqueID",7,75.054,10.722,13.384
"13",143,1993,11,27,"Eucalyptus melanoxylon","Combination","Arid",0.1477,7.85,7.98,6.5,6.51,1.41,1.33,1.6624,1.02,0.77,NA,"UniqueID",9,53.13696,5.90411,9.76053
"14",143,1993,11,28,"Eucalyptus melanoxylon","Combination","Arid",0.1477,9.82,9.13,7.32,7.54,2.045,1.83,1.7816,1.51,0.83,NA,"UniqueID",8,50.64592,6.33074,9.30296
"15",143,1993,11,30,"Eucalyptus melanoxylon","Combination","Arid",0.1477,9.64,9.19,7.05,7.58,2.1,2.06,2.3704,1.47,0.71,NA,"UniqueID",10,72.39666,7.23967,13.29827
"16",154,1995,71,13,"Eucalyptus pleurocarpa","Lignotuber","Arid",0.1916,10.29,11.2,8.66,8.08,2.375,2.95,10.1653,1.94,0.66,NA,"UniqueID",5,261.43139,52.28628,48.02136
"17",154,1995,71,15,"Eucalyptus pleurocarpa","Lignotuber","Arid",0.1916,8.95,8.75,6.74,6.85,2.055,1.71,8.2105,1.16,0.68,NA,"UniqueID",5,232.53035,46.50607,42.71264
"18",158,2000,188,5,"Eucalyptus valens","Seeder","Semiarid",0.2218,11.57,13.04,9.46,8.23,3.46,3.11,5.756,2.37,0.76,NA,"UniqueID",5,114.231,22.846,19.584
"19",158,2000,188,6,"Eucalyptus valens","Seeder","Semiarid",0.2218,11.73,11,8.11,8.05,3.285,2.24,5.9355,1.77,0.79,NA,"UniqueID",6,125.666,20.944,21.544
"20",158,2000,188,8,"Eucalyptus valens","Seeder","Semiarid",0.2218,12.49,12.59,9.71,9.49,2.94,3.16,5.8321,2.52,0.8,NA,"UniqueID",6,131.652,21.942,22.571
