tree_CCAUniqueIDs,tree_UniqueIDs
CCA2095,2095
CCA5256,5256
CCA5249,5249
CCA603,603
CCA7382,7382
CCA582,582
CCA1756,1756
CCA593,593
CCA1760,1760
CCA6099,6099
CCA572,572
Eobliq_1,Eobliq_1
CCA1974,1974
CCA804,804
CCA1769,1769
CCA737,737
CCA779,779
CCA7361,7361
CCA614,614
CCA7360,7360
CCA629,629
CCA6794,6794
CCA2077,2077
CCA773,773
CCA5266,5266
CCA5265,5265
CCA1235,1235
CCA2118,2118
CCA624,624
CCA6284,6284
CCA5872,5872
CCA2916,2916
CCA1225,1225
CCA6795,6795
CCA763,763
CCA772,772
CCA617,617
CCA5262,5262
CCA640,640
CCA622,622
CCA660,660
CCA2929,2929
CCA2928,2928
CCA1754,1754
CCA2546,2546
CCA1248,1248
CCA670,670
CCA6197,6197
CCA659,659
CCA709,709
CCA662,662
CCA5010,5010
CCA5025,5025
CCA2097,2097
CCA673,673
CCA2090,2090
CCA661,661
CCA676,676
CCA654,654
CCA2917,2917
CCA649,649
CCA644,644
CCA2093,2093
CCA2943,2943
CCA1249,1249
CCA6793,6793
CCA2910,2910
CCA621,621
CCA611,611
CCA7363,7363
CCA610,610
CCA627,627
CCA4632,4632
CCA1139,1139
CCA1238,1238
CCA178,178
CCA3506,3506
CCA219,219
CCA2272,2272
CCA2072,2072
CCA1307,1307
CCA4287,4287
CCA4294,4294
CCA543,543
CCA6349,6349
CCA6015,6015
CCA180,180
CCA5487,5487
CCA5514,5514
CCA1704,1704
CCA5536,5536
CCA4635,4635
CCA5535,5535
CCA3551,3551
CCA3550,3550
CCA3514,3514
CCA255,255
CCA1660,1660
CCA5196,5196
CCA1354,1354
CCA1352,1352
CCA6637,6637
CCA1203,1203
CCA5779,5779
CCA4266,4266
CCA1197,1197
CCA535,535
CCA1530,1530
CCA7,7
CCA7300,7300
CCA6928,6928
CCA6921,6921
CCA5600,5600
CCA1562,1562
CCA335,335
CCA6939,6939
CCA518,518
CCA1508,1508
CCA1535,1535
CCA4542,4542
CCA5938,5938
CCA523,523
CCA3428,3428
CCA261,261
CCA250,250
CCA3549,3549
CCA2212,2212
CCA1892,1892
CCA1156,1156
CCA282,282
CCA3771,3771
CCA264,264
CCA7318,7318
CCA1561,1561
CCA5603,5603
CCA5456,5456
CCA303,303
CCA3681,3681
CCA7312,7312
CCA5607,5607
CCA5606,5606
CCA2774,2774
CCA2776,2776
CCA336,336
CCA298,298
CCA5583,5583
CCA8,8
CCA291,291
CCA276,276
CCA7315,7315
CCA5588,5588
CCA297,297
CCA306,306
CCA5610,5610
CCA5455,5455
CCA304,304
CCA6682,6682
CCA5612,5612
CCA3683,3683
CCA3679,3679
CCA308,308
CCA6026,6026
CCA5550,5550
CCA3813,3813
CCA5542,5542
CCA2721,2721
CCA280,280
CCA4704,4704
CCA4289,4289
CCA4284,4284
CCA2732,2732
CCA274,274
CCA4629,4629
CCA1142,1142
CCA6177,6177
CCA1269,1269
CCA75,75
CCA4440,4440
CCA3700,3700
CCA1153,1153
CCA227,227
CCA200,200
CCA216,216
CCA169,169
CCA3673,3673
CCA3671,3671
CCA4441,4441
CCA5074,5074
CCA294,294
CCA4793,4793
CCA3477,3477
CCA3488,3488
CCA3482,3482
CCA2223,2223
CCA2218,2218
CCA288,288
CCA3539,3539
CCA277,277
CCA2190,2190
CCA536,536
CCA3525,3525
CCA273,273
CCA3460,3460
CCA2230,2230
CCA3768,3768
CCA2183,2183
CCA2182,2182
CCA1661,1661
CCA1563,1563
CCA161,161
CCA5996,5996
CCA2264,2264
CCA150,150
CCA3719,3719
CCA237,237
CCA147,147
CCA2202,2202
CCA1182,1182
CCA1171,1171
CCA6941,6941
CCA4448,4448
CCA548,548
CCA2306,2306
CCA341,341
CCA2784,2784
CCA347,347
CCA3602,3602
CCA118,118
CCA2262,2262
CCA149,149
CCA2284,2284
CCA2283,2283
CCA2241,2241
CCA2168,2168
CCA2166,2166
CCA136,136
CCA1890,1890
CCA1888,1888
CCA1149,1149
CCA4555,4555
CCA3618,3618
CCA3441,3441
CCA1874,1874
CCA1855,1855
CCA1853,1853
CCA315,315
CCA218,218
CCA1851,1851
CCA1838,1838
CCA1817,1817
CCA1087,1087
CCA5466,5466
CCA6956,6956
CCA3639,3639
CCA2787,2787
CCA2303,2303
CCA513,513
CCA3584,3584
CCA165,165
CCA6382,6382
CCA1101,1101
CCA164,164
CCA6359,6359
CCA1090,1090
CCA172,172
CCA2619,2619
CCA1502,1502
CCA2633,2633
CCA112,112
CCA2886,2886
CCA2884,2884
CCA2319,2319
CCA1393,1393
CCA516,516
CCA3600,3600
CCA2259,2259
CCA1642,1642
CCA2251,2251
CCA1123,1123
CCA2596,2596
CCA2561,2561
CCA2135,2135
CCA2123,2123
CCA1408,1408
CCA931,931
CCA555,555
CCA500,500
Egillii1,Egillii1
CCA2959,2959
CCA1715,1715
CCA2879,2879
CCA2593,2593
CCA1946,1946
CCA928,928
CCA2323,2323
CCA113,113
CCA3172,3172
CCA2955,2955
CCA2890,2890
CCA1804,1804
CCA2539,2539
CCA2538,2538
CCA2430,2430
CCA2198,2198
CCA2142,2142
CCA6000,6000
CCA2129,2129
CCA950,950
CCA2160,2160
CCA2184,2184
CCA2163,2163
CCA1569,1569
CCA1542,1542
CCA1518,1518
CCA2614,2614
CCA1500,1500
CCA3665,3665
CCA1828,1828
