tree_CCAUniqueIDs,tree_UniqueIDs
CCA4678,4678
CCA327,327
CCA3578,3578
CCA1121,1121
CCA4611,4611
CCA4588,4588
CCA4585,4585
CCA4805,4805
CCA3570,3570
CCA6370,6370
CCA1639,1639
CCA5061,5061
CCA5057,5057
CCA3569,3569
CCA212,212
CCA4608,4608
CCA4597,4597
CCA4587,4587
CCA3748,3748
CCA173,173
CCA2246,2246
CCA5053,5053
CCA144,144
CCA2248,2248
CCA1122,1122
CCA204,204
CCA5468,5468
CCA7001,7001
CCA328,328
CCA5472,5472
CCA3596,3596
CCA1120,1120
CCA4435,4435
CCA3583,3583
CCA1128,1128
CCA197,197
CCA4425,4425
CCA3814,3814
CCA3721,3721
CCA311,311
CCA4412,4412
CCA5551,5551
CCA2229,2229
CCA6022,6022
CCA3695,3695
CCA2236,2236
CCA4668,4668
CCA317,317
CCA3697,3697
CCA5543,5543
CCA3544,3544
CCA1168,1168
CCA271,271
CCA238,238
CCA3590,3590
CCA2228,2228
CCA310,310
CCA5976,5976
CCA5994,5994
CCA5046,5046
CCA345,345
CCA188,188
CCA1114,1114
CCA186,186
CCA4421,4421
CCA234,234
CCA3806,3806
CCA3435,3435
CCA2715,2715
CCA2631,2631
CCA7307,7307
CCA1391,1391
CCA2099,2099
CCA299,299
CCA3715,3715
CCA187,187
CCA140,140
CCA329,329
CCA2536,2536
CCA3563,3563
CCA207,207
CCA201,201
CCA1883,1883
CCA1621,1621
CCA5480,5480
CCA3678,3678
CCA3675,3675
CCA192,192
CCA3577,3577
CCA4432,4432
CCA3704,3704
CCA3561,3561
CCA1130,1130
CCA222,222
CCA233,233
CCA3562,3562
CCA240,240
CCA206,206
CCA167,167
CCA163,163
CCA208,208
CCA3591,3591
CCA184,184
CCA4800,4800
CCA3574,3574
CCA182,182
CCA3565,3565
CCA3556,3556
CCA1095,1095
CCA170,170
CCA3571,3571
CCA3585,3585
CCA2243,2243
CCA214,214
CCA194,194
CCA3503,3503
CCA3438,3438
CCA3423,3423
CCA272,272
CCA4589,4589
CCA5493,5493
CCA3705,3705
CCA215,215
CCA1184,1184
CCA4302,4302
CCA547,547
CCA2521,2521
CCA4804,4804
CCA228,228
CCA3685,3685
CCA245,245
CCA3458,3458
CCA287,287
CCA3559,3559
CCA3454,3454
CCA130,130
CCA5062,5062
CCA232,232
CCA202,202
CCA520,520
CCA5593,5593
CCA2211,2211
CCA1165,1165
CCA239,239
CCA139,139
CCA313,313
CCA267,267
CCA1150,1150
CCA3498,3498
CCA1534,1534
CCA5936,5936
CCA529,529
CCA5200,5200
CCA3646,3646
CCA344,344
CCA7224,7224
CCA123,123
CCA3641,3641
CCA126,126
CCA1164,1164
CCA281,281
CCA284,284
CCA6993,6993
CCA337,337
CCA338,338
CCA159,159
CCA3831,3831
CCA3496,3496
CCA2717,2717
CCA342,342
CCA3606,3606
CCA1102,1102
CCA3607,3607
CCA117,117
CCA1554,1554
CCA1540,1540
CCA3631,3631
CCA127,127
CCA5660,5660
CCA2174,2174
CCA332,332
CCA3647,3647
CCA552,552
CCA146,146
CCA2781,2781
CCA134,134
CCA3739,3739
CCA3467,3467
CCA145,145
CCA318,318
CCA221,221
CCA210,210
CCA3727,3727
CCA1662,1662
CCA251,251
CCA125,125
CCA185,185
CCA1111,1111
CCA1636,1636
CCA3434,3434
CCA295,295
CCA5556,5556
CCA2216,2216
CCA296,296
CCA3661,3661
CCA124,124
CCA7285,7285
CCA343,343
CCA3779,3779
CCA193,193
CCA211,211
CCA213,213
CCA2193,2193
CCA196,196
CCA324,324
CCA236,236
CCA235,235
